"Student Counts by School and Race"
"All Districts, All Schools"
"2013-14"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,0,181,112,0,"*","*",303
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,"*",119,98,0,"*",24,251
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""","*",33,252,486,0,"*",58,843
"Bridgeport School District","""0150011""","Hall School","""0151111""","*","*",138,107,0,0,28,275
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,"*",201,107,"*","*",20,332
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*",6,459,571,"*",0,65,1105
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*","*",215,143,0,7,50,422
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",135,189,0,"*",53,387
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""",0,"*",102,63,"*","*",63,236
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""","*",25,157,163,"*",0,159,511
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""","*",11,348,276,0,"*",17,655
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""",0,"*",233,631,"*",0,34,904
"Bridgeport School District","""0150011""","Madison School","""0152011""",0,14,152,279,"*","*",87,539
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""","*",9,78,294,"*","*",62,449
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*",49,216,172,"*","*",51,491
"Bridgeport School District","""0150011""","Pride Academy","""0151811""",0,0,34,"*",0,0,"*",57
"Bridgeport School District","""0150011""","Read School","""0152511""","*",14,330,403,0,"*",85,839
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*",14,241,284,0,"*",22,564
"Bridgeport School District","""0150011""","Skane Center","""0154411""","*",12,75,143,0,"*",71,304
"Bridgeport School District","""0150011""","Waltersville School","""0153011""","*",6,132,364,0,"*",10,514
"Bridgeport School District","""0150011""","Winthrop School","""0153611""","*",41,231,218,0,"*",188,685
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,"*","*","*",0,"*",6,14
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*",34,95,235,"*",37,838,1242
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*",37,108,187,0,"*",950,1299
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""",0,20,66,140,0,13,479,718
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,0,"*","*",0,0,10,13
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,"*",15,95,0,"*",233,355
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""","*","*",29,114,0,28,241,424
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,43,55,238,0,31,523,890
"Bristol School District","""0170011""","Ivy Drive School","""0171911""",0,11,18,70,0,8,290,397
"Bristol School District","""0170011""","Mountain View School","""0171711""","*",25,"*",72,0,19,305,437
"Bristol School District","""0170011""","Northeast Middle School","""0175211""","*",15,"*",73,0,15,335,453
"Bristol School District","""0170011""","South Side School","""0171111""","*",7,39,117,0,"*",332,503
"Bristol School District","""0170011""","Stafford School","""0171211""",0,29,32,107,0,13,323,504
"Bristol School District","""0170011""","West Bristol School","""0172011""","*","*",55,280,0,47,532,945
"Brookfield School District","""0180011""","Brookfield High School","""0186111""","*",44,18,38,0,"*",798,901
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",22,7,24,0,"*",318,380
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",52,13,44,"*",0,512,624
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",59,"*",60,0,0,727,859
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*",16,8,46,"*",16,456,545
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""",0,"*","*",15,0,14,337,374
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""",0,0,0,"*",0,"*",67,77
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""",0,0,"*","*",0,11,203,225
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""",0,0,"*",12,0,"*",210,233
"Canton School District","""0230011""","Canton High School","""0236111""",0,11,15,20,0,9,444,499
"Canton School District","""0230011""","Canton Intermediate School","""0230311""","*",12,20,23,0,"*",373,434
"Canton School District","""0230011""","Canton Middle School","""0235111""",0,7,8,16,0,7,227,265
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",15,33,36,0,"*",403,490
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""",0,70,132,159,0,20,181,562
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering Elementary","""2410714""","*",33,58,57,0,"*",66,222
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""","*",28,124,113,0,"*",82,361
"Capitol Region Education Council","""2410014""","Ana Grace Academy of the Arts Elementary School","""2410614""",0,8,66,66,0,12,65,217
"Capitol Region Education Council","""2410014""","Discovery Academy","""2418114""",0,23,54,81,"*","*",106,282
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,0,"*","*",0,"*",16,22
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""",0,40,100,105,"*","*",145,410
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","*","*",83,148,0,17,186,438
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of the Arts Magnet Middle","""2415314""",0,"*",89,128,"*",16,92,327
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,0,0,0,0,"*","*"
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""","*",63,100,127,0,"*",111,415
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,15,26,0,0,12,53
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",0,0,"*","*",0,0,6,8
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*",29,352,121,"*",22,193,722
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""","*",13,72,149,0,"*",95,342
"Capitol Region Education Council","""2410014""","Museum Academy","""2410514""","*",17,155,114,0,"*",105,405
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""",6,8,114,160,0,11,105,404
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""",0,6,138,102,0,9,137,392
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*","*",14,0,0,44,64
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",24,27,0,"*",88,145
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,9,"*","*",0,0,63,83
"Capitol Region Education Council","""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","""2419714""",0,0,0,0,0,0,8,8
"Capitol Region Education Council","""2410014""","Two Rivers Magnet High School","""2416714""","*",10,54,84,0,"*",37,189
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*",53,132,179,0,"*",268,660
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""",0,22,172,112,0,12,123,441
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""",0,"*","*",12,0,9,159,183
"Cheshire School District","""0250011""","Chapman School","""0250111""","*",24,12,9,0,"*",248,298
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","*",139,"*",44,0,0,1321,1538
"Cheshire School District","""0250011""","Darcey School","""0250211""","*",30,10,19,0,"*",230,293
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""","*",65,17,27,0,"*",632,747
"Cheshire School District","""0250011""","Doolittle School","""0250611""","*",48,16,32,0,"*",428,529
"Cheshire School District","""0250011""","Highland School","""0250411""","*",83,32,27,0,"*",595,740
"Cheshire School District","""0250011""","Humiston School","""0259011""",0,0,"*","*",0,0,18,20
"Cheshire School District","""0250011""","Norton School","""0250511""","*",43,"*",20,0,9,348,429
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,"*","*","*",0,8,209,228
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""","*",6,"*",27,0,"*",257,296
"Clinton School District","""0270011""","Jared Eliot School","""0275111""","*",11,"*",48,"*",8,392,462
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",19,"*",81,0,10,520,638
"Clinton School District","""0270011""","The Morgan School","""0276111""","*",13,6,46,"*",17,473,558
"Colchester School District","""0280011""","Bacon Academy","""0286111""",9,15,31,49,0,8,788,900
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""",0,11,"*",41,"*",23,468,551
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""","*",16,12,22,0,"*",551,614
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""","*",15,17,27,0,"*",596,668
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""",0,0,0,"*",0,"*",87,99
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""",0,"*",6,24,0,"*",429,467
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",58,75,0,"*",39,180
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",250,461,0,12,70,801
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",291,446,0,8,54,805
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",48,370,0,18,203,646
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","*","*",183,311,0,10,35,542
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""","*","*",47,199,"*",28,250,535
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*",6,48,128,"*",11,371,567
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","*","*",44,257,0,17,468,801
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","*","*",6,37,0,30,504,585
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*","*",29,246,0,13,335,637
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*","*",97,159,0,18,373,667
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","*","*",31,79,"*",51,508,680
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*","*",6,50,0,8,579,647
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*","*",114,288,0,28,398,836
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",63,97,"*",28,463,656
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","*",9,96,212,"*",28,392,743
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","*","*",7,171,"*",15,350,550
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",0,"*",21,"*",0,0,58,94
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",0,"*",16,13,0,"*",18,51
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",0,0,"*","*",0,0,8,12
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,0,14,29,0,"*","*",54
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""",0,21,161,163,"*","*",115,471
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""",0,"*",26,29,0,"*",72,140
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,"*","*",9,0,6,87,105
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""","*","*","*",20,0,19,347,393
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,0,"*",0,0,"*",20
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""",0,"*","*",18,0,8,341,377
"Coventry School District","""0320011""","Coventry High School","""0326111""",0,"*","*",19,0,19,471,518
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*","*","*",21,0,12,336,377
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*",26,42,47,0,"*",429,549
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""","*",27,43,36,0,"*",342,454
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""","*",29,47,38,"*","*",346,468
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""",0,38,37,"*",0,"*",369,477
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,0,"*",35,0,"*",28,83
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",0,70,84,443,0,28,467,1092
"Danbury School District","""0340011""","DPS Early Childhood Center","""0340111""","*","*",8,58,0,8,62,139
"Danbury School District","""0340011""","Danbury High School","""0346111""",0,229,300,1035,"*","*",1267,2878
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,24,25,262,0,18,106,435
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,14,9,154,0,15,164,356
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",0,63,38,221,"*","*",126,469
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,28,31,124,0,11,176,370
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",23,15,175,0,"*",189,417
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,35,34,133,"*","*",196,412
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,21,26,310,0,14,97,468
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,20,21,253,0,12,127,433
"Danbury School District","""0340011""","Pembroke School","""0341511""","*",28,26,142,0,"*",164,376
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""","*",81,81,567,"*",23,444,1200
"Danbury School District","""0340011""","Shelter Rock School","""0341211""",0,41,26,184,0,6,159,416
"Danbury School District","""0340011""","South Street School","""0341011""",0,12,36,236,0,14,77,375
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",0,33,24,156,"*","*",209,432
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*",38,25,105,0,"*",249,423
"Darien School District","""0350011""","Darien High School","""0356111""","*",37,9,60,0,"*",1244,1354
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",0,32,"*",21,0,"*",507,565
"Darien School District","""0350011""","Holmes Elementary School","""0350711""",0,20,"*",13,0,"*",413,454
"Darien School District","""0350011""","Middlesex Middle School","""0355111""",0,44,"*",36,0,"*",1041,1128
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""","*",19,"*",20,0,"*",412,458
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",18,"*",19,0,"*",406,452
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,"*","*",15,0,13,451,492
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""",0,"*","*",28,0,"*",292,330
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,0,"*","*",0,0,"*","*"
"Department of Mental Health and Addiction Services","""3370015""","Greater Bridgeport Community Mental Health Center","""3370515""",0,0,"*",0,0,0,0,"*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,"*",33,57,"*",16,258,376
"Derby School District","""0370011""","Derby High School","""0376111""",0,"*",66,93,"*",7,208,381
"Derby School District","""0370011""","Derby Middle School","""0375011""",0,"*",60,87,"*",13,190,364
"Derby School District","""0370011""","Irving School","""0370411""",0,"*",76,135,"*",12,148,378
"East Granby School District","""0400011""","Allgrove School","""0400111""","*",18,16,13,0,"*",139,194
"East Granby School District","""0400011""","East Granby High School","""0406111""",0,"*",16,13,0,"*",215,259
"East Granby School District","""0400011""","East Granby Middle School","""0405111""","*",9,21,12,0,"*",160,208
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""","*","*",13,16,0,7,165,207
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""",0,"*","*",11,0,"*",304,326
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""","*","*","*",10,0,"*",350,372
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""",0,0,0,"*",0,"*",485,488
"East Hampton School District","""0420011""","Center School","""0420311""",0,"*","*",16,0,8,265,295
"East Hampton School District","""0420011""","East Hampton High School","""0426111""",0,12,7,22,"*","*",473,520
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,10,"*",15,0,"*",391,423
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,"*","*",21,0,18,581,626
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,0,0,0,0,0,7,7
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""","*",18,79,173,0,"*",22,296
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*","*",72,34,0,0,65,197
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""",0,17,126,168,0,0,53,364
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*",17,163,189,"*","*",30,402
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""","*",20,159,194,0,"*",154,533
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","*",85,594,720,0,"*",276,1682
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""","*",64,421,435,0,"*",178,1101
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*",45,99,114,0,"*",81,343
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,"*",95,150,0,"*",62,322
"East Hartford School District","""0430011""","Joseph O. Goodwin School","""0430411""","*",11,98,99,0,"*",91,301
"East Hartford School District","""0430011""","Robert J. O'Brien School","""0431811""","*",31,177,234,"*","*",53,498
"East Hartford School District","""0430011""","Silver Lane School","""0431211""","*",0,123,147,0,"*",28,304
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""",0,0,40,47,0,0,18,105
"East Hartford School District","""0430011""","Sunset Ridge Middle School","""0432411""","*",9,99,106,0,"*",36,253
"East Hartford School District","""0430011""","Willowbrook Early Childhood","""0438011""",0,"*",63,125,0,"*",32,231
"East Hartford School District","""0430011""","Woodland School","""0439011""","*",0,56,95,0,0,"*",199
"East Haven School District","""0440011""","Carbone School/East Haven Academy","""0441711""","*",14,"*",31,0,"*",215,269
"East Haven School District","""0440011""","D. C. Moore School","""0441411""","*",10,"*",51,0,0,147,215
"East Haven School District","""0440011""","Deer Run School","""0440111""",0,23,8,73,0,11,214,329
"East Haven School District","""0440011""","Dominick H. Ferrara School","""0441311""","*",12,6,33,0,"*",147,202
"East Haven School District","""0440011""","East Haven High School","""0446111""","*",27,22,157,0,"*",695,907
"East Haven School District","""0440011""","Grove J. Tuttle School","""0441011""",0,11,"*",36,0,"*",114,173
"East Haven School District","""0440011""","Joseph Melillo Middle School","""0445111""",0,27,20,144,"*","*",371,571
"East Haven School District","""0440011""","Momauguin School","""0440711""",0,10,8,40,0,0,94,152
"East Haven School District","""0440011""","Overbrook Elementary School","""0441811""","*","*",8,70,0,8,100,193
"East Haven School District","""0440011""","Pathways","""0449011""",0,0,"*",6,0,"*",29,40
"East Lyme School District","""0450011""","East Lyme High School","""0456111""","*",98,23,34,0,"*",891,1063
"East Lyme School District","""0450011""","East Lyme Middle School","""0455111""","*",89,24,37,"*",11,712,875
"East Lyme School District","""0450011""","Flanders School","""0450111""",0,40,"*",19,0,"*",282,354
"East Lyme School District","""0450011""","Integrated Preschool","""0458011""",0,"*",0,"*",0,"*",31,41
"East Lyme School District","""0450011""","Lillie B. Haynes School","""0450411""","*",32,"*",24,"*",8,267,339
"East Lyme School District","""0450011""","Niantic Center School","""0450211""",0,8,"*",9,0,"*",163,190
"East Windsor School District","""0470011""","Broad Brook Elementary School","""0470111""","*",43,43,78,0,"*",319,506
"East Windsor School District","""0470011""","East Windsor High School","""0476111""",0,8,46,41,0,15,238,348
"East Windsor School District","""0470011""","East Windsor Middle School","""0475411""","*","*",37,38,0,21,238,345
