"Student Counts by School and Gender"
"All Districts, All Schools"
"2016-17"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""",560,506,1066
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""",542,515,1057
"Andover School District","""0010011""","Andover Elementary School","""0010111""",98,127,225
"Ansonia School District","""0020011""","Ansonia High School","""0026111""",293,323,616
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""",206,235,441
"Ansonia School District","""0020011""","Mead School","""0020311""",266,314,580
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",12,19,31
"Ansonia School District","""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","""0020411""","*","*",7
"Ansonia School District","""0020011""","Prendergast School","""0020811""",327,338,665
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",7,33,40
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",30,138,168
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""",366,366,732
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",38,80,118
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",36,79,115
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",25,77,102
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""","*","*",41
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""",318,313,631
"Ashford School District","""0030011""","Ashford School","""0030111""",198,208,406
"Avon School District","""0040011""","Avon High School","""0046111""",530,494,1024
"Avon School District","""0040011""","Avon Middle School","""0045111""",248,310,558
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",23,33,56
"Avon School District","""0040011""","Pine Grove School","""0040411""",326,298,624
"Avon School District","""0040011""","Roaring Brook School","""0040311""",260,256,516
"Avon School District","""0040011""","Thompson Brook School","""0040511""",252,245,497
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",118,110,228
"Barkhamsted School District","""0050011""","Bridges at Barkhamsted Elementary School","""0050211""","*","*","*"
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",9,14,23
"Berlin School District","""0070011""","Berlin High School","""0076111""",404,487,891
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""",334,380,714
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",239,243,482
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""",232,259,491
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",113,100,213
"Bethany School District","""0080011""","Bethany Community School","""0080111""",180,176,356
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",188,209,397
"Bethel School District","""0090011""","Bethel High School","""0096111""",412,459,871
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",316,367,683
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",237,305,542
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",240,239,479
"Bethel School District","""0090011""","TASK","""0090311""","*","*",12
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",253,281,534
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",112,125,237
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",101,100,201
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""",126,91,217
"Bloomfield School District","""0110011""","Laurel School","""0110611""",178,184,362
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""","*","*",13
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",130,126,256
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""",145,178,323
"Bolton School District","""0120011""","Bolton Center School","""0120111""",275,258,533
"Bolton School District","""0120011""","Bolton High School","""0126111""",150,131,281
"Booker T. Washington Academy District","""2950013""","Booker T. Washington Academy","""2950113""",103,138,241
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",97,111,208
"Branford School District","""0140011""","Branford High School","""0146111""",450,438,888
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",16,27,43
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""",425,444,869
"Branford School District","""0140011""","Indian Neck School","""0148011""",18,21,39
"Branford School District","""0140011""","John B. Sliney School","""0141611""",157,172,329
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",180,203,383
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",194,219,413
"Branford School District","""3480015""","Bridgeport Detention Center","""3480115""",0,"*","*"
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",124,95,219
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""",543,501,1044
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""",159,340,499
"Bridgeport School District","""0150011""","Barnum School","""0150111""",288,345,633
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",432,529,961
"Bridgeport School District","""0150011""","Beardsley School","""0150211""",160,189,349
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""",360,131,491
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",227,238,465
"Bridgeport School District","""0150011""","Blackham School","""0154011""",502,625,1127
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",9,55,64
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""",131,198,329
"Bridgeport School District","""0150011""","Bryant School","""0150411""",194,187,381
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""",21,23,44
"Bridgeport School District","""0150011""","Central High School","""0156211""",751,764,1515
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",532,635,1167
