"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Bridgeport School District","""0150011""","The University School","""0159111""",0,0,13,"*",0,"*",28
"Bridgeport School District","""0150011""","Waltersville School","""0153011""","*","*",140,360,0,15,522
"Bridgeport School District","""0150011""","Winthrop School","""0153611""",0,36,276,226,0,186,724
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*","*",0,11,19
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*","*",104,195,0,1046,1364
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*","*",101,147,0,1017,1305
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""","*",25,82,182,"*",619,910
"Bristol School District","""0170011""","Clara T. O'Connell School","""0170711""","*","*",44,135,0,181,375
"Bristol School District","""0170011""","Clarence A. Bingham School","""0170111""","*","*",17,30,0,183,236
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,"*",0,"*",0,9,13
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,7,30,97,0,221,355
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",0,23,45,80,0,363,511
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,20,23,67,0,252,362
"Bristol School District","""0170011""","Ivy Drive School","""0171911""","*","*",29,43,0,280,359
"Bristol School District","""0170011""","John J. Jennings School","""0170611""","*","*",12,35,0,289,341
"Bristol School District","""0170011""","Memorial Boulevard Middle School","""0175311""",0,14,45,83,0,402,544
"Bristol School District","""0170011""","Mountain View School","""0171711""","*",19,"*",40,0,291,367
"Bristol School District","""0170011""","Northeast Middle School","""0175211""","*","*",52,59,0,463,585
"Bristol School District","""0170011""","South Side School","""0171111""",0,12,50,85,0,419,566
"Bristol School District","""0170011""","Stafford School","""0171211""",0,17,24,82,0,357,480
"Brookfield School District","""0180011""","Brookfield High School","""0186111""",0,32,15,20,0,949,1016
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",26,"*",29,0,361,419
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",32,"*",32,0,474,546
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",39,"*",30,0,841,917
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*","*",15,20,0,528,576
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""","*",10,"*",9,0,360,386
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""","*",0,0,"*",0,91,95
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""","*","*",9,12,0,298,329
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""","*","*","*",6,0,206,222
"Canton School District","""0230011""","Canton High School","""0236111""","*","*",15,11,0,479,514
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",0,15,16,17,0,340,388
"Canton School District","""0230011""","Canton Middle School","""0235111""",0,6,"*","*",0,280,291
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",20,"*",26,0,506,569
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""","*","*",45,66,0,42,168
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,"*","*",0,0,23,25
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""","*","*",72,36,0,122,261
"Capitol Region Education Council","""2410014""","Great Path Academy at MCC","""2416314""","*","*",106,54,0,69,234
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","*","*",88,82,0,99,274
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,"*","*",0,7,9
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""","*","*",56,48,0,50,182
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,16,28,0,9,53
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",0,0,0,"*",0,"*","*"
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*","*",404,97,0,183,713
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""",0,9,112,136,0,79,336
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""","*",0,72,"*",0,76,216
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""","*","*",67,31,0,64,171
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*",9,"*",0,34,52
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",26,"*",0,103,152
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,7,9,11,0,62,89
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*","*",138,190,0,232,592
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""","*","*",189,90,0,111,418
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""","*","*","*",13,0,154,173
"Charter School for Young Children on Asylum Hill District","""2870013""","Charter School for Young Children on Asylum Hill  Inc.","""2870113""","*","*",83,50,0,48,185
"Cheshire School District","""0250011""","Chapman School","""0250111""",0,22,7,16,0,280,325
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","*",107,"*",41,0,1368,1549
"Cheshire School District","""0250011""","Darcey School","""0250211""",0,43,7,25,0,320,395
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""",0,69,11,18,0,717,815
"Cheshire School District","""0250011""","Doolittle School","""0250611""","*",47,"*",22,0,431,516
"Cheshire School District","""0250011""","Highland School","""0250411""","*",87,"*",29,0,708,840
"Cheshire School District","""0250011""","Humiston School","""0259011""",0,0,"*",0,0,"*",17
"Cheshire School District","""0250011""","Norton School","""0250511""","*",44,"*",16,0,421,492
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,"*","*",8,0,281,299
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""","*",9,"*",21,0,264,300
"Clinton School District","""0270011""","Jared Eliot School","""0275111""","*",11,"*",21,0,454,495
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",16,"*",55,0,591,671
"Clinton School District","""0270011""","The Morgan School","""0276111""",0,23,7,36,0,492,558
"Colchester School District","""0280011""","Bacon Academy","""0286111""",6,11,40,34,0,912,1003
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""","*",24,"*",28,0,657,734
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""",9,17,16,23,0,641,706
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""",6,13,29,42,0,671,761
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""","*","*","*",0,0,109,119
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""","*","*","*",18,0,527,554
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",68,59,0,"*",160
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",248,395,0,32,683
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",332,474,0,73,886
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",78,277,0,183,544
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","*","*",191,289,0,28,511
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""",9,9,78,160,0,335,591
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*","*",30,74,0,405,514
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","*","*",47,237,0,488,781
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""",9,"*","*",17,0,530,566
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*","*",64,168,0,431,671
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*","*",89,85,0,433,623
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""",11,8,31,48,0,459,557
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*","*",11,32,0,706,761
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*","*",115,215,0,534,880
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",54,61,0,485,607
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""",7,6,128,208,0,388,737
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","*","*",19,138,0,391,557
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",0,"*",17,"*",0,51,76
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",0,"*","*",16,0,29,58
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",0,0,0,"*",0,"*",10
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,"*",17,20,0,"*",53
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""","*","*",168,126,0,124,439
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","*",0,31,"*",0,81,142
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,6,"*","*",0,112,122
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""","*","*",6,17,0,453,481
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,0,"*",0,"*",11
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""","*","*",9,7,0,395,414
"Coventry School District","""0320011""","Coventry High School","""0326111""","*","*",14,7,0,537,563
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""",0,7,7,15,0,411,440
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*","*",48,32,0,508,605
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""",0,21,48,28,0,368,465
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""","*",31,39,"*",0,376,477
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""","*","*",39,37,0,392,501
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*","*",20,0,47,88
"Danbury School District","""0340011""","Broadview Middle School","""0345111""","*","*",104,298,0,609,1108
"Danbury School District","""0340011""","Danbury High School","""0346111""","*","*",308,875,0,1426,2854
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,28,38,196,0,133,395
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,19,19,99,0,170,307
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",0,69,44,157,0,169,439
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,27,20,85,0,175,307
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",15,"*",91,0,182,300
"Danbury School District","""0340011""","Mill Ridge Educational Center","""0341811""",0,19,47,113,0,173,352
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,"*",39,85,"*",142,296
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,13,29,216,0,111,369
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,35,43,189,0,141,408
"Danbury School District","""0340011""","Pembroke School","""0341511""","*",30,"*",104,0,163,325
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""",0,77,127,385,0,447,1036
"Danbury School District","""0340011""","Shelter Rock School","""0341211""","*",40,"*",152,0,167,396
"Danbury School District","""0340011""","South Street School","""0341011""","*","*",26,174,0,120,344
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",0,48,26,156,0,237,467
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*","*",30,52,0,274,383
"Darien School District","""0350011""","Darien High School","""0356111""",7,35,14,33,0,1175,1264
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",0,11,"*","*",0,527,546
"Darien School District","""0350011""","Holmes Elementary School","""0350711""","*",13,"*",10,0,456,484
"Darien School District","""0350011""","Middlesex Middle School","""0355111""","*",29,"*",19,0,1100,1156
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""",0,8,"*","*",0,462,478
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",19,"*",12,0,408,443
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,"*",7,"*",0,394,409
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""","*","*",7,25,0,311,349
"Department of Mental Health and Addiction Services","""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","""3370315""",0,0,0,0,0,"*","*"
"Department of Mental Health and Addiction Services","""3370015""","Greater Bridgeport Community Mental Health Center","""3370515""",0,0,0,0,0,"*","*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,22,37,44,0,283,386
"Derby School District","""0370011""","Derby High School","""0376111""","*","*",113,125,0,370,624
"Derby School District","""0370011""","Irving School","""0370411""",0,7,85,151,0,196,439
"East Granby School District","""0400011""","Allgrove School","""0400111""","*","*",18,13,0,237,281
"East Granby School District","""0400011""","East Granby High School","""0406111""","*",11,12,"*",0,227,256
"East Granby School District","""0400011""","East Granby Middle School","""0405111""",0,10,10,8,0,202,230
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""",0,"*",8,"*",0,120,137
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""","*",7,"*",11,0,401,421
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",0,"*","*",8,0,391,406
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""","*","*",11,19,0,524,559
"East Hampton School District","""0420011""","Center School","""0420311""",0,"*","*",15,0,275,301
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","*",12,10,"*",0,538,570
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,6,12,14,0,467,499
"East Hampton School District","""0420011""","Memorial School","""0420111""","*",20,"*",25,0,597,648
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,0,"*",0,0,"*",8
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""","*","*",138,139,0,21,319
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*","*",46,41,0,65,167
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""","*","*",153,182,0,46,408
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*","*",140,149,0,35,345
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""",0,16,83,108,0,124,331
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","*","*",681,669,0,439,1903
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""","*","*",323,357,0,168,905
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*","*",115,102,0,89,376
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,15,126,151,0,48,340
"East Hartford School District","""0430011""","Joseph O. Goodwin School","""0430411""",0,18,121,99,0,117,355
"East Hartford School District","""0430011""","Robert J. O'Brien School","""0431811""","*","*",165,172,0,42,411
"East Hartford School District","""0430011""","Silver Lane School","""0431211""","*","*",135,162,0,32,334
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""",0,"*",40,48,0,"*",117
"East Hartford School District","""0430011""","Sunset Ridge Middle School","""0432411""","*","*",166,187,0,85,462
"East Hartford School District","""0430011""","Willowbrook Early Childhood","""0438011""","*","*",103,133,0,31,285
"East Hartford School District","""0430011""","Woodland School","""0439011""","*","*",61,89,0,31,184
"East Haven School District","""0440011""","Carbone School/East Haven Academy","""0441711""","*",14,"*",9,0,212,237
"East Haven School District","""0440011""","D. C. Moore School","""0441411""",0,9,11,57,0,149,226
"East Haven School District","""0440011""","Deer Run School","""0440111""","*","*",15,64,0,250,344
"East Haven School District","""0440011""","Dominick H. Ferrara School","""0441311""",0,"*","*",26,0,159,197
"East Haven School District","""0440011""","East Haven High School","""0446111""","*",37,"*",98,0,799,968
"East Haven School District","""0440011""","Grove J. Tuttle School","""0441011""","*","*",12,51,0,160,233
"East Haven School District","""0440011""","Hays School","""0441911""",0,"*","*",21,0,117,154
"East Haven School District","""0440011""","Joseph Melillo Middle School","""0445111""","*",16,"*",67,0,378,474
"East Haven School District","""0440011""","Momauguin School","""0440711""","*",10,"*",52,0,146,212
"East Haven School District","""0440011""","Overbrook Elementary School","""0441811""",0,"*","*",37,0,131,182
"East Haven School District","""0440011""","Pathways","""0449011""",0,0,"*","*",0,26,32
"East Haven School District","""0440011""","Robert W. Carbone School","""0441611""","*",15,"*",36,0,199,261
"East Lyme School District","""0450011""","East Lyme High School","""0456111""",7,79,20,37,0,1078,1221
"East Lyme School District","""0450011""","East Lyme Middle School","""0455111""","*",89,"*",25,0,707,843
"East Lyme School District","""0450011""","Flanders School","""0450111""",0,55,"*","*",0,307,379
"East Lyme School District","""0450011""","Integrated Preschool","""0458011""",0,"*",0,0,0,"*",47
"East Lyme School District","""0450011""","Lillie B. Haynes School","""0450411""","*",37,17,"*",0,295,367
"East Lyme School District","""0450011""","Niantic Center School","""0450211""",0,16,9,13,0,199,237
"East Windsor School District","""0470011""","Broad Brook Elementary School","""0470111""","*","*",99,72,0,378,601
"East Windsor School District","""0470011""","East Windsor High School","""0476111""","*","*",58,25,0,281,376
"East Windsor School District","""0470011""","East Windsor Middle School","""0475411""","*","*",58,30,0,292,402
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","*",0,"*",8,0,78,88
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""","*",0,"*","*",0,41,50
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Quinebaug Middle College","""2536114""",0,0,"*","*",0,56,70
"Eastford School District","""0390011""","Eastford Elementary School","""0390111""","*","*","*","*",0,159,170
"Easton School District","""0460011""","Helen Keller Middle School","""0465111""",0,"*","*",20,0,347,384
"Easton School District","""0460011""","Samuel Staples Elementary School","""0460111""",0,39,6,18,0,667,730
"EdAdvance","""2420014""","EdAdvance Headstart","""2428014""","*","*",8,50,0,109,173
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""",0,0,"*","*",0,21,27
"Ellington School District","""0480011""","Center School","""0480111""","*",14,15,"*",0,360,403
"Ellington School District","""0480011""","Crystal Lake School","""0480211""",0,"*","*","*",0,211,221
"Ellington School District","""0480011""","Ellington High School","""0486111""","*","*",24,19,0,713,777
"Ellington School District","""0480011""","Ellington Middle School","""0485111""","*",13,"*",12,0,369,405
"Ellington School District","""0480011""","Windermere Intermediate School","""0480711""","*",20,17,"*",0,360,414
"Ellington School District","""0480011""","Windermere School","""0480611""","*",48,26,"*",0,352,447
"Elm City College Preparatory School District","""2890013""","Elm City College Preparatory School","""2890113""","*",0,428,112,0,"*",547
"Enfield School District","""0490011""","Edgar H. Parkman School","""0491311""",0,7,7,7,0,322,343
"Enfield School District","""0490011""","Eli Whitney School","""0491611""","*","*",28,23,0,361,424
"Enfield School District","""0490011""","Enfield High School","""0496111""","*","*",68,40,0,698,823
"Enfield School District","""0490011""","Enfield Street School","""0490211""","*","*",48,38,0,263,356
"Enfield School District","""0490011""","Enfield Transitional Learning Academy","""0499011""",0,"*",0,"*",0,"*","*"
"Enfield School District","""0490011""","Enrico Fermi High School","""0496211""","*","*",62,50,0,1010,1158
