"Student Counts by School and Race"
"All Districts, All Schools"
"2008-09"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",230,28,0,0,261
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*","*",424,202,0,12,641
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,11,"*","*",0,311,334
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*","*",166,132,0,405,717
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*","*",120,134,0,316,582
"Ansonia School District","""0020011""","Mead School","""0020311""","*","*",126,147,0,330,616
"Ansonia School District","""0020011""","Pine Academy","""0029011""",0,0,"*","*",0,22,39
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*","*",140,173,0,419,759
"Area Cooperative Educational Services","""2440014""","A. C. E. S. Special Education Town Campus Learning Center","""2449014""",0,"*",0,0,0,"*",12
"Area Cooperative Educational Services","""2440014""","Collaborative Alternative Magnet School","""2446114""",0,0,33,16,0,61,110
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,"*",82,50,0,"*",170
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*","*",107,279,0,340,748
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",0,7,36,24,0,109,176
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*",45,"*",0,48,128
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,"*",32,34,0,"*",93
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*","*",12,0,32,56
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*","*",267,74,0,214,605
"Ashford School District","""0030011""","Ashford School","""0030111""","*",10,"*",26,0,437,485
"Avon School District","""0040011""","Avon High School","""0046111""","*",68,"*",36,0,922,1052
"Avon School District","""0040011""","Avon Middle School","""0045111""",0,44,10,22,0,513,589
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",65,27,"*",0,492,610
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",76,"*",42,0,605,750
"Avon School District","""0040011""","Thompson Brook School","""0040511""",0,57,16,29,0,455,557
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""","*","*","*","*",0,328,341
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,"*","*",0,0,19,21
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",42,"*",18,0,960,1027
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",27,"*",19,0,688,742
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","*",35,"*",21,0,531,601
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",21,"*",24,0,527,584
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""","*","*",8,9,0,239,264
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",32,16,"*",0,490,549
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,41,10,48,0,324,423
"Bethel School District","""0090011""","Bethel High School","""0096111""","*",60,"*",98,0,832,1010
"Bethel School District","""0090011""","Bethel Middle School","""0095111""","*",41,"*",83,0,568,706
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",0,32,10,46,0,392,480
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,39,9,48,0,358,454
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,"*",577,40,0,"*",646
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,"*",273,22,0,"*",313
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",260,22,0,"*",302
"Bloomfield School District","""0110011""","J. P. Vincent School","""0110311""",0,7,270,26,0,13,316
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*",0,228,21,0,"*",265
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,11,202,11,0,8,232
"Bloomfield School District","""0110011""","The Big Picture High School","""0116211""",0,"*",68,"*",0,8,83
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,11,26,9,0,537,583
"Bolton School District","""0120011""","Bolton High School","""0126111""","*","*",8,"*",0,261,278
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","*","*",9,15,0,229,256
"Branford School District","""0140011""","Branford High School","""0146111""","*",67,"*",40,0,969,1111
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",78,"*",58,0,910,1083
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*","*",7,0,63,77
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",19,"*",37,0,301,363
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""","*",24,15,"*",0,381,436
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","*",48,"*",47,0,294,409
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""",0,0,96,"*",0,"*",160
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,6,197,386,0,11,600
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",0,33,600,570,0,54,1257
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*","*",142,233,0,13,392
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,"*",52,135,0,"*",234
"Bridgeport School District","""0150011""","Blackham School","""0154011""",0,46,347,448,0,218,1059
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,"*",29,0,"*",57
"Bridgeport School District","""0150011""","Bryant School","""0150411""",0,27,172,190,0,51,440
"Bridgeport School District","""0150011""","Central High School","""0156211""","*","*",1058,812,0,317,2287
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",0,27,322,713,0,31,1093
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*","*",207,92,0,22,343
"Bridgeport School District","""0150011""","Columbus School","""0150511""",0,0,156,397,0,76,629
"Bridgeport School District","""0150011""","Cross School","""0153911""",0,10,233,119,0,11,373
"Bridgeport School District","""0150011""","Curiale School","""0154211""",0,38,260,233,0,31,562
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,"*",222,166,0,"*",397
"Bridgeport School District","""0150011""","Edison School","""0150711""","*","*",153,129,0,25,317
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",0,39,295,363,0,74,771
"Bridgeport School District","""0150011""","Hall School","""0151111""","*",0,140,122,0,"*",273
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,"*",240,98,0,"*",354
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*","*",696,907,0,32,1652
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*","*",188,161,0,73,441
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",193,214,0,51,470
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""",0,11,352,217,0,16,596
"Bridgeport School District","""0150011""","Longfellow School","""0151911""","*","*",183,207,0,18,413
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""","*","*",230,598,0,19,854
"Bridgeport School District","""0150011""","Madison School","""0152011""",0,17,198,229,0,87,531
"Bridgeport School District","""0150011""","Make The Grade","""0159511""",0,0,23,19,0,0,42
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""","*","*",122,247,0,57,445
"Bridgeport School District","""0150011""","New Start Program","""0159411""",0,0,18,14,0,6,38
"Bridgeport School District","""0150011""","Park City Academy","""0159211""",0,0,21,"*",0,"*",34
