"Student Counts by School and Race"
"All Districts, All Schools"
"2014-15"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",733,197,"*",16,"*",954
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*",0,588,357,0,18,"*",984
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,"*","*",15,0,"*",250,275
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*",11,129,149,"*","*",285,584
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*",17,103,142,7,"*",221,498
"Ansonia School District","""0020011""","Mead School","""0020311""","*",6,123,211,"*",26,225,597
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",0,"*",20,10,0,0,"*",40
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*",16,112,220,"*",35,294,680
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,"*",6,"*",0,"*",27,39
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,"*",68,52,0,"*",29,160
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*",28,96,313,"*",16,258,713
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""","*",12,29,34,"*","*",71,151
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*",27,36,0,"*",46,113
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,"*",27,34,0,"*",24,90
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*",10,14,0,"*",14,42
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*","*",289,118,0,29,170,631
"Ashford School District","""0030011""","Ashford School","""0030111""",0,"*","*",32,0,8,369,415
"Avon School District","""0040011""","Avon High School","""0046111""","*",113,"*",65,0,43,786,1051
"Avon School District","""0040011""","Avon Middle School","""0045111""","*",64,18,30,0,"*",420,548
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",0,"*",10,"*",0,"*",27,48
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",102,33,42,"*",14,383,576
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",76,"*",37,0,24,383,546
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",70,23,24,"*",22,411,552
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*","*","*",0,"*",286,295
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,0,0,0,0,"*","*",22
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",31,25,65,"*",19,775,918
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""",0,24,17,65,0,14,582,702
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",0,20,10,44,0,16,414,504
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",8,"*",46,0,21,464,547
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,"*",7,36,0,"*",176,225
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",38,10,11,0,"*",344,407
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,20,6,76,0,13,298,413
"Bethel School District","""0090011""","Bethel High School","""0096111""",0,60,20,115,0,21,673,889
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,51,"*",114,"*",21,496,695
