"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, Special Education Status"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","Special Education Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education","*","*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-Special Education","N/A","N/A",95.3,"N/A","N/A"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Special Education","N/A","N/A","*","N/A","N/A"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",94.4,94.2,95.7,96.0,98.8
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-Special Education","N/A","N/A",86.8,90.6,87.0
"Capitol Region Education Council","Public Safety Academy","Special Education","N/A","N/A","*","*","*"
"Capitol Region Education Council","Two Rivers Magnet High School","Non-Special Education","N/A","N/A","N/A","N/A",100.0
"Capitol Region Education Council","Two Rivers Magnet High School","Special Education","N/A","N/A","N/A","N/A","*"
"Cheshire School District","Cheshire High School","Non-Special Education","*",98.1,"*","*","*"
"Cheshire School District","Cheshire High School","Special Education","*",91.7,"*","*","*"
"Clinton School District","The Morgan School","Non-Special Education","*",92.6,"*",92.9,91.9
"Clinton School District","The Morgan School","Special Education","*",72.7,"*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",97.2,95.5,"*","*","*"
"Colchester School District","Bacon Academy","Special Education",73.1,80.8,"*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",93.1,87.9,95.2,97.6,98.1
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education","*","*","*",95.5,"*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",94.6,96.3,91.8,96.3,97.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",93.3,95.1,94.6,96.7,98.5
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",91.5,82.0,91.1,89.6,90.3
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",93.6,98.5,94.1,96.4,95.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",96.7,"*","*",91.3,"*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",97.5,96.0,96.7,100.0,97.6
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",96.9,99.4,97.6,99.4,98.3
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",95.7,100.0,96.1,96.0,95.7
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",97.0,96.7,96.7,100.0,96.0
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",96.3,96.0,90.9,95.2,100.0
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",97.0,96.7,99.3,97.2,95.4
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education","*","*","*","*",95.2
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",96.5,98.6,97.2,99.3,97.2
"Connecticut Technical High School System","Norwich Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-Special Education",97.2,99.3,97.1,97.9,98.5
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-Special Education",97.1,99.0,97.9,100.0,100.0
"Connecticut Technical High School System","Platt Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-Special Education",96.0,94.8,95.8,97.7,95.2
"Connecticut Technical High School System","Vinal Technical High School","Special Education",96.8,92.0,85.7,100.0,90.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-Special Education",98.3,97.9,98.4,97.6,98.8
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Special Education","*","*","N/A","*","*"
