"Student Counts by School and Race"
"All Districts, All Schools"
"2016-17"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",765,276,"*",14,"*",1066
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*",0,653,369,0,17,"*",1057
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,"*","*",12,0,"*",208,225
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*",12,129,182,"*",13,269,616
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*",6,81,137,"*",16,194,441
"Ansonia School District","""0020011""","Mead School","""0020311""","*","*",107,264,"*",26,178,580
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",0,0,11,9,0,0,11,31
"Ansonia School District","""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","""0020411""",0,0,"*","*",0,0,"*",7
"Ansonia School District","""0020011""","Prendergast School","""0020811""",0,20,97,229,0,39,280,665
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,"*",9,"*",0,"*",24,40
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,0,79,45,0,14,30,168
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*",35,97,346,"*",25,224,732
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""","*","*",28,22,"*","*",58,118
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*","*",32,0,0,50,115
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,0,40,40,0,"*","*",102
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*",9,18,0,"*",11,41
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""",0,26,290,135,0,29,151,631
"Ashford School District","""0030011""","Ashford School","""0030111""",0,"*",9,30,"*",17,340,406
"Avon School District","""0040011""","Avon High School","""0046111""","*",122,43,55,0,"*",763,1024
"Avon School District","""0040011""","Avon Middle School","""0045111""","*",87,26,26,0,"*",396,558
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",0,10,6,8,0,0,32,56
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",132,32,41,"*",23,393,624
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",95,25,39,0,"*",335,516
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",89,25,33,0,"*",331,497
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*","*","*",0,"*",219,228
"Barkhamsted School District","""0050011""","Bridges at Barkhamsted Elementary School","""0050211""",0,0,0,0,0,0,"*","*"
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""","*",0,0,"*",0,"*",20,23
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",30,28,76,0,"*",738,891
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",23,"*",58,0,23,601,714
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","*",18,13,54,0,"*",386,482
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",14,"*",46,0,16,408,491
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,"*",6,29,0,"*",167,213
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",37,"*",22,0,6,285,356
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,26,8,75,0,15,273,397
"Bethel School District","""0090011""","Bethel High School","""0096111""",0,60,"*",136,"*",22,636,871
"Bethel School District","""0090011""","Bethel Middle School","""0095111""","*",55,16,123,"*",11,475,683
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""","*",32,"*",86,0,29,381,542
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""","*",29,10,94,0,"*",336,479
"Bethel School District","""0090011""","TASK","""0090311""",0,"*",0,"*",0,0,9,12
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,"*",447,60,0,16,"*",534
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,"*",179,28,"*",17,9,237
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",172,20,0,"*","*",201
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""","*","*",116,26,"*",9,59,217
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*","*",283,38,0,17,15,362
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",0,0,11,"*",0,0,"*",13
"Bloomfield School District","""0110011""","Metacomet School","""0110511""","*","*",216,22,0,"*",12,256
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""",0,23,130,30,0,26,114,323
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,14,38,41,0,16,424,533
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,"*",19,14,0,"*",238,281
"Booker T. Washington Academy District","""2950013""","Booker T. Washington Academy","""2950113""",0,0,208,29,0,"*","*",241
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",0,"*",10,8,0,"*",185,208
"Branford School District","""0140011""","Branford High School","""0146111""","*",69,24,75,0,"*",698,888
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",0,"*",0,"*",0,"*",37,43
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",74,33,98,0,"*",644,869
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,0,"*",9,0,"*",24,39
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",13,"*",39,0,14,253,329
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",0,23,"*",23,0,"*",331,383
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","*",55,22,54,0,"*",267,413
"Branford School District","""3480015""","Bridgeport Detention Center","""3480115""",0,0,"*","*",0,0,0,"*"
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",0,"*",68,104,0,"*",22,219
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","*",11,567,441,0,"*",14,1044
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""","*",23,166,154,0,"*",152,499
"Bridgeport School District","""0150011""","Barnum School","""0150111""","*","*",149,400,0,6,71,633
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","*",21,424,450,"*","*",59,961
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*",9,116,193,0,"*",21,349
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""",0,"*",151,176,"*",0,142,491
"Bridgeport School District","""0150011""","Black Rock School","""0150311""","*","*",81,236,0,"*",141,465
"Bridgeport School District","""0150011""","Blackham School","""0154011""","*",35,346,512,"*",7,220,1127
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,"*",25,35,0,0,"*",64
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""","*","*",103,182,0,"*",39,329
"Bridgeport School District","""0150011""","Bryant School","""0150411""",6,20,130,165,0,6,54,381
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""",0,0,22,22,0,0,0,44
"Bridgeport School District","""0150011""","Central High School","""0156211""",10,59,619,618,"*","*",201,1515
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",9,31,219,809,"*","*",93,1167
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",11,200,123,"*","*",29,373
"Bridgeport School District","""0150011""","Columbus School","""0150511""","*","*",289,442,0,13,96,843
"Bridgeport School District","""0150011""","Cross School","""0153911""",0,"*",176,169,"*","*",37,387
"Bridgeport School District","""0150011""","Curiale School","""0154211""",9,28,282,309,"*","*",78,712
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,0,189,185,"*","*",23,407
"Bridgeport School District","""0150011""","Edison School","""0150711""","*",9,116,102,0,"*",34,263
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",16,33,203,450,"*","*",80,787
"Bridgeport School District","""0150011""","Hall School","""0151111""",0,"*",123,77,0,"*",40,242
"Bridgeport School District","""0150011""","Hallen School","""0151211""","*","*",183,112,0,"*",27,333
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*",8,372,482,0,"*",105,973
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""",0,6,200,128,0,6,77,417
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",121,150,"*","*",40,321
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""","*",21,169,169,"*",6,133,502
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""",6,27,139,148,"*","*",165,490
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""","*",9,317,314,"*","*",35,682
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""","*","*",205,570,0,"*",72,858
"Bridgeport School District","""0150011""","Madison School","""0152011""","*",17,170,243,"*","*",101,537
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""",19,8,56,263,"*","*",116,466
"Bridgeport School District","""0150011""","Opportunities for Self-Discovery Community Partnership","""0152811""",0,0,8,"*",0,0,"*",15
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""",6,40,230,172,"*","*",58,509
"Bridgeport School District","""0150011""","Read School","""0152511""","*",13,347,440,"*",6,110,923
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*",24,202,298,0,"*",59,587
"Bridgeport School District","""0150011""","Skane Center","""0154411""",0,18,53,93,0,0,56,220
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",0,"*",157,305,0,"*",24,490
"Bridgeport School District","""0150011""","Winthrop School","""0153611""","*",35,210,216,0,"*",201,678
"Bristol School District","""0170011""","ACCESS","""0170211""",0,0,0,0,0,0,"*","*"
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*","*",0,0,10,21
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*",47,91,264,"*","*",736,1147
"Bristol School District","""0170011""","Bristol Early Childhood Center-BECC","""0170411""",0,"*",6,18,0,"*",54,86
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*",44,86,207,"*",0,796,1138
"Bristol School District","""0170011""","Bristol Preparatory Academy","""0173311""",0,0,"*",12,0,"*",28,46
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""","*","*",60,195,0,0,477,751
"Bristol School District","""0170011""","Chippens Hill Middle School Functional Program","""0171011""",0,0,"*",7,0,0,"*",12
"Bristol School District","""0170011""","Chms Goal","""0173411""",0,0,0,"*",0,0,"*",7
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,0,"*","*",0,0,9,12
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,"*",17,92,"*",0,203,328
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""","*",22,40,148,0,"*",202,415
"Bristol School District","""0170011""","Extended Resource Self-Contained","""0173611""",0,0,"*","*",0,0,"*",8
"Bristol School District","""0170011""","Greene-Hills GOAL","""0170911""",0,0,0,0,0,0,"*","*"
"Bristol School District","""0170011""","Greene-Hills School","""0170511""","*",42,74,271,"*",0,534,924
"Bristol School District","""0170011""","Hubbell Autism Program","""0173711""",0,0,"*","*",0,0,"*",10
"Bristol School District","""0170011""","Hubbell/Extended Resource","""0172111""",0,"*",0,"*",0,0,7,13
"Bristol School District","""0170011""","Ivy Drive GOAL","""0172611""",0,0,"*","*",0,0,"*","*"
"Bristol School District","""0170011""","Ivy Drive Medically Fragile","""0172311""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","Ivy Drive School","""0171911""",0,11,48,68,"*","*",258,388
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,34,24,70,0,0,234,362
"Bristol School District","""0170011""","Mt. View GOAL","""0172511""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","Northeast MS/Extended Resource","""0172711""",0,0,0,0,0,0,"*","*"
