"Student Counts by School and Race"
"All Districts, All Schools"
"2011-12"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",646,106,"*",6,"*",762
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*",0,536,295,0,13,"*",857
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,"*","*","*",0,9,292,314
"Ansonia School District","""0020011""","Ansonia High School","""0026111""",0,"*",155,155,"*",0,375,695
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""",6,"*",98,122,"*",0,240,472
"Ansonia School District","""0020011""","Mead School","""0020311""","*",7,119,166,7,"*",302,610
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*",12,148,205,9,"*",358,738
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,"*","*","*",0,"*",19,31
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,"*",62,49,0,"*",37,160
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*",24,111,278,0,"*",290,721
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",0,10,33,26,0,0,79,148
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""","*","*",41,32,0,"*",36,114
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,0,50,30,0,"*","*",94
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,0,12,"*",0,"*",26,47
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*",37,261,107,0,"*",200,640
"Ashford School District","""0030011""","Ashford School","""0030111""",0,7,"*",37,"*",12,420,481
"Avon School District","""0040011""","Avon High School","""0046111""","*",78,33,49,"*",23,924,1112
"Avon School District","""0040011""","Avon Middle School","""0045111""",0,48,15,39,0,13,457,572
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",80,23,45,0,"*",464,631
"Avon School District","""0040011""","Roaring Brook School","""0040311""",0,51,"*",33,"*",21,466,590
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",55,"*",31,0,25,468,594
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*","*","*",0,"*",328,338
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,0,0,"*",0,0,"*",19
"Berlin School District","""0070011""","Berlin High School","""0076111""",0,36,"*",72,0,"*",843,976
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",23,"*",38,0,22,630,730
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",0,25,"*",36,0,"*",415,492
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",11,"*",42,0,19,502,577
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,"*",7,17,0,"*",208,241
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",36,"*",10,0,0,435,491
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,21,"*",68,0,"*",290,389
