"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","School","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","Amistad Academy",71.4,69.6,82.6,82.8,90.0
"Ansonia School District","Ansonia High School",76.5,76.1,80.0,88.9,88.8
"Avon School District","Avon High School",96.5,96.6,"*",96.3,97.5
"Berlin School District","Berlin High School",95.4,96.2,95.3,94.3,95.2
"Bethel School District","Bethel High School",94.9,93.1,92.6,95.8,96.0
"Bloomfield School District","Bloomfield High School",83.3,91.2,90.2,87.1,93.3
"Bloomfield School District","Global Experience Magnet School","N/A","*","*",100.0,100.0
"Bloomfield School District","Learning Academy at Bloomfield","N/A","*","*","*","*"
"Bloomfield School District","The Big Picture High School","*","N/A","N/A","N/A","N/A"
"Bolton School District","Bolton High School",90.4,"*",95.0,"*",94.0
"Branford School District","Branford High School",95.2,92.9,92.8,91.9,95.0
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","N/A","N/A","N/A",93.5,80.0
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","N/A","N/A","N/A","N/A",81.4
"Bridgeport School District","Bassick High School",47.7,59.2,62.2,59.6,60.8
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","N/A","N/A","N/A","N/A",92.9
"Bridgeport School District","Central High School",78.4,77.6,80.6,76.8,76.0
"Bridgeport School District","Harding High School",66.1,60.9,69.8,54.1,56.9
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","N/A","N/A","N/A","N/A",95.1
"Bristol School District","Bristol Central High School",86.1,81.6,83.0,81.8,83.7
"Bristol School District","Bristol Eastern High School",86.2,81.5,84.3,86.7,90.5
"Brookfield School District","Brookfield High School",97.2,96.3,97.4,96.5,97.2
"Canton School District","Canton High School",97.5,95.1,94.8,96.9,96.1
"Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","N/A","N/A","N/A","N/A","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","N/A",86.8,84.8,82.0,90.6
"Capitol Region Education Council","Academy of Science and Innovation","N/A","N/A","N/A",97.5,88.4
"Capitol Region Education Council","Great Path Academy at MCC",81.0,"N/A","N/A","N/A","N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",87.9,82.8,84.2,91.0,91.2
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","N/A","N/A",93.5,"N/A","N/A"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",93.4,94.5,95.8,96.3,98.9
"Capitol Region Education Council","Public Safety Academy","N/A","N/A",84.4,88.9,81.4
"Capitol Region Education Council","Two Rivers Magnet High School","N/A","N/A","N/A","N/A",98.7
"Cheshire School District","Cheshire High School",98.5,97.5,98.4,"*",97.3
"Clinton School District","The Morgan School",92.6,89.5,94.5,90.6,88.5
"Colchester School District","Bacon Academy",94.7,94.0,95.6,95.4,95.7
"Common Ground High School District","Common Ground High School",90.3,89.5,"*",100.0,91.2
"Connecticut Technical High School System","A. I. Prince Technical High School",92.9,88.4,95.6,97.4,97.8
"Connecticut Technical High School System","Bullard-Havens Technical High School",94.7,96.4,91.9,95.9,97.4
"Connecticut Technical High School System","E. C. Goodwin Technical High School",93.0,95.5,95.1,97.0,98.6
"Connecticut Technical High School System","Eli Whitney Technical High School",92.0,83.3,91.9,90.1,91.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",94.2,98.0,94.5,95.3,96.3
"Connecticut Technical High School System","Emmett O'Brien Technical High School",97.0,96.6,96.1,100.0,97.2
"Connecticut Technical High School System","H. C. Wilcox Technical High School",97.1,99.4,96.6,99.4,98.4
"Connecticut Technical High School System","H. H. Ellis Technical High School",96.2,100.0,96.4,96.5,95.2
"Connecticut Technical High School System","Henry Abbott Technical High School",96.9,96.6,95.8,99.3,96.6
"Connecticut Technical High School System","Howell Cheney Technical High School",97.2,97.0,99.4,95.5,95.4
"Connecticut Technical High School System","Norwich Technical High School",96.7,98.7,97.4,98.8,96.8
"Connecticut Technical High School System","Oliver Wolcott Technical High School",97.5,98.8,96.6,98.1,98.6
"Connecticut Technical High School System","Platt Technical High School",97.2,99.0,98.1,100.0,100.0
