"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Canton School District","""0230011""","Canton Academy","""0230411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","""0230011""","Canton High School","""0236111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","""0230011""","Canton High School","""0236111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","""2970013""","Capital Preparatory Harbor School Inc.","""2970113""","ELA",33,33,100.0,33,13,39.4,9,27.3,11,33.3,0,0.0,11,33.3,448
"Capital Preparatory Harbor School Inc. District","""2970013""","Capital Preparatory Harbor School Inc.","""2970113""","Math",33,33,100.0,33,17,51.5,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""","ELA",108,106,98.1,106,8,7.5,9,8.5,50,47.2,39,36.8,89,84.0,578
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""","Math",108,106,98.1,106,13,12.3,32,30.2,28,26.4,33,31.1,61,57.5,567
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""","ELA",81,81,100.0,81,"*","*",27,33.3,37,45.7,"*","*","*","*",489
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""","Math",81,81,100.0,81,26,32.1,40,49.4,15,18.5,0,0.0,15,18.5,449
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","ELA",112,108,96.4,108,23,21.3,29,26.9,43,39.8,13,12.0,56,51.9,496
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","Math",112,108,96.4,108,42,38.9,52,48.1,"*","*","*","*",14,13.0,441
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""","ELA",16,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""","Math",16,8,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","ELA",80,78,97.5,78,10,12.8,19,24.4,41,52.6,8,10.3,49,62.8,512
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","Math",80,78,97.5,78,22,28.2,41,52.6,"*","*","*","*",15,19.2,459
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""","ELA",69,69,100.0,69,24,34.8,31,44.9,14,20.3,0,0.0,14,20.3,433
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""","Math",69,69,100.0,69,42,60.9,"*","*","*","*",0,0.0,"*","*",401
"Capitol Region Education Council","""2410014""","Two Rivers Magnet High School","""2416714""","ELA",96,94,97.9,94,28,29.8,21,22.3,39,41.5,6,6.4,45,47.9,475
"Capitol Region Education Council","""2410014""","Two Rivers Magnet High School","""2416714""","Math",96,94,97.9,94,35,37.2,41,43.6,"*","*","*","*",18,19.1,451
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","ELA",329,322,97.9,322,12,3.7,32,9.9,181,56.2,97,30.1,278,86.3,575
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","Math",329,322,97.9,321,22,6.9,89,27.7,142,44.2,68,21.2,210,65.4,565
"Cheshire School District","""0250011""","Humiston Alternative School","""0250911""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","""0250011""","Humiston Alternative School","""0250911""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","""0270011""","The Morgan School","""0276111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","""0270011""","The Morgan School","""0276111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","""0280011""","Bacon Academy","""0286111""","ELA",217,215,99.1,215,17,7.9,32,14.9,124,57.7,42,19.5,166,77.2,541
"Colchester School District","""0280011""","Bacon Academy","""0286111""","Math",217,215,99.1,215,25,11.6,70,32.6,93,43.3,27,12.6,120,55.8,531
"Colchester School District","""0280011""","Bacon Academy Alternative Education","""0280511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","""0280011""","Bacon Academy Alternative Education","""0280511""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""","ELA",43,43,100.0,43,8,18.6,12,27.9,15,34.9,8,18.6,23,53.5,513
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""","Math",43,43,100.0,43,17,39.5,16,37.2,"*","*","*","*",10,23.3,462
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","ELA",178,178,100.0,178,72,40.4,67,37.6,"*","*","*","*",39,21.9,430
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","Math",178,178,100.0,178,106,59.6,"*","*","*","*",0,0.0,"*","*",395
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","ELA",188,188,100.0,188,"*","*",71,37.8,72,38.3,"*","*","*","*",461
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","Math",188,188,100.0,188,68,36.2,109,58.0,"*","*","*","*",11,5.9,432
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","ELA",144,143,99.3,143,"*","*",43,30.1,61,42.7,"*","*","*","*",469
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","Math",144,143,99.3,143,37,25.9,84,58.7,22,15.4,0,0.0,22,15.4,455
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","ELA",122,122,100.0,122,55,45.1,38,31.1,29,23.8,0,0.0,29,23.8,427
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","Math",122,122,100.0,122,68,55.7,"*","*","*","*",0,0.0,"*","*",407
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""","ELA",99,99,100.0,99,24,24.2,"*","*",51,51.5,"*","*","*","*",474
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""","Math",99,99,100.0,99,21,21.2,65,65.7,"*","*","*","*",13,13.1,462
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","ELA",138,137,99.3,137,"*","*",42,30.7,63,46.0,"*","*","*","*",468
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","Math",138,137,99.3,137,46,33.6,81,59.1,10,7.3,0,0.0,10,7.3,437
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","ELA",162,162,100.0,162,23,14.2,43,26.5,86,53.1,10,6.2,96,59.3,496
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","Math",162,162,100.0,161,34,21.1,97,60.2,"*","*","*","*",30,18.6,466
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","ELA",149,147,98.7,147,27,18.4,43,29.3,71,48.3,6,4.1,77,52.4,484
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","Math",149,147,98.7,147,"*","*",96,65.3,29,19.7,"*","*","*","*",476
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","ELA",157,157,100.0,157,29,18.5,46,29.3,76,48.4,6,3.8,82,52.2,484
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","Math",157,157,100.0,157,35,22.3,86,54.8,"*","*","*","*",36,22.9,467
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","ELA",147,147,100.0,147,26,17.7,61,41.5,54,36.7,6,4.1,60,40.8,471
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","Math",147,147,100.0,147,40,27.2,85,57.8,"*","*","*","*",22,15.0,459
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""","ELA",101,100,99.0,100,33,33.0,39,39.0,"*","*","*","*",28,28.0,447
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""","Math",101,100,99.0,100,33,33.0,58,58.0,"*","*","*","*",9,9.0,439
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","ELA",148,148,100.0,148,"*","*",40,27.0,80,54.1,"*","*","*","*",489
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","Math",148,148,100.0,147,"*","*",98,66.7,26,17.7,"*","*","*","*",475
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","ELA",159,157,98.7,157,"*","*",45,28.7,80,51.0,"*","*","*","*",486
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","Math",159,157,98.7,157,46,29.3,84,53.5,"*","*","*","*",27,17.2,464
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","ELA",191,191,100.0,191,39,20.4,61,31.9,85,44.5,6,3.1,91,47.6,479
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","Math",191,191,100.0,190,41,21.6,114,60.0,"*","*","*","*",35,18.4,468
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","ELA",105,105,100.0,105,35,33.3,"*","*",42,40.0,"*","*","*","*",465
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","Math",105,105,100.0,105,34,32.4,55,52.4,16,15.2,0,0.0,16,15.2,446
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","ELA",177,175,98.9,175,18,10.3,41,23.4,110,62.9,6,3.4,116,66.3,500
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","Math",177,175,98.9,175,"*","*",111,63.4,34,19.4,"*","*","*","*",476
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","ELA",126,125,99.2,125,"*","*",41,32.8,54,43.2,"*","*","*","*",476
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","Math",126,125,99.2,125,32,25.6,69,55.2,"*","*","*","*",24,19.2,465
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","ELA",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","Math",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","""0320011""","Coventry Academy","""0320111""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","""0320011""","Coventry Academy","""0320111""","Math",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","""0320011""","Coventry High School","""0326111""","ELA",112,110,98.2,110,9,8.2,16,14.5,53,48.2,32,29.1,85,77.3,558
"Coventry School District","""0320011""","Coventry High School","""0326111""","Math",112,110,98.2,110,11,10.0,35,31.8,50,45.5,14,12.7,64,58.2,537
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""","ELA",20,20,100.0,20,9,45.0,"*","*","*","*",0,0.0,"*","*",433
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""","Math",20,20,100.0,20,11,55.0,"*","*","*","*",0,0.0,"*","*",417
"Danbury School District","""0340011""","Danbury High School","""0346111""","ELA",672,652,97.0,652,147,22.5,127,19.5,308,47.2,70,10.7,378,58.0,497
"Danbury School District","""0340011""","Danbury High School","""0346111""","Math",672,652,97.0,649,188,29.0,295,45.5,139,21.4,27,4.2,166,25.6,468
"Darien School District","""0350011""","Darien High School","""0356111""","ELA",339,325,95.9,325,8,2.5,9,2.8,130,40.0,178,54.8,308,94.8,627
"Darien School District","""0350011""","Darien High School","""0356111""","Math",339,325,95.9,324,"*","*","*","*",119,36.7,159,49.1,278,85.8,633
"Derby School District","""0370011""","Derby High School","""0376111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","""0370011""","Derby High School","""0376111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","""0370011""","RAISE Academy","""0370511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","""0370011""","RAISE Academy","""0370511""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","""0400011""","East Granby High School","""0406111""","ELA","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"East Granby School District","""0400011""","East Granby High School","""0406111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""","ELA",83,80,96.4,80,10,12.5,14,17.5,41,51.3,15,18.8,56,70.0,525
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""","Math",83,80,96.4,80,22,27.5,36,45.0,"*","*","*","*",22,27.5,474
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","ELA",48,48,100.0,48,"*","*","*","*",31,64.6,10,20.8,41,85.4,568
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","Math",48,48,100.0,48,"*","*",18,37.5,24,50.0,"*","*","*","*",533
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","ELA",349,344,98.6,344,106,30.8,97,28.2,115,33.4,26,7.6,141,41.0,468
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","Math",349,344,98.6,341,118,34.6,142,41.6,62,18.2,19,5.6,81,23.8,460
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""","ELA",36,30,83.3,30,23,76.7,"*","*","*","*",0,0.0,"*","*",390
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""","Math",36,30,83.3,30,24,80.0,6,20.0,0,0.0,0,0.0,0,0.0,373
"East Hartford School District","""0430011""","Woodland School","""0439011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","""0430011""","Woodland School","""0439011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","""0440011""","East Haven High School","""0446111""","ELA",225,216,96.0,216,43,19.9,57,26.4,106,49.1,10,4.6,116,53.7,487
"East Haven School District","""0440011""","East Haven High School","""0446111""","Math",225,216,96.0,216,51,23.6,125,57.9,"*","*","*","*",40,18.5,462
"East Lyme School District","""0450011""","Coastal Connections","""0450611""","ELA",12,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","""0450011""","Coastal Connections","""0450611""","Math",12,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","""0450011""","East Lyme High School","""0456111""","ELA",266,262,98.5,262,15,5.7,16,6.1,149,56.9,82,31.3,231,88.2,579
"East Lyme School District","""0450011""","East Lyme High School","""0456111""","Math",266,262,98.5,262,21,8.0,86,32.8,90,34.4,65,24.8,155,59.2,559
"East Windsor School District","""0470011""","East Windsor High School","""0476111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","""0470011""","East Windsor High School","""0476111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","ELA",31,31,100.0,31,"*","*",9,29.0,"*","*","*","*","*","*",485
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","Math",31,31,100.0,31,"*","*",19,61.3,0,0.0,"*","*","*","*",434
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""","ELA",10,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""","Math",10,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Quinebaug Middle College","""2536114""","ELA",41,38,92.7,38,12,31.6,"*","*",16,42.1,"*","*","*","*",471
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Quinebaug Middle College","""2536114""","Math",41,38,92.7,38,17,44.7,"*","*","*","*","*","*","*","*",431
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
