"Primary Disability (K-12), Trend"
"All Districts, Learning Disability"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"Canterbury School District","""0220011""",15,2.2,22.4,10,1.5,14.9,11,1.7,15.5,14,2.2,20.3,20,3.2,26.3
"Canton School District","""0230011""",48,2.7,31.2,61,3.6,37.0,68,4.1,39.1,63,3.8,34.8,63,3.8,35.0
"Chaplin School District","""0240011""",9,5.7,56.3,11,7.0,52.4,10,6.4,43.5,10,5.8,37.0,"*","*","*"
"Cheshire School District","""0250011""",118,2.5,25.5,127,2.8,27.2,127,2.8,26.8,130,3.0,26.9,136,3.1,27.9
"Chester School District","""0260011""",17,6.7,39.5,14,6.1,40.0,16,7.3,45.7,15,7.1,44.1,14,6.7,42.4
"Clinton School District","""0270011""",62,3.2,31.6,57,2.9,28.1,57,3.0,28.2,63,3.5,30.9,76,4.3,36.0
"Colchester School District","""0280011""",105,3.6,30.4,126,4.5,34.9,115,4.3,31.9,106,4.1,28.9,102,4.0,27.9
"Colebrook School District","""0290011""","*","*","*","*","*","*","*","*","*",9,10.0,47.4,6,7.3,35.3
"Columbia School District","""0300011""",24,3.4,34.8,24,3.4,34.8,28,4.0,37.3,28,4.1,30.8,35,5.1,36.1
"Connecticut Technical High School System","""9000016""",457,4.3,57.3,507,4.7,57.7,562,5.2,58.2,584,5.5,57.4,593,5.6,59.4
"Cornwall School District","""0310011""","*","*","*",8,7.8,42.1,8,8.8,50.0,7,7.7,53.8,"*","*","*"
"Coventry School District","""0320011""",74,4.1,35.1,79,4.4,37.1,81,4.7,39.5,88,5.2,42.3,92,5.5,42.8
"Cromwell School District","""0330011""",54,2.7,27.1,54,2.7,26.3,66,3.2,30.8,63,3.1,28.4,62,3.0,26.6
"Danbury School District","""0340011""",464,4.5,41.4,514,4.9,43.0,555,5.2,44.8,576,5.3,44.2,572,5.2,43.5
"Darien School District","""0350011""",179,3.7,30.7,159,3.2,30.5,177,3.6,32.0,185,3.8,31.5,194,4.1,31.5
"Deep River School District","""0360011""",13,3.7,31.7,17,5.1,39.5,16,5.1,33.3,17,5.6,39.5,15,5.2,40.5
"Department of Mental Health and Addiction Services","""3370015""",0,0,0,0,0,0,"*","*","*",0,0,0,0,0,0
"Derby School District","""0370011""",51,3.3,27.1,50,3.1,24.4,52,3.4,24.4,54,3.6,26.1,53,3.6,24.4
"East Granby School District","""0400011""",37,4.1,40.7,33,3.7,39.3,34,3.7,36.6,40,4.5,40.0,46,5.2,43.8
"East Haddam School District","""0410011""",44,3.5,27.5,47,3.9,27.0,46,4.0,27.1,41,3.7,25.3,36,3.4,26.5
"East Hampton School District","""0420011""",38,2.0,25.0,38,1.9,24.7,42,2.2,26.9,46,2.4,28.9,53,2.7,28.0
"East Hartford School District","""0430011""",282,3.6,25.9,292,3.7,26.1,309,3.9,27.9,326,4.2,28.3,377,4.9,31.3
"East Haven School District","""0440011""",109,3.1,24.7,111,3.3,25.5,131,4.0,30.7,144,4.3,32.8,146,4.5,32.9
"East Lyme School District","""0450011""",127,4.7,39.0,132,5.0,39.4,135,5.2,39.4,135,5.3,41.3,141,5.4,40.3
"East Windsor School District","""0470011""",70,5.3,34.5,71,5.5,35.9,83,6.7,38.1,71,5.9,37.2,72,6.3,38.5
"Eastford School District","""0390011""","*","*","*","*","*","*","*","*","*",6,3.4,24.0,9,4.9,27.3
"Easton School District","""0460011""",23,2.3,30.7,28,3.0,32.9,38,4.2,42.7,29,3.2,34.1,43,5.0,48.3
"Ellington School District","""0480011""",132,4.8,46.0,146,5.4,49.3,143,5.3,49.5,135,5.0,45.6,148,5.5,47.0
"Enfield School District","""0490011""",232,4.1,31.1,231,4.3,30.8,251,4.6,32.9,270,5.0,34.7,271,5.0,33.5
"Essex School District","""0500011""","*","*","*",8,1.8,17.8,11,2.7,18.6,13,3.5,24.1,12,3.6,23.1
"Fairfield School District","""0510011""",359,3.5,32.5,349,3.4,32.2,346,3.4,31.6,344,3.4,32.3,352,3.5,31.5
"Farmington School District","""0520011""",112,2.7,25.6,115,2.8,26.4,130,3.2,28.0,128,3.2,26.8,143,3.5,29.3
"Franklin School District","""0530011""",9,3.3,27.3,11,4.3,32.4,11,4.4,34.4,11,4.5,35.5,8,3.3,32.0
"Glastonbury School District","""0540011""",161,2.4,26.6,156,2.4,25.4,171,2.7,27.7,200,3.2,31.3,209,3.4,32.5
"Granby School District","""0560011""",66,3.2,36.1,62,3.1,32.3,65,3.3,32.7,65,3.4,30.2,76,4.1,34.9
"Greenwich School District","""0570011""",336,3.9,38.8,344,4.0,40.3,361,4.2,41.1,383,4.5,42.9,390,4.5,41.9
"Griswold School District","""0580011""",74,4.1,31.1,68,3.8,26.8,65,3.7,26.4,68,3.9,28.1,76,4.5,32.1
"Groton School District","""0590011""",220,4.4,31.2,210,4.3,28.8,214,4.4,29.4,222,4.7,30.0,224,4.8,30.6
"Guilford School District","""0600011""",112,3.1,30.5,109,3.1,29.2,110,3.2,28.1,118,3.5,29.7,118,3.5,28.0
"Hamden School District","""0620011""",232,3.4,28.7,257,3.8,29.4,278,4.3,29.3,307,4.8,30.0,315,5.0,29.0
"Hampton School District","""0630011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","""0640011""",1368,6.7,40.4,1256,6.2,36.8,1259,6.1,35.4,1277,6.3,34.2,1395,6.9,35.4
"Hartland School District","""0650011""",11,3.7,37.9,14,5.0,43.8,14,5.2,42.4,15,5.6,42.9,14,5.4,37.8
"Hebron School District","""0670011""",28,3.0,26.4,33,3.9,34.7,34,4.4,32.4,27,3.8,30.7,24,3.6,29.6
"Kent School District","""0680011""",15,5.9,53.6,14,5.6,56.0,15,6.4,62.5,13,5.8,52.0,12,5.3,54.5
"Killingly School District","""0690011""",69,2.8,18.8,83,3.5,22.0,91,4.0,22.9,91,4.0,23.2,98,4.3,25.2
"Lebanon School District","""0710011""",62,5.5,41.1,63,5.7,40.4,64,6.1,40.8,61,6.1,43.0,51,5.3,38.3
"Ledyard School District","""0720011""",83,3.4,24.9,92,3.7,26.7,96,4.0,27.1,101,4.3,28.1,114,5.0,29.2
"Lisbon School District","""0730011""",25,4.0,30.9,18,2.9,21.2,13,2.2,18.6,15,2.7,23.4,17,3.0,24.3
"Litchfield School District","""0740011""",48,4.6,40.0,49,4.9,44.5,46,4.7,40.4,45,4.7,39.8,51,5.5,38.9
"Madison School District","""0760011""",140,4.2,39.8,147,4.5,41.1,147,4.7,40.4,136,4.5,38.4,134,4.6,36.5
"Manchester School District","""0770011""",291,4.1,31.0,268,3.8,30.1,286,4.0,32.1,257,3.6,29.4,283,3.9,30.2
"Mansfield School District","""0780011""",54,4.4,38.3,53,4.5,37.9,58,4.9,40.6,54,4.6,39.4,56,4.9,42.4
"Marlborough School District","""0790011""",31,4.9,53.4,28,4.7,53.8,22,3.7,47.8,18,3.3,42.9,22,4.2,42.3
"Meriden School District","""0800011""",440,4.9,34.0,500,5.6,35.5,531,6.0,35.8,537,6.1,35.6,534,6.1,33.9
"Middletown School District","""0830011""",158,3.1,26.6,167,3.3,27.7,184,3.6,29.0,181,3.7,28.1,167,3.4,26.1
"Milford School District","""0840011""",149,2.2,17.9,156,2.4,19.5,135,2.1,17.7,144,2.3,19.2,156,2.6,20.9
"Monroe School District","""0850011""",131,3.7,35.9,120,3.6,33.5,117,3.5,33.3,124,3.9,35.1,137,4.3,39.6
"Montville School District","""0860011""",75,3.0,26.1,80,3.2,28.6,81,3.3,28.5,104,4.4,31.5,106,4.5,32.2
"Naugatuck School District","""0880011""",224,4.9,38.5,246,5.5,40.8,264,6.0,41.2,271,6.2,40.1,271,6.2,40.3
"New Britain School District","""0890011""",548,5.0,34.1,568,5.3,34.7,582,5.3,34.5,604,5.4,34.4,679,6.1,35.7
"New Canaan School District","""0900011""",108,2.6,28.1,105,2.5,29.0,116,2.8,30.1,129,3.1,32.1,153,3.6,34.9
"New Fairfield School District","""0910011""",86,3.2,31.4,74,2.8,28.8,72,2.8,29.8,71,2.9,30.9,72,3.1,32.6
"New Hartford School District","""0920011""",14,2.5,24.6,17,3.2,32.1,20,4.0,37.7,23,4.8,41.1,20,4.5,40.0
"New Haven School District","""0930011""",864,4.6,36.9,931,4.9,38.4,1012,5.2,38.4,1051,5.3,37.9,1145,5.7,38.9
"New London School District","""0950011""",169,4.9,27.1,178,5.2,27.6,204,5.8,30.7,210,6.0,31.8,205,5.7,31.4
"New Milford School District","""0960011""",154,3.4,26.0,165,3.8,28.4,164,3.9,29.1,172,4.2,30.9,178,4.4,32.1
"Newington School District","""0940011""",211,4.8,39.1,222,5.1,41.7,232,5.4,44.0,233,5.6,45.2,241,5.8,46.6
"Newtown School District","""0970011""",103,2.0,26.0,101,2.1,24.9,109,2.3,24.9,126,2.7,26.6,142,3.2,28.8
"Norfolk School District","""0980011""","*","*","*","*","*","*",7,6.8,35.0,"*","*","*","*","*","*"
"North Branford School District","""0990011""",90,4.2,32.1,105,5.1,36.3,99,4.9,34.3,104,5.4,37.4,106,5.6,41.7
"North Canaan School District","""1000011""",10,3.3,23.3,10,3.5,22.7,10,3.7,22.2,12,4.8,26.7,11,4.2,29.7
"North Haven School District","""1010011""",109,3.1,30.9,113,3.3,30.5,123,3.7,31.9,129,4.0,36.0,131,4.1,37.0
"North Stonington School District","""1020011""",24,3.2,35.3,18,2.4,27.7,23,3.1,35.9,18,2.5,27.3,15,2.1,27.8
"Norwalk School District","""1030011""",430,3.8,36.2,463,4.1,37.9,491,4.3,37.3,526,4.6,37.0,581,5.0,38.0
"Norwich School District","""1040011""",236,4.3,26.5,216,3.9,24.7,253,4.6,27.7,255,4.7,29.2,299,5.4,31.7
"Old Saybrook School District","""1060011""",46,3.2,22.4,55,4.0,26.2,48,3.5,24.1,38,2.9,21.6,37,2.9,21.4
"Orange School District","""1070011""",41,3.3,36.6,41,3.5,37.6,37,3.2,36.3,32,2.8,33.7,32,2.8,33.7
"Oxford School District","""1080011""",55,2.6,35.7,66,3.2,31.7,67,3.3,28.9,71,3.5,29.0,76,3.8,31.0
"Plainfield School District","""1090011""",75,3.2,25.6,68,2.9,24.6,89,4.0,28.9,91,4.2,30.2,90,4.2,30.1
"Plainville School District","""1100011""",80,3.3,25.6,80,3.4,24.5,65,2.7,20.6,67,2.8,22.0,61,2.6,20.9
"Plymouth School District","""1110011""",74,4.2,30.0,69,4.1,29.6,61,3.7,26.1,54,3.3,22.9,63,3.9,25.7
"Pomfret School District","""1120011""",25,3.8,37.3,25,4.1,38.5,18,3.1,32.1,18,3.1,27.7,18,3.2,31.6
"Portland School District","""1130011""",46,3.3,37.1,53,3.7,41.7,57,4.2,41.6,65,4.7,46.4,62,4.5,46.6
"Preston School District","""1140011""",11,1.8,13.4,15,2.4,16.5,18,3.0,17.5,14,2.3,14.3,18,3.0,17.5
"Putnam School District","""1160011""",63,5.4,36.2,67,5.7,35.1,66,5.6,36.7,71,6.3,37.4,70,6.3,35.4
"Redding School District","""1170011""",32,3.0,23.9,29,2.9,22.3,29,3.0,23.2,30,3.3,25.9,28,3.1,25.9
"Regional School District 01","""2010012""",30,7.0,51.7,28,6.5,45.9,36,9.0,52.9,38,9.0,54.3,36,8.9,51.4
"Regional School District 04","""2040012""",59,5.8,42.4,58,5.8,40.0,53,5.3,40.2,49,5.1,34.3,52,5.4,34.9
"Regional School District 05","""2050012""",99,4.1,35.6,92,3.8,34.2,86,3.7,31.9,87,3.8,31.4,90,4.0,32.4
"Regional School District 06","""2060012""",48,5.5,43.2,51,6.2,45.9,51,6.5,47.2,50,6.4,42.4,47,6.1,37.3
"Regional School District 07","""2070012""",41,3.8,36.3,48,4.5,39.7,48,4.8,41.4,48,4.7,40.0,50,4.9,40.3
"Regional School District 08","""2080012""",82,4.4,36.1,81,4.4,36.8,79,4.5,35.7,77,4.5,38.1,73,4.4,36.1
"Regional School District 09","""2090012""",35,3.3,28.5,45,4.1,36.0,38,3.5,31.4,46,4.4,35.4,36,3.6,30.0
"Regional School District 10","""2100012""",90,3.4,34.4,87,3.3,34.5,82,3.3,32.4,90,3.7,36.4,98,4.1,38.7
"Regional School District 11","""2110012""",26,7.9,37.7,26,8.1,41.3,28,9.0,39.4,15,5.3,24.6,17,6.0,29.8
"Regional School District 12","""2120012""",50,6.2,39.7,46,6.0,36.5,41,5.8,35.7,42,6.3,37.5,44,7.0,38.9
"Regional School District 13","""2130012""",97,5.0,34.9,101,5.4,37.0,97,5.4,37.3,88,5.1,35.1,87,5.0,35.7
"Regional School District 14","""2140012""",65,3.8,32.5,63,3.8,34.2,67,4.4,38.3,70,4.7,42.4,83,5.5,41.3
"Regional School District 15","""2150012""",198,4.8,39.9,190,4.7,40.4,179,4.6,37.8,186,4.9,37.1,204,5.5,37.0
"Regional School District 16","""2160012""",66,2.8,24.8,79,3.4,27.5,88,3.8,27.8,91,4.1,28.8,93,4.2,31.6
"Regional School District 17","""2170012""",123,5.4,39.5,123,5.5,38.4,129,5.9,39.3,136,6.4,39.3,136,6.5,38.6
"Regional School District 18","""2180012""",55,3.9,34.8,55,4.0,34.2,58,4.4,35.2,58,4.4,36.7,55,4.3,34.6
"Regional School District 19","""2190012""",56,5.1,32.2,58,5.7,34.7,57,5.7,34.5,59,6.0,34.1,44,4.7,28.0
"Ridgefield School District","""1180011""",178,3.4,39.9,184,3.5,40.8,171,3.3,36.6,169,3.4,37.5,171,3.5,36.3
"Rocky Hill School District","""1190011""",68,2.6,31.3,76,3.0,33.6,79,3.0,32.8,83,3.0,31.7,98,3.6,37.0
"Salem School District","""1210011""",20,2.9,32.3,22,3.3,32.8,32,5.0,41.6,34,5.5,36.2,36,5.8,34.0
"Salisbury School District","""1220011""",13,4.5,37.1,12,4.5,38.7,11,4.3,34.4,9,3.5,31.0,9,3.4,36.0
"Scotland School District","""1230011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","""1240011""",105,4.4,43.2,111,4.7,43.4,121,5.2,45.1,127,5.6,47.4,139,6.3,47.8
"Sharon School District","""1250011""",13,7.5,44.8,15,9.4,42.9,17,10.6,51.5,16,11.0,66.7,17,12.5,65.4
"Shelton School District","""1260011""",221,4.3,38.8,242,4.8,39.7,269,5.3,43.2,296,5.8,45.7,298,6.0,44.7
"Sherman School District","""1270011""",23,4.2,33.3,19,3.6,28.8,24,4.7,33.3,23,4.8,37.1,22,4.7,37.9
"Simsbury School District","""1280011""",185,4.0,34.6,192,4.3,35.8,197,4.5,35.1,190,4.5,34.6,193,4.6,34.5
"Somers School District","""1290011""",58,3.7,35.2,58,3.8,33.9,52,3.5,32.5,48,3.3,29.4,56,3.9,30.4
"South Windsor School District","""1320011""",135,3.1,25.0,142,3.2,25.6,154,3.5,28.2,162,3.8,30.6,167,3.9,30.2
"Southington School District","""1310011""",241,3.6,31.1,242,3.6,30.9,243,3.6,30.6,231,3.5,29.6,266,4.1,32.3
"Sprague School District","""1330011""","*","*","*",7,1.6,15.6,11,2.5,18.3,16,3.5,23.9,20,4.4,29.0
"Stafford School District","""1340011""",57,3.5,31.1,59,3.8,32.4,66,4.3,35.7,65,4.3,34.2,74,5.0,35.7
"Stamford School District","""1350011""",618,3.9,40.3,681,4.3,41.0,699,4.4,40.2,753,4.8,41.7,812,5.1,42.1
"Sterling School District","""1360011""",29,4.6,31.9,28,4.6,31.5,23,3.9,29.5,17,3.0,21.8,16,3.0,23.2
"Stonington School District","""1370011""",115,4.8,37.7,124,5.3,40.4,136,5.9,40.7,134,6.1,40.5,118,5.5,36.3
"Stratford School District","""1380011""",208,2.8,28.8,217,3.0,28.8,229,3.2,29.4,247,3.5,29.4,290,4.1,32.7
"Suffield School District","""1390011""",98,4.1,39.7,91,3.9,37.3,80,3.5,34.5,80,3.6,32.4,89,4.1,32.8
"Thomaston School District","""1400011""",47,4.1,32.9,47,4.4,33.8,50,4.9,36.5,54,5.4,37.8,50,5.1,35.2
"Thompson School District","""1410011""",36,3.1,27.9,28,2.6,23.7,30,2.9,24.6,34,3.3,27.4,41,4.0,33.6
"Tolland School District","""1420011""",127,4.4,40.3,125,4.5,42.1,126,4.6,40.6,124,4.7,39.9,121,4.8,39.5
"Torrington School District","""1430011""",281,6.2,38.4,285,6.4,38.7,286,6.4,37.7,302,6.9,37.1,308,7.1,37.2
"Trumbull School District","""1440011""",181,2.7,30.2,194,2.9,32.2,208,3.2,32.8,224,3.5,33.0,221,3.4,30.7
"Unified School District #1","""3360015""",80,12.5,32.8,78,14.5,33.5,63,15.4,36.0,57,14.6,34.1,46,12.7,29.7
"Unified School District #2","""3470015""",10,4.4,5.7,15,6.6,9.7,11,5.1,7.3,11,6.4,8.1,8,5.1,6.6
"Union School District","""1450011""","*","*","*","*","*","*",7,6.4,38.9,11,10.5,64.7,8,8.2,57.1
"Vernon School District","""1460011""",126,3.5,28.2,134,3.8,28.5,153,4.5,30.6,162,4.8,31.7,182,5.4,33.5
"Voluntown School District","""1470011""",13,3.3,32.5,16,4.2,39.0,30,7.6,50.0,32,8.4,49.2,35,9.5,54.7
"Wallingford School District","""1480011""",229,3.7,30.0,217,3.6,30.3,210,3.5,30.5,214,3.7,30.8,219,3.8,30.7
"Waterbury School District","""1510011""",957,5.5,32.4,1029,5.9,33.3,1159,6.5,35.7,1223,6.9,37.0,1323,7.4,39.6
"Waterford School District","""1520011""",95,3.4,26.9,110,4.0,29.6,119,4.4,30.4,113,4.2,29.1,124,4.6,32.0
"Watertown School District","""1530011""",107,3.6,30.9,104,3.6,30.0,98,3.5,28.7,100,3.6,28.5,104,3.8,29.1
"West Hartford School District","""1550011""",299,2.9,27.4,305,3.0,27.0,297,3.0,25.6,307,3.1,26.1,296,3.0,24.6
"West Haven School District","""1560011""",263,3.7,30.4,272,3.9,29.9,297,4.3,30.6,336,4.9,33.0,341,5.0,33.1
"Westbrook School District","""1540011""",37,4.3,42.5,28,3.4,33.7,27,3.4,30.0,36,4.8,38.3,38,5.1,36.5
"Weston School District","""1570011""",70,2.9,33.0,66,2.7,32.7,68,2.8,34.0,72,3.0,34.4,79,3.4,35.4
"Westport School District","""1580011""",253,4.4,43.8,238,4.1,42.9,232,4.1,40.3,236,4.2,40.8,238,4.3,41.1
"Wethersfield School District","""1590011""",120,3.1,26.3,132,3.4,27.8,146,3.8,28.5,150,3.9,29.0,174,4.6,32.8
"Willington School District","""1600011""",19,4.1,30.2,19,4.3,32.2,20,4.8,35.1,24,5.7,34.3,20,4.8,31.7
"Wilton School District","""1610011""",219,5.1,43.9,221,5.2,43.2,232,5.5,42.6,231,5.6,42.9,209,5.2,38.4
"Winchester School District","""1620011""",75,5.8,30.0,67,5.3,28.0,64,5.3,27.6,71,6.0,28.5,90,7.8,36.1
"Windham School District","""1630011""",144,4.7,28.3,135,4.4,27.8,146,4.7,29.1,161,5.1,30.6,184,5.8,30.4
"Windsor Locks School District","""1650011""",93,5.1,45.4,84,4.8,40.4,93,5.5,45.4,101,6.0,42.3,92,5.7,39.0
"Windsor School District","""1640011""",195,4.9,33.3,192,4.9,33.6,177,4.7,30.1,181,4.8,30.0,191,5.0,29.9
"Wolcott School District","""1660011""",71,2.6,30.7,71,2.7,31.3,87,3.5,38.0,104,4.3,40.5,112,4.8,41.9
"Woodbridge School District","""1670011""",12,1.6,18.5,11,1.5,18.6,19,2.4,30.2,21,2.8,33.3,22,2.9,31.9
"Woodstock School District","""1690011""",47,3.7,54.0,51,4.0,48.1,62,4.9,54.9,62,5.0,53.4,58,4.7,49.6

