"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, All Tests - School"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","School","School Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","All Grades","All Tests - School",19.8,32.3,29.5,39.6,36.9
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","All Grades","All Tests - School",13.7,16.5,18.5,11.3,23.0
"Andover School District","""0010011""","Andover Elementary School","""0010111""","All Grades","All Tests - School",52.8,69.2,51.6,67.1,76.7
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","All Grades","All Tests - School",63.6,43.0,60.5,44.9,69.9
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","All Grades","All Tests - School",35.5,45.3,41.9,26.1,36.6
"Ansonia School District","""0020011""","Mead School","""0020311""","All Grades","All Tests - School",26.1,32.6,19.9,38.8,32.7
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""","All Grades","All Tests - School","N/A","N/A","N/A","*","*"
"Ansonia School District","""0020011""","Prendergast School","""0020811""","All Grades","All Tests - School",30.7,30.7,23.6,43.3,38.1
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""","All Grades","All Tests - School","N/A","N/A","N/A",32.3,8.5
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","All Grades","All Tests - School",44.8,41.1,37.9,42.5,45.4
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""","All Grades","All Tests - School","N/A","N/A","N/A",0.0,0.0
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""","All Grades","All Tests - School","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""","All Grades","All Tests - School","N/A","N/A","N/A","N/A",0.0
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","All Grades","All Tests - School",35.0,31.3,32.5,16.7,22.4
"Ashford School District","""0030011""","Ashford School","""0030111""","All Grades","All Tests - School",47.4,51.7,45.6,47.9,11.0
"Avon School District","""0040011""","Avon High School","""0046111""","All Grades","All Tests - School",49.6,49.4,52.1,46.5,52.0
"Avon School District","""0040011""","Avon Middle School","""0045111""","All Grades","All Tests - School",38.0,55.1,54.6,59.8,51.2
"Avon School District","""0040011""","Pine Grove School","""0040411""","All Grades","All Tests - School",52.6,53.6,33.9,62.5,61.1
"Avon School District","""0040011""","Roaring Brook School","""0040311""","All Grades","All Tests - School",64.7,53.7,58.4,50.0,53.8
"Avon School District","""0040011""","Thompson Brook School","""0040511""","All Grades","All Tests - School",64.7,75.2,75.2,76.9,78.3
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""","All Grades","All Tests - School",50.6,50.4,44.3,45.4,49.5
"Berlin School District","""0070011""","Berlin High School","""0076111""","All Grades","All Tests - School",46.6,64.5,56.1,63.8,49.3
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","All Grades","All Tests - School",59.7,58.5,54.2,60.0,52.5
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","All Grades","All Tests - School",65.3,82.2,70.7,74.1,69.5
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","All Grades","All Tests - School",70.8,62.5,80.2,76.5,75.9
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""","All Grades","All Tests - School",75.0,57.1,77.1,69.1,71.4
"Bethany School District","""0080011""","Bethany Community School","""0080111""","All Grades","All Tests - School",32.2,26.9,20.0,33.3,48.7
"Bethel School District","""0090011""","Bethel High School","""0096111""","All Grades","All Tests - School",52.1,50.3,42.4,41.4,45.7
"Bethel School District","""0090011""","Bethel Middle School","""0095111""","All Grades","All Tests - School",58.5,55.6,48.8,45.1,43.0
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""","All Grades","All Tests - School",48.3,26.5,40.7,24.9,52.8
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","All Grades","All Tests - School",64.0,57.5,63.2,65.8,60.3
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""","All Grades","All Tests - School",55.7,51.5,46.5,36.6,44.0
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""","All Grades","All Tests - School",42.9,56.6,40.2,36.9,46.3
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""","All Grades","All Tests - School","N/A",22.4,29.0,66.3,70.4
"Bloomfield School District","""0110011""","Metacomet School","""0110511""","All Grades","All Tests - School",31.5,24.4,24.4,21.3,46.4
"Bolton School District","""0120011""","Bolton Center School","""0120111""","All Grades","All Tests - School",61.5,57.8,53.6,58.6,51.2
"Bolton School District","""0120011""","Bolton High School","""0126111""","All Grades","All Tests - School",80.2,75.3,70.0,70.7,60.9
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","All Grades","All Tests - School",70.1,68.7,62.7,77.6,72.1
"Branford School District","""0140011""","Branford High School","""0146111""","All Grades","All Tests - School",41.6,64.7,50.9,41.3,55.9
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""","All Grades","All Tests - School","N/A","N/A","N/A","N/A",0.0
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","All Grades","All Tests - School",47.2,45.4,49.9,44.5,43.5
"Branford School District","""0140011""","John B. Sliney School","""0141611""","All Grades","All Tests - School",25.7,59.2,60.9,48.5,60.6
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""","All Grades","All Tests - School",57.0,59.7,59.7,69.3,45.5
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","All Grades","All Tests - School",43.0,56.0,57.9,55.1,54.8
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","All Grades","All Tests - School",19.3,13.0,15.9,32.9,43.3
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","""0150811""","All Grades","All Tests - School","N/A","N/A","N/A","*","N/A"
"Bridgeport School District","""0150011""","Barnum School","""0150111""","All Grades","All Tests - School",55.9,67.3,59.5,55.9,28.3
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","All Grades","All Tests - School","*","*","*","*",4.2
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","All Grades","All Tests - School",24.2,32.9,32.1,35.1,23.8
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","""0150611""","All Grades","All Tests - School","N/A","N/A","N/A","*","N/A"
