"Four-Year Graduation Rates, Trend"
"State of Connecticut, All Students"

"","Graduates",,,,
"","Four-Year Graduation Rate by Year",,,,
"District","2011-12","2012-13","2013-14","2014-15","2015-16"
"State of Connecticut",84.8,85.5,87.0,87.2,87.4

