"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2016-17"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""",1033,33,1066
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""",941,116,1057
"Andover School District","""0010011""","Andover Elementary School","""0010111""","*","*",225
"Ansonia School District","""0020011""","Ansonia High School","""0026111""",600,16,616
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""",434,7,441
"Ansonia School District","""0020011""","Mead School","""0020311""",551,29,580
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",31,0,31
"Ansonia School District","""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","""0020411""","*","*",7
"Ansonia School District","""0020011""","Prendergast School","""0020811""",637,28,665
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",40,0,40
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",168,0,168
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""",691,41,732
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",118,0,118
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",115,0,115
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",102,0,102
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""","*","*",41
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*","*",631
"Ashford School District","""0030011""","Ashford School","""0030111""","*","*",406
"Avon School District","""0040011""","Avon High School","""0046111""",1018,6,1024
"Avon School District","""0040011""","Avon Middle School","""0045111""","*","*",558
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",56,0,56
"Avon School District","""0040011""","Pine Grove School","""0040411""",564,60,624
"Avon School District","""0040011""","Roaring Brook School","""0040311""",500,16,516
"Avon School District","""0040011""","Thompson Brook School","""0040511""",489,8,497
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",228,0,228
"Barkhamsted School District","""0050011""","Bridges at Barkhamsted Elementary School","""0050211""","*",0,"*"
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",23,0,23
"Berlin School District","""0070011""","Berlin High School","""0076111""","*","*",891
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""",708,6,714
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",456,26,482
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""",470,21,491
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",195,18,213
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*","*",356
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",363,34,397
"Bethel School District","""0090011""","Bethel High School","""0096111""",854,17,871
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",666,17,683
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",499,43,542
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",464,15,479
"Bethel School District","""0090011""","TASK","""0090311""",12,0,12
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","*","*",534
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",231,6,237
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""","*","*",201
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""","*","*",217
"Bloomfield School District","""0110011""","Laurel School","""0110611""",354,8,362
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",13,0,13
"Bloomfield School District","""0110011""","Metacomet School","""0110511""","*","*",256
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""","*","*",323
"Bolton School District","""0120011""","Bolton Center School","""0120111""",525,8,533
"Bolton School District","""0120011""","Bolton High School","""0126111""",281,0,281
"Booker T. Washington Academy District","""2950013""","Booker T. Washington Academy","""2950113""",241,0,241
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","*","*",208
"Branford School District","""0140011""","Branford High School","""0146111""",876,12,888
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",43,0,43
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""",848,21,869
"Branford School District","""0140011""","Indian Neck School","""0148011""",39,0,39
"Branford School District","""0140011""","John B. Sliney School","""0141611""",306,23,329
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",369,14,383
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",365,48,413
"Branford School District","""3480015""","Bridgeport Detention Center","""3480115""","*","*","*"
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",219,0,219
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""",913,131,1044
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""",491,8,499
"Bridgeport School District","""0150011""","Barnum School","""0150111""",500,133,633
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",791,170,961
"Bridgeport School District","""0150011""","Beardsley School","""0150211""",308,41,349
