"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*","*",362,172,0,10,547
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,11,"*","*",0,327,347
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*","*",175,140,0,431,760
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*","*",126,129,0,331,596
"Ansonia School District","""0020011""","Mead School","""0020311""","*","*",125,127,0,334,599
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*","*",147,199,0,412,776
"Area Cooperative Educational Services","""2440014""","A. C. E. S. Special Education Town Campus Learning Center","""2449014""",0,"*",0,"*",0,15,19
"Area Cooperative Educational Services","""2440014""","Collaborative Alternative Magnet School","""2446114""",0,0,27,13,0,59,99
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,"*",90,44,0,"*",176
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*","*",115,257,0,360,752
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",0,"*",38,"*",0,101,174
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*",44,"*",0,52,125
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,0,37,30,0,25,92
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*","*",14,0,30,56
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*","*",268,74,0,217,605
"Ashford School District","""0030011""","Ashford School","""0030111""","*","*",10,20,0,460,500
"Avon School District","""0040011""","Avon High School","""0046111""","*",61,33,"*",0,912,1036
"Avon School District","""0040011""","Avon Middle School","""0045111""",0,38,9,14,0,521,582
"Avon School District","""0040011""","Pine Grove School","""0040411""",0,57,26,26,0,509,618
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",73,"*",47,0,630,776
"Avon School District","""0040011""","Thompson Brook School","""0040511""",0,51,11,22,0,506,590
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*","*","*",0,320,328
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,0,0,0,0,30,30
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",40,"*",19,0,997,1063
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",23,"*",22,0,723,778
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","*",39,"*",16,0,511,577
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",16,"*",21,0,544,589
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""","*","*",7,7,0,241,263
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",37,16,"*",0,508,569
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,42,8,46,0,329,425
"Bethel School District","""0090011""","Bethel High School","""0096111""","*",68,"*",91,0,850,1034
"Bethel School District","""0090011""","Bethel Middle School","""0095111""","*",42,"*",88,0,598,743
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",0,38,11,47,0,392,488
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,28,9,49,0,368,454
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,"*",562,37,0,"*",625
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,"*",301,23,0,"*",348
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",300,32,0,"*",342
"Bloomfield School District","""0110011""","J. P. Vincent School","""0110311""","*","*",262,27,0,22,315
