"CT School Day SAT, 2016-17"
"State of Connecticut, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"State of Connecticut","ELA",40002,38421,96.0,38419,6767,17.6,6530,17.0,17778,46.3,7344,19.1,25122,65.4,524
"State of Connecticut","Math",40002,38421,96.0,38290,8114,21.2,14365,37.5,11024,28.8,4787,12.5,15811,41.3,507

