"Student Counts by School and Race"
"All Districts, All Schools"
"2015-16"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",784,255,"*",11,"*",1063
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*",0,640,362,0,18,"*",1036
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,"*","*",14,0,6,226,250
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*",15,139,150,"*",6,281,597
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*","*",91,134,7,9,199,446
"Ansonia School District","""0020011""","Mead School","""0020311""","*",6,113,234,"*",31,207,595
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",0,0,13,6,0,0,16,35
"Ansonia School District","""0020011""","Prendergast School","""0020811""",0,"*",112,219,"*",38,297,688
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,"*",9,"*",0,"*",23,38
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,0,77,51,0,12,27,167
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*",36,93,347,"*",20,228,726
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""","*",9,26,31,"*","*",65,135
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*",31,34,0,"*",46,113
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,0,37,35,0,"*","*",95
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*",9,16,0,"*",14,42
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*","*",298,126,0,31,156,632
"Ashford School District","""0030011""","Ashford School","""0030111""",0,"*",14,27,"*",12,337,397
"Avon School District","""0040011""","Avon High School","""0046111""","*",122,39,67,0,"*",769,1038
"Avon School District","""0040011""","Avon Middle School","""0045111""",0,83,20,28,0,15,399,545
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",0,"*",10,"*",0,"*",25,45
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",131,37,39,"*",21,368,599
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",95,"*",34,0,26,318,497
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",73,25,35,0,"*",392,550
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*","*","*",0,"*",246,255
"Barkhamsted School District","""0050011""","Bridges at Barkhamsted Elementary School","""0050211""",0,0,0,0,0,0,"*","*"
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,0,0,"*",0,"*",24,28
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",33,30,75,"*",20,791,953
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""",0,21,11,57,0,25,558,672
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","*",19,"*",53,0,12,406,503
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",8,"*",41,0,17,424,497
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,"*","*",38,0,"*",186,238
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",40,8,19,0,"*",312,383
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,23,"*",83,0,"*",295,420
"Bethel School District","""0090011""","Bethel High School","""0096111""",0,59,22,130,0,21,665,897
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,54,"*",111,"*",19,459,658
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""","*",33,7,78,"*",21,420,561
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,27,9,72,"*","*",312,426
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,"*",432,50,0,21,"*",516
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,"*",171,27,"*",13,"*",220
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",165,19,0,7,"*",193
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""",0,"*",114,26,0,"*",65,218
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*",7,275,31,0,"*",13,335
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",0,0,8,"*",0,0,"*",10
"Bloomfield School District","""0110011""","Metacomet School","""0110511""","*","*",209,21,0,9,12,254
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""",0,8,129,32,0,28,125,322
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,13,40,32,0,17,405,507
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,"*",19,13,0,"*",263,307
"Booker T. Washington Academy District","""2950013""","Booker T. Washington Academy","""2950113""",0,0,156,20,0,"*","*",180
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",0,"*","*",11,0,0,179,201
"Branford School District","""0140011""","Branford High School","""0146111""","*",71,23,77,0,"*",720,914
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",0,"*","*",6,0,"*",30,40
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""",0,65,34,96,0,15,702,912
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*","*","*",0,0,34,40
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",14,"*",41,0,12,268,349
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""","*",20,"*",24,0,"*",314,366
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","*",57,21,47,0,"*",286,424
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",0,"*",55,87,0,23,"*",186
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","*",10,551,430,0,"*",15,1016
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""","*",24,174,147,0,"*",144,494
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",165,410,0,"*",36,618
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","*",28,414,443,"*","*",57,951
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*",7,130,200,0,"*",12,354
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""",0,20,156,178,0,0,135,489
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,"*",73,237,0,"*",151,469
"Bridgeport School District","""0150011""","Blackham School","""0154011""",7,40,327,551,"*","*",198,1131
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,"*",28,29,0,0,"*",61
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""","*","*",93,137,0,"*",35,270
"Bridgeport School District","""0150011""","Bryant School","""0150411""","*",25,128,192,0,"*",31,385
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""",0,0,14,13,0,0,0,27
"Bridgeport School District","""0150011""","Central High School","""0156211""",7,68,652,612,0,8,170,1517
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""","*",34,240,834,0,"*",76,1196
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",12,223,123,"*","*",27,393
"Bridgeport School District","""0150011""","Columbus School","""0150511""","*","*",298,491,"*",10,48,852
"Bridgeport School District","""0150011""","Cross School","""0153911""",0,"*",195,185,"*",0,14,397
"Bridgeport School District","""0150011""","Curiale School","""0154211""","*",32,288,324,"*","*",42,698
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,0,198,203,0,"*","*",416
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,"*",117,108,0,"*",29,270
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""","*",32,217,456,0,"*",67,794
"Bridgeport School District","""0150011""","Hall School","""0151111""",0,"*",117,95,0,0,"*",240
"Bridgeport School District","""0150011""","Hallen School","""0151211""","*","*",161,122,0,"*",25,315
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*",9,404,548,"*","*",94,1060
