"Primary Disability (K-12), Trend"
"All Districts, Other Health Impairment"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Montville School District","""0860011""",60,2.4,20.9,52,2.1,18.6,59,2.4,20.8,68,2.9,20.6,68,2.9,20.7
"Naugatuck School District","""0880011""",129,2.8,22.2,134,3.0,22.2,142,3.2,22.2,157,3.6,23.3,160,3.6,23.8
"New Britain School District","""0890011""",353,3.2,22.0,338,3.1,20.7,372,3.4,22.1,405,3.6,23.1,407,3.7,21.4
"New Canaan School District","""0900011""",78,1.9,20.3,66,1.6,18.2,76,1.8,19.7,84,2.0,20.9,103,2.4,23.5
"New Fairfield School District","""0910011""",66,2.4,24.1,66,2.5,25.7,60,2.4,24.8,60,2.5,26.1,51,2.2,23.1
"New Hartford School District","""0920011""",13,2.3,22.8,10,1.9,18.9,10,2.0,18.9,11,2.3,19.6,12,2.7,24.0
"New Haven School District","""0930011""",479,2.6,20.5,491,2.6,20.3,543,2.8,20.6,572,2.9,20.6,597,3.0,20.3
"New London School District","""0950011""",144,4.2,23.1,147,4.3,22.8,138,4.0,20.8,142,4.0,21.5,139,3.9,21.3
"New Milford School District","""0960011""",145,3.2,24.5,134,3.1,23.0,129,3.0,22.9,137,3.3,24.6,136,3.3,24.5
"Newington School District","""0940011""",73,1.7,13.5,82,1.9,15.4,79,1.9,15.0,74,1.8,14.4,78,1.9,15.1
"Newtown School District","""0970011""",66,1.3,16.7,68,1.4,16.7,92,1.9,21.0,102,2.2,21.6,120,2.7,24.3
"Norfolk School District","""0980011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","""0990011""",52,2.4,18.6,52,2.5,18.0,50,2.5,17.3,59,3.1,21.2,44,2.3,17.3
"North Canaan School District","""1000011""",6,2.0,14.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","""1010011""",68,1.9,19.3,66,1.9,17.8,68,2.0,17.6,60,1.9,16.8,59,1.8,16.7
"North Stonington School District","""1020011""",15,2.0,22.1,20,2.7,30.8,15,2.0,23.4,18,2.5,27.3,10,1.4,18.5
"Norwalk School District","""1030011""",237,2.1,20.0,225,2.0,18.4,243,2.1,18.5,259,2.2,18.2,282,2.4,18.5
"Norwich School District","""1040011""",183,3.3,20.5,176,3.2,20.1,179,3.2,19.6,180,3.3,20.6,184,3.3,19.5
"Old Saybrook School District","""1060011""",66,4.6,32.2,59,4.3,28.1,55,4.0,27.6,46,3.5,26.1,49,3.8,28.3
"Orange School District","""1070011""",19,1.5,17.0,17,1.5,15.6,15,1.3,14.7,11,1.0,11.6,11,1.0,11.6
"Oxford School District","""1080011""",31,1.5,20.1,50,2.4,24.0,60,3.0,25.9,64,3.2,26.1,57,2.9,23.3
"Plainfield School District","""1090011""",54,2.3,18.4,60,2.6,21.7,64,2.9,20.8,62,2.8,20.6,63,2.9,21.1
"Plainville School District","""1100011""",83,3.5,26.6,89,3.8,27.3,80,3.4,25.4,77,3.2,25.3,66,2.8,22.6
"Plymouth School District","""1110011""",63,3.6,25.5,56,3.3,24.0,62,3.7,26.5,65,4.0,27.5,68,4.2,27.8
"Pomfret School District","""1120011""",11,1.7,16.4,8,1.3,12.3,7,1.2,12.5,9,1.5,13.8,6,1.1,10.5
"Portland School District","""1130011""",29,2.1,23.4,27,1.9,21.3,21,1.5,15.3,21,1.5,15.0,18,1.3,13.5
"Preston School District","""1140011""",17,2.8,20.7,18,2.9,19.8,19,3.2,18.4,22,3.6,22.4,27,4.5,26.2
"Putnam School District","""1160011""",14,1.2,8.0,18,1.5,9.4,18,1.5,10.0,23,2.0,12.1,36,3.2,18.2
"Redding School District","""1170011""",33,3.0,24.6,34,3.4,26.2,28,2.9,22.4,30,3.3,25.9,30,3.4,27.8
"Regional School District 01","""2010012""",11,2.6,19.0,9,2.1,14.8,8,2.0,11.8,8,1.9,11.4,12,3.0,17.1
"Regional School District 04","""2040012""",30,3.0,21.6,34,3.4,23.4,30,3.0,22.7,34,3.6,23.8,35,3.6,23.5
"Regional School District 05","""2050012""",65,2.7,23.4,61,2.5,22.7,61,2.6,22.6,60,2.6,21.7,61,2.7,21.9
"Regional School District 06","""2060012""",23,2.6,20.7,21,2.5,18.9,19,2.4,17.6,21,2.7,17.8,26,3.4,20.6
"Regional School District 07","""2070012""",19,1.8,16.8,19,1.8,15.7,18,1.8,15.5,20,1.9,16.7,20,2.0,16.1
"Regional School District 08","""2080012""",75,4.0,33.0,74,4.0,33.6,73,4.1,33.0,61,3.6,30.2,61,3.7,30.2
"Regional School District 09","""2090012""",42,4.0,34.1,39,3.6,31.2,41,3.8,33.9,39,3.7,30.0,26,2.6,21.7
"Regional School District 10","""2100012""",52,2.0,19.8,52,2.0,20.6,51,2.0,20.2,47,1.9,19.0,48,2.0,19.0
"Regional School District 11","""2110012""",17,5.2,24.6,13,4.1,20.6,15,4.8,21.1,18,6.3,29.5,15,5.3,26.3
"Regional School District 12","""2120012""",29,3.6,23.0,30,3.9,23.8,26,3.7,22.6,27,4.0,24.1,28,4.4,24.8
"Regional School District 13","""2130012""",57,2.9,20.5,53,2.8,19.4,50,2.8,19.2,49,2.8,19.5,44,2.5,18.0
"Regional School District 14","""2140012""",42,2.5,21.0,38,2.3,20.7,37,2.4,21.1,34,2.3,20.6,50,3.3,24.9
"Regional School District 15","""2150012""",88,2.1,17.7,84,2.1,17.9,79,2.0,16.7,93,2.5,18.6,104,2.8,18.9
"Regional School District 16","""2160012""",55,2.3,20.7,63,2.7,22.0,68,3.0,21.5,65,2.9,20.6,66,3.0,22.4
"Regional School District 17","""2170012""",67,3.0,21.5,76,3.4,23.8,74,3.4,22.6,79,3.7,22.8,83,3.9,23.6
"Regional School District 18","""2180012""",24,1.7,15.2,29,2.1,18.0,30,2.3,18.2,25,1.9,15.8,29,2.3,18.2
"Regional School District 19","""2190012""",55,5.0,31.6,47,4.6,28.1,46,4.6,27.9,43,4.4,24.9,40,4.3,25.5
"Ridgefield School District","""1180011""",56,1.1,12.6,69,1.3,15.3,78,1.5,16.7,74,1.5,16.4,97,2.0,20.6
"Rocky Hill School District","""1190011""",35,1.4,16.1,45,1.8,19.9,52,2.0,21.6,56,2.0,21.4,54,2.0,20.4
"Salem School District","""1210011""",14,2.0,22.6,13,2.0,19.4,12,1.9,15.6,21,3.4,22.3,31,5.0,29.2
"Salisbury School District","""1220011""","*","*","*","*","*","*","*","*","*","*","*","*",6,2.3,24.0
"Scotland School District","""1230011""","*","*","*",7,6.1,35.0,8,7.1,40.0,"*","*","*","*","*","*"
"Seymour School District","""1240011""",32,1.4,13.2,35,1.5,13.7,34,1.5,12.7,31,1.4,11.6,35,1.6,12.0
"Sharon School District","""1250011""","*","*","*",6,3.8,17.1,6,3.8,18.2,"*","*","*","*","*","*"
"Shelton School District","""1260011""",108,2.1,19.0,113,2.2,18.6,111,2.2,17.8,108,2.1,16.7,103,2.1,15.4
"Sherman School District","""1270011""",13,2.4,18.8,10,1.9,15.2,14,2.7,19.4,14,2.9,22.6,14,3.0,24.1
"Simsbury School District","""1280011""",124,2.7,23.2,124,2.8,23.1,134,3.1,23.8,142,3.3,25.9,151,3.6,27.0
"Somers School District","""1290011""",20,1.3,12.1,20,1.3,11.7,28,1.9,17.5,40,2.8,24.5,55,3.9,29.9
"South Windsor School District","""1320011""",183,4.2,34.0,173,3.9,31.2,158,3.6,28.9,138,3.2,26.0,139,3.2,25.1
"Southington School District","""1310011""",160,2.4,20.7,168,2.5,21.5,190,2.9,24.0,206,3.1,26.4,227,3.5,27.5
"Sprague School District","""1330011""",12,2.7,30.0,10,2.3,22.2,15,3.4,25.0,16,3.5,23.9,13,2.9,18.8
"Stafford School District","""1340011""",31,1.9,16.9,37,2.4,20.3,37,2.4,20.0,42,2.8,22.1,49,3.3,23.7
"Stamford School District","""1350011""",263,1.7,17.2,314,2.0,18.9,327,2.1,18.8,360,2.3,19.9,373,2.3,19.4
"Sterling School District","""1360011""",13,2.1,14.3,11,1.8,12.4,12,2.0,15.4,19,3.3,24.4,15,2.8,21.7
"Stonington School District","""1370011""",54,2.2,17.7,63,2.7,20.5,78,3.4,23.4,70,3.2,21.1,77,3.6,23.7
"Stratford School District","""1380011""",191,2.6,26.5,197,2.7,26.1,203,2.8,26.0,210,2.9,25.0,215,3.0,24.2
"Suffield School District","""1390011""",44,1.9,17.8,52,2.2,21.3,55,2.4,23.7,57,2.5,23.1,38,1.7,14.0
"Thomaston School District","""1400011""",30,2.6,21.0,27,2.5,19.4,22,2.2,16.1,21,2.1,14.7,22,2.2,15.5
"Thompson School District","""1410011""",29,2.5,22.5,25,2.3,21.2,17,1.6,13.9,16,1.6,12.9,16,1.6,13.1
"Tolland School District","""1420011""",61,2.1,19.4,57,2.1,19.2,53,1.9,17.1,65,2.4,20.9,66,2.6,21.6
"Torrington School District","""1430011""",132,2.9,18.1,150,3.3,20.4,162,3.6,21.4,181,4.1,22.2,172,4.0,20.7
"Trumbull School District","""1440011""",151,2.3,25.2,156,2.4,25.9,165,2.5,26.0,167,2.6,24.6,191,3.0,26.5
"Unified School District #1","""3360015""",44,6.9,18.0,56,10.4,24.0,36,8.8,20.6,39,10.0,23.4,37,10.2,23.9
"Unified School District #2","""3470015""",30,13.2,17.1,27,11.8,17.4,26,12.1,17.3,21,12.1,15.6,27,17.3,22.1
"Union School District","""1450011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","""1460011""",66,1.9,14.8,62,1.8,13.2,65,1.9,13.0,66,2.0,12.9,83,2.5,15.3
"Voluntown School District","""1470011""","*","*","*","*","*","*",7,1.8,11.7,6,1.6,9.2,6,1.6,9.4
"Wallingford School District","""1480011""",194,3.1,25.4,181,3.0,25.2,172,2.9,25.0,167,2.9,24.1,175,3.1,24.5
"Waterbury School District","""1510011""",623,3.6,21.1,669,3.8,21.6,671,3.8,20.7,704,4.0,21.3,687,3.8,20.5
"Waterford School District","""1520011""",99,3.5,28.0,105,3.8,28.2,117,4.3,29.8,116,4.3,29.9,94,3.4,24.2
"Watertown School District","""1530011""",96,3.2,27.7,106,3.6,30.5,106,3.7,31.0,106,3.8,30.2,106,3.8,29.6
"West Hartford School District","""1550011""",235,2.3,21.6,243,2.4,21.5,258,2.6,22.3,263,2.7,22.4,281,2.9,23.4
"West Haven School District","""1560011""",115,1.6,13.3,117,1.7,12.8,138,2.0,14.2,130,1.9,12.8,126,1.9,12.2
"Westbrook School District","""1540011""",10,1.2,11.5,10,1.2,12.0,11,1.4,12.2,15,2.0,16.0,17,2.3,16.3
"Weston School District","""1570011""",51,2.1,24.1,43,1.8,21.3,43,1.8,21.5,42,1.8,20.1,54,2.3,24.2
"Westport School District","""1580011""",102,1.8,17.7,107,1.9,19.3,116,2.0,20.2,116,2.0,20.0,124,2.2,21.4
"Wethersfield School District","""1590011""",64,1.7,14.0,71,1.8,15.0,101,2.6,19.7,98,2.5,19.0,86,2.3,16.2
"Willington School District","""1600011""",11,2.4,17.5,9,2.0,15.3,10,2.4,17.5,17,4.0,24.3,12,2.9,19.0
"Wilton School District","""1610011""",99,2.3,19.8,113,2.7,22.1,122,2.9,22.4,130,3.2,24.1,132,3.3,24.3
"Winchester School District","""1620011""",45,3.5,18.0,47,3.7,19.7,49,4.1,21.1,52,4.4,20.9,55,4.8,22.1
"Windham School District","""1630011""",82,2.7,16.1,85,2.7,17.5,82,2.7,16.4,91,2.9,17.3,110,3.4,18.2
"Windsor Locks School District","""1650011""",39,2.1,19.0,40,2.3,19.2,39,2.3,19.0,46,2.7,19.2,43,2.6,18.2
"Windsor School District","""1640011""",83,2.1,14.2,80,2.1,14.0,89,2.4,15.1,102,2.7,16.9,120,3.2,18.8
"Wolcott School District","""1660011""",53,2.0,22.9,51,2.0,22.5,50,2.0,21.8,53,2.2,20.6,51,2.2,19.1
"Woodbridge School District","""1670011""",14,1.9,21.5,15,2.0,25.4,17,2.2,27.0,13,1.7,20.6,13,1.7,18.8
"Woodstock School District","""1690011""",7,0.6,8.0,12,0.9,11.3,12,1.0,10.6,11,0.9,9.5,17,1.4,14.5

