"Student Counts by School and Race"
"All Districts, All Schools"
"2010-11"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",531,70,0,6,"*",610
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*",0,515,279,0,"*",9,812
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,"*","*",7,0,10,308,334
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*",8,178,156,"*",0,378,727
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*","*",92,113,"*",0,243,458
"Ansonia School District","""0020011""","Mead School","""0020311""","*",10,136,159,8,"*",326,642
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*","*",161,197,8,0,409,787
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,"*","*","*",0,0,11,19
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,"*",74,47,0,"*",41,170
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*",22,116,286,0,"*",279,720
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",0,"*",31,25,0,"*",88,153
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""","*","*",41,35,0,"*",47,128
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""","*",0,45,38,0,"*",17,102
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*",12,10,0,"*",29,53
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*",41,254,111,0,"*",216,646
"Ashford School District","""0030011""","Ashford School","""0030111""",0,"*","*",33,0,12,420,476
"Avon School District","""0040011""","Avon High School","""0046111""",0,67,28,52,"*","*",926,1088
"Avon School District","""0040011""","Avon Middle School","""0045111""","*",55,22,39,0,"*",446,584
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",70,20,45,"*",17,476,631
"Avon School District","""0040011""","Roaring Brook School","""0040311""",0,62,"*",32,"*",20,519,651
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",50,"*",33,0,22,473,594
