"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","Free/Reduced Price Meal Eligibility","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch","*","*","*",81.8,85.7
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",65.1,65.4,71.1,84.1,81.8
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",77.8,83.3,"*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",89.0,89.4,"*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",97.1,97.2,"*",97.4,97.3
"Berlin School District","Berlin High School","Eligible For Free Lunch","*",80.0,"*",80.8,"*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",96.1,"*",96.4,96.0,98.0
"Bethel School District","Bethel High School","Eligible For Free Lunch","*","*",72.2,83.3,"*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch","*","*","*",100.0,"*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",95.5,96.4,95.8,98.1,96.8
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",70.4,84.0,93.1,81.5,89.1
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch","*",90.0,"*",80.8,"*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch","*",98.2,83.7,96.2,97.8
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch","N/A","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","N/A","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","N/A","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
