"Student Enrollment Trend"
"Student Counts by School and Year"
"All Districts, All Schools"

"",,,,"YEAR",,,,,
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",343,338,328,288,295,255
"Barkhamsted School District","""0050011""","Bridges at Barkhamsted Elementary School","""0050211""",0,0,0,0,0,"*"
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",30,19,21,18,22,28
"Berlin School District","""0070011""","Berlin High School","""0076111""",1017,976,962,933,918,953
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""",719,730,712,691,702,672
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",535,492,501,514,504,503
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""",585,577,567,562,547,497
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",261,241,232,251,225,238
"Bethany School District","""0080011""","Bethany Community School","""0080111""",512,491,473,436,407,383
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",384,389,392,411,413,420
"Bethel School District","""0090011""","Bethel High School","""0096111""",959,949,959,933,889,897
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",683,693,684,672,695,658
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",460,493,497,556,546,561
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",452,447,443,417,386,426
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",593,603,541,555,538,516
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",305,263,220,216,208,220
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",265,286,261,213,214,193
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""",0,0,182,220,220,218
"Bloomfield School District","""0110011""","J. P. Vincent School","""0110311""",351,322,0,0,0,0
"Bloomfield School District","""0110011""","Laurel School","""0110611""",281,0,335,318,345,335
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",0,0,10,13,13,10
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,251,237,231,248,254
"Bloomfield School District","""0110011""","The Big Picture High School","""0116211""",89,105,0,0,0,0
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""",312,321,322,321,321,322
"Bolton School District","""0120011""","Bolton Center School","""0120111""",568,549,533,528,520,507
"Bolton School District","""0120011""","Bolton High School","""0126111""",330,343,359,334,318,307
"Booker T. Washington Academy District","""2950013""","Booker T. Washington Academy","""2950113""",0,0,0,0,91,180
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",233,234,241,243,209,201
"Branford School District","""0140011""","Branford High School","""0146111""",1098,1064,1049,1050,961,914
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",0,0,0,0,9,40
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""",1040,1020,989,942,916,912
"Branford School District","""0140011""","Indian Neck School","""0148011""",53,46,47,36,39,40
"Branford School District","""0140011""","John B. Sliney School","""0141611""",368,365,371,374,355,349
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",426,384,373,400,388,366
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",431,439,429,420,413,424
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",0,0,0,115,150,186
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""",409,543,702,835,977,1016
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""",0,0,0,235,356,494
"Bridgeport School District","""0150011""","Barnum School","""0150111""",632,659,625,626,635,618
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",1171,1073,1177,1120,1008,951
"Bridgeport School District","""0150011""","Beardsley School","""0150211""",370,388,377,376,370,354
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""",0,0,0,229,348,489
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",283,305,348,406,413,469
"Bridgeport School District","""0150011""","Blackham School","""0154011""",1114,1066,1130,1127,1114,1131
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",50,51,52,57,65,61
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""",0,0,0,116,233,270
"Bridgeport School District","""0150011""","Bryant School","""0150411""",439,413,412,413,406,385
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""",0,0,0,0,0,27
"Bridgeport School District","""0150011""","Central High School","""0156211""",2303,2181,2137,1838,1673,1517
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",1063,1146,1115,1173,1204,1196
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""",334,290,310,340,371,393
"Bridgeport School District","""0150011""","Columbus School","""0150511""",663,523,877,886,861,852
"Bridgeport School District","""0150011""","Cross School","""0153911""",408,431,420,413,386,397
"Bridgeport School District","""0150011""","Curiale School","""0154211""",596,615,773,737,769,698
"Bridgeport School District","""0150011""","Discovery Interdistrict Magnet School","""0153711""",130,0,0,0,0,0
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",315,344,313,303,377,416
"Bridgeport School District","""0150011""","Edison School","""0150711""",255,251,244,251,274,270
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",868,857,818,843,824,794
"Bridgeport School District","""0150011""","Hall School","""0151111""",306,310,308,275,262,240
"Bridgeport School District","""0150011""","Hallen School","""0151211""",316,335,336,332,302,315
"Bridgeport School District","""0150011""","Harding High School","""0156311""",1394,1309,1297,1105,1134,1060
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""",431,429,433,422,414,408
"Bridgeport School District","""0150011""","Hooker School","""0151311""",463,416,381,387,371,351
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""",0,0,0,236,365,492
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""",0,312,457,511,518,506
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""",654,670,629,655,679,649
"Bridgeport School District","""0150011""","Longfellow School","""0151911""",426,454,0,0,0,0
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""",854,897,871,904,920,836
"Bridgeport School District","""0150011""","Madison School","""0152011""",543,510,506,539,533,512
"Bridgeport School District","""0150011""","Make The Grade","""0159511""",27,39,0,0,0,0
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""",457,484,456,449,457,460
"Bridgeport School District","""0150011""","Opportunities for Self-Discovery Community Partnership","""0152811""",0,0,0,0,0,7
"Bridgeport School District","""0150011""","Parent-Children Program","""0158011""","*",0,0,0,0,0
"Bridgeport School District","""0150011""","Park City Academy","""0159211""",10,"*",6,0,0,0
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""",511,523,526,491,465,483
"Bridgeport School District","""0150011""","Pride Academy","""0151811""",0,0,0,57,0,0
"Bridgeport School District","""0150011""","Read School","""0152511""",822,850,857,839,884,891
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""",462,534,524,564,562,623
"Bridgeport School District","""0150011""","Skane Center","""0154411""",246,229,231,304,387,224
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",537,483,514,514,491,503
"Bridgeport School District","""0150011""","Winthrop School","""0153611""",719,729,686,685,652,673
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",27,17,19,14,17,20
"Bristol School District","""0170011""","Bristol Central High School","""0176111""",1310,1317,1262,1242,1180,1167
"Bristol School District","""0170011""","Bristol Early Childhood Center-BECC","""0170411""",0,0,0,0,74,63
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""",1352,1308,1305,1299,1247,1221
"Bristol School District","""0170011""","Bristol Preparatory Academy","""0173311""",0,0,0,0,44,48
"Bristol School District","""0170011""","CHMS GOAL","""0173411""",0,0,0,0,7,7
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""",881,817,758,718,760,704
"Bristol School District","""0170011""","Chippens Hill Middle School Functional Program","""0171011""",0,0,0,0,8,12
"Bristol School District","""0170011""","Clara T. O'Connell School","""0170711""",343,348,0,0,0,0
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",16,15,10,13,11,12
"Bristol School District","""0170011""","Edgewood School","""0170311""",396,392,365,355,340,340
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",520,560,436,424,422,451
"Bristol School District","""0170011""","Greene-Hills GOAL","""0170911""",0,0,0,0,"*","*"
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",354,337,893,890,892,927
"Bristol School District","""0170011""","Hubbell/Extended Resource","""0172111""",0,0,0,0,"*",6
"Bristol School District","""0170011""","Ivy Drive GOAL","""0172611""",0,0,0,0,"*","*"
"Bristol School District","""0170011""","Ivy Drive Medically Fragile","""0172311""",0,0,0,0,6,"*"
"Bristol School District","""0170011""","Ivy Drive School","""0171911""",420,423,423,397,396,395
"Bristol School District","""0170011""","John J. Jennings School","""0170611""",366,387,0,0,0,0
"Bristol School District","""0170011""","Memorial Boulevard Middle School","""0175311""",515,512,0,0,0,0
"Bristol School District","""0170011""","Mountain View School","""0171711""",380,370,431,437,382,372
"Bristol School District","""0170011""","Mt. View GOAL","""0172511""",0,0,0,0,"*",8
"Bristol School District","""0170011""","Northeast MS/Extended Resource","""0172711""",0,0,0,0,"*","*"
"Bristol School District","""0170011""","Northeast MS/GOAL","""0172811""",0,0,0,0,"*","*"
"Bristol School District","""0170011""","Northeast Middle School","""0175211""",563,560,500,453,430,422
"Bristol School District","""0170011""","PreK Autism","""0172911""",0,0,0,0,"*",10
"Bristol School District","""0170011""","South Side Extended Resource","""0173011""",0,0,0,0,"*","*"
"Bristol School District","""0170011""","South Side GOAL","""0173111""",0,0,0,0,6,"*"
"Bristol School District","""0170011""","South Side School","""0171111""",610,593,489,503,529,491
"Bristol School District","""0170011""","Stafford Autism","""0173211""",0,0,0,0,11,24
"Bristol School District","""0170011""","Stafford School","""0171211""",544,493,503,504,443,436
"Bristol School District","""0170011""","West Bristol School","""0172011""",0,0,901,945,919,922
"Brookfield School District","""0180011""","Brookfield High School","""0186111""",996,966,918,901,895,880
"Brookfield School District","""0180011""","Center Elementary School","""0180311""",400,409,416,380,334,368
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""",583,591,605,624,599,577
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""",890,871,851,859,882,855
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""",562,534,543,545,536,521
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""",385,396,394,374,373,377
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""",86,86,75,77,78,76
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""",318,298,259,225,243,261
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""",206,217,231,233,228,230
"Canton School District","""0230011""","Canton Academy","""0230411""",0,0,0,0,"*","*"
"Canton School District","""0230011""","Canton High School","""0236111""",515,522,511,499,485,488
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",405,408,430,434,410,400
"Canton School District","""0230011""","Canton Middle School","""0235111""",266,258,270,265,272,284
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""",591,550,537,490,449,451
"Capital Preparatory Harbor School Inc. District","""2970013""","Capital Preparatory Harbor School Inc.","""2970113""",0,0,0,0,0,249
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""",214,390,491,562,636,702
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering Elementary","""2410714""",0,0,0,222,297,343
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""",0,0,0,0,529,517
"Capitol Region Education Council","""2410014""","Ana Grace Academy of the Arts Elementary School","""2410614""",0,0,164,217,313,354
"Capitol Region Education Council","""2410014""","CREC Discovery Academy","""2418114""",0,150,221,0,0,0
"Capitol Region Education Council","""2410014""","CREC Early Learning Center at Asylum Hill","""2418014""",20,0,0,0,0,0
"Capitol Region Education Council","""2410014""","CREC Medical Professions and Teacher Preparation Academy","""2416514""",179,0,0,0,0,0
"Capitol Region Education Council","""2410014""","Discovery Academy","""2418114""",0,0,0,282,356,405
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",21,24,21,22,20,16
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""",262,259,387,410,435,451
"Capitol Region Education Council","""2410014""","Great Path Academy at MCC","""2416314""",284,246,0,0,0,0
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""",372,400,423,438,457,440
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of the Arts Magnet Middle","""2415314""",0,0,184,327,328,337
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""","*","*",6,"*","*","*"
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""",244,311,357,415,465,467
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",46,47,58,53,57,57
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",9,8,11,8,15,12
"Capitol Region Education Council","""2410014""","Medical Professions and Teacher Preparation Academy","""2416514""",0,278,335,361,0,0
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""",711,719,716,722,736,726
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""",337,350,340,342,357,354
"Capitol Region Education Council","""2410014""","Museum Academy","""2410514""",0,271,311,405,459,468
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""",293,389,377,404,519,455
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""",255,284,356,392,468,455
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",52,58,64,64,64,66
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",151,147,151,145,151,140
"Capitol Region Education Council","""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","""2419714""",0,0,0,8,0,0
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",103,97,86,83,46,42
"Capitol Region Education Council","""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","""2411114""",0,0,0,0,8,7
"Capitol Region Education Council","""2410014""","Soundbridge @ Museum Academy","""2411214""",0,0,0,0,9,8
"Capitol Region Education Council","""2410014""","Soundbridge @ Samuel B Webb Elementary School","""2410814""",0,0,0,0,"*",0
"Capitol Region Education Council","""2410014""","Soundbridge @ Silas Deane Middle School","""2410914""",0,0,0,0,"*",0
"Capitol Region Education Council","""2410014""","Soundbridge @ Wethersfield High School","""2411014""",0,0,0,0,9,9
"Capitol Region Education Council","""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","""2419714""",0,0,0,0,12,8
"Capitol Region Education Council","""2410014""","Two Rivers Magnet High School","""2416714""",0,0,96,189,303,399
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""",658,684,663,660,664,654
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""",430,441,440,441,446,457
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""",187,182,185,183,178,176
"Charter School for Young Children on Asylum Hill District","""2870013""","Charter School for Young Children on Asylum Hill  Inc.","""2870113""",225,0,0,0,0,0
"Cheshire School District","""0250011""","Chapman School","""0250111""",300,294,283,298,350,344
"Cheshire School District","""0250011""","Cheshire High School","""0256111""",1516,1549,1514,1538,1512,1481
"Cheshire School District","""0250011""","Cheshire Quinnipiac University Transition Collaborative","""0250311""",0,0,0,0,8,10
"Cheshire School District","""0250011""","Darcey School","""0250211""",343,336,306,293,170,147
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""",786,774,757,747,755,719
"Cheshire School District","""0250011""","Doolittle School","""0250611""",517,537,539,529,502,480
"Cheshire School District","""0250011""","Highland School","""0250411""",827,795,776,740,768,751
"Cheshire School District","""0250011""","Humiston Alternative School","""0250911""",0,0,0,0,19,18
"Cheshire School District","""0250011""","Humiston School","""0259011""",22,25,25,20,0,0
"Cheshire School District","""0250011""","Norton School","""0250511""",487,480,455,429,447,445
"Chester School District","""0260011""","Chester Elementary School","""0260111""",275,260,251,228,219,211
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""",304,314,311,296,315,312
"Clinton School District","""0270011""","Jared Eliot School","""0275111""",492,466,446,462,461,452
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""",683,658,645,638,556,522
"Clinton School District","""0270011""","The Morgan School","""0276111""",557,565,579,558,550,533
"Colchester School District","""0280011""","Bacon Academy","""0286111""",987,983,937,900,886,835
"Colchester School District","""0280011""","Bacon Academy Alternative Education","""0280511""",0,0,0,0,0,15
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""",698,680,612,551,542,570
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""",688,654,630,614,585,531
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""",705,700,701,668,626,600
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""",112,99,104,99,91,84
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""",539,524,503,467,453,445
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",163,165,169,180,180,186
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""",726,755,778,801,807,768
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""",872,874,828,805,801,784
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""",596,618,635,646,628,636
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""",539,521,500,542,566,551
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""",583,569,573,535,513,505
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""",535,546,557,567,568,573
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""",794,772,768,801,785,760
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""",558,540,531,585,619,623
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""",640,638,641,637,649,640
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""",658,673,685,667,654,653
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""",0,0,0,0,145,250
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""",646,656,676,680,673,657
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""",709,669,659,647,660,657
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""",869,885,852,836,826,811
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""",599,607,640,656,630,588
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""",745,761,758,743,741,758
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""",574,572,570,550,525,496
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",82,90,91,94,90,87
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",53,51,54,51,50,57
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",12,11,14,12,11,17
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",53,51,54,54,85,90
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""",452,463,473,471,459,468
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""",135,147,152,140,154,150
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",115,106,103,105,91,92
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""",462,452,408,393,385,397
"Coventry School District","""0320011""","Coventry Academy","""0320111""",0,0,0,0,10,12
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",13,23,16,20,27,0
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""",391,380,380,377,363,348
"Coventry School District","""0320011""","Coventry High School","""0326111""",558,524,511,518,490,465
"Coventry School District","""0320011""","Coventry Smart Start Program","""0320311""",0,0,0,0,0,38
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""",411,401,408,377,368,365
"Cromwell School District","""0330011""","Cromwell High School","""0336111""",588,546,535,549,566,578
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""",475,500,509,454,455,447
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""",489,480,486,468,466,477
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""",465,456,441,477,481,480
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",80,91,78,83,98,94
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",1114,1122,1094,1092,1083,1039
"Danbury School District","""0340011""","DPS Early Childhood Center","""0340111""",0,0,0,139,130,141
"Danbury School District","""0340011""","Danbury High School","""0346111""",2898,2889,2887,2878,2885,2941
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",396,378,405,435,429,432
"Danbury School District","""0340011""","Great Plain School","""0341111""",299,314,327,356,355,354
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",388,396,411,469,458,470
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",374,372,363,370,366,369
"Danbury School District","""0340011""","King Street Primary School","""0341311""",415,415,404,417,390,409
"Danbury School District","""0340011""","Mill Ridge Educational Center","""0341811""",134,148,165,0,0,0
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",402,426,401,412,334,350
"Danbury School District","""0340011""","Morris Street School","""0340611""",342,406,420,468,371,357
"Danbury School District","""0340011""","Park Avenue School","""0340811""",425,426,431,433,563,595
"Danbury School District","""0340011""","Pembroke School","""0341511""",343,366,362,376,375,368
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""",1094,1110,1200,1200,932,938
"Danbury School District","""0340011""","Shelter Rock School","""0341211""",409,419,416,416,497,520
"Danbury School District","""0340011""","South Street School","""0341011""",388,343,368,375,369,378
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",452,467,449,432,472,496
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""",386,389,431,423,413,390
"Danbury School District","""0340011""","Westside Middle School Academy","""0340311""",0,0,0,0,400,496
"Darien School District","""0350011""","Darien High School","""0356111""",1315,1315,1329,1354,1365,1356
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",594,570,579,565,556,501
"Darien School District","""0350011""","Holmes Elementary School","""0350711""",439,419,433,454,473,462
"Darien School District","""0350011""","Middlesex Middle School","""0355111""",1159,1154,1135,1128,1125,1167
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""",472,465,474,458,449,458
"Darien School District","""0350011""","Royle Elementary School","""0350511""",419,409,413,452,442,433
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",444,483,496,492,493,479
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""",351,357,347,330,312,304
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""","*","*","*","*",6,"*"
"Department of Mental Health and Addiction Services","""3370015""","Greater Bridgeport Community Mental Health Center","""3370515""",0,0,0,"*","*",0
"Derby School District","""0370011""","Bradley School","""0370611""",367,351,345,376,365,347
"Derby School District","""0370011""","Derby Alternative Education Center","""0370511""",0,0,0,0,0,"*"
"Derby School District","""0370011""","Derby High School","""0376111""",385,359,361,381,372,344
"Derby School District","""0370011""","Derby Middle School","""0375011""",319,334,366,364,339,332
"Derby School District","""0370011""","Irving School","""0370411""",396,402,420,378,370,328
"Derby School District","""0370011""","Little Raiders University","""0370111""",0,0,0,0,0,33
"East Granby School District","""0400011""","Allgrove School","""0400111""",255,238,241,194,222,206
"East Granby School District","""0400011""","East Granby High School","""0406111""",275,263,271,259,257,264
"East Granby School District","""0400011""","East Granby Middle School","""0405111""",211,216,213,208,211,196
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""",150,129,137,207,185,202
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""",412,371,337,326,319,309
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",387,406,399,372,351,321
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""",540,497,508,488,455,431
"East Hampton School District","""0420011""","Center School","""0420311""",288,303,285,295,283,297
"East Hampton School District","""0420011""","East Hampton High School","""0426111""",552,550,523,520,502,515
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",508,469,449,423,432,433
"East Hampton School District","""0420011""","Memorial School","""0420111""",615,621,631,626,605,637
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",7,"*",6,7,8,6
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""",291,274,280,296,284,312
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""",180,188,188,197,203,192
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""",408,401,371,364,364,356
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""",369,381,387,402,375,322
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""",338,313,504,533,557,509
"East Hartford School District","""0430011""","East Hartford High School","""0436211""",1734,1732,1642,1682,1674,1649
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""",1021,1051,1044,1101,1158,1074
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""",382,361,323,343,342,344
"East Hartford School District","""0430011""","Hockanum School","""0430511""",317,297,293,322,337,336
