"Student Enrollment Trend"
"Student Counts by School and Year"
"All Districts, All Schools"

"",,,,"YEAR",,,,,
"District","District Code","School","School Code","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""",610,762,824,870,954,1063
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""",812,857,904,937,984,1036
"Andover School District","""0010011""","Andover Elementary School","""0010111""",334,314,314,298,275,250
"Ansonia School District","""0020011""","Ansonia High School","""0026111""",727,695,631,602,584,597
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""",458,472,463,493,498,446
"Ansonia School District","""0020011""","Mead School","""0020311""",642,610,619,566,597,595
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",0,0,0,0,40,35
"Ansonia School District","""0020011""","Prendergast School","""0020811""",787,738,699,661,680,688
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",19,31,36,36,39,38
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",170,160,147,151,160,167
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""",720,721,722,711,713,726
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",153,148,149,151,151,135
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",128,114,114,114,113,113
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",102,94,89,100,90,95
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",53,47,45,39,42,42
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""",646,640,630,631,631,632
"Ashford School District","""0030011""","Ashford School","""0030111""",476,481,439,423,415,397
"Avon School District","""0040011""","Avon High School","""0046111""",1088,1112,1083,1057,1051,1038
"Avon School District","""0040011""","Avon Middle School","""0045111""",584,572,611,584,548,545
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",0,0,0,0,48,45
"Avon School District","""0040011""","Pine Grove School","""0040411""",631,631,595,594,576,599
"Avon School District","""0040011""","Roaring Brook School","""0040311""",651,590,569,573,546,497
"Avon School District","""0040011""","Thompson Brook School","""0040511""",594,594,548,563,552,550
