"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, Gender"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","Gender","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Amistad Academy","Female",64.7,75.0,75.0,80.0,87.5
"Amistad Academy District","Amistad Academy","Male",50.0,69.2,63.6,87.5,76.9
"Ansonia School District","Ansonia High School","Female",73.1,82.8,89.4,80.6,89.4
"Ansonia School District","Ansonia High School","Male",67.8,70.5,62.9,79.5,88.5
"Avon School District","Avon High School","Female",97.8,97.9,95.9,100.0,96.4
"Avon School District","Avon High School","Male",93.2,95.1,97.1,96.7,96.3
"Berlin School District","Berlin High School","Female",93.5,96.6,95.7,96.5,100.0
"Berlin School District","Berlin High School","Male",94.1,93.9,96.7,94.2,89.5
"Bethel School District","Bethel High School","Female",96.9,96.9,92.3,94.9,97.1
"Bethel School District","Bethel High School","Male",91.2,92.7,94.0,90.6,94.5
"Bloomfield School District","Bloomfield High School","Female",82.9,87.2,93.3,93.8,87.5
"Bloomfield School District","Bloomfield High School","Male",66.3,79.3,89.2,87.0,86.7
"Bloomfield School District","Global Experience Magnet School","Female","N/A","N/A",100.0,100.0,100.0
"Bloomfield School District","Global Experience Magnet School","Male","N/A","N/A",91.7,90.0,100.0
"Bloomfield School District","Learning Academy at Bloomfield","Female","N/A","N/A","*","*",75.0
"Bloomfield School District","Learning Academy at Bloomfield","Male","N/A","N/A","*","*",100.0
"Bloomfield School District","The Big Picture High School","Female","*","*","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Male","*","*","N/A","N/A","N/A"
"Bolton School District","Bolton High School","Female",95.7,94.6,97.7,96.2,100.0
"Bolton School District","Bolton High School","Male",92.3,86.1,97.2,93.8,95.7
"Branford School District","Branford High School","Female",95.5,96.1,93.5,95.3,94.3
"Branford School District","Branford High School","Male",94.4,94.3,92.2,90.2,89.4
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Female","N/A","N/A","N/A","N/A",94.1
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Male","N/A","N/A","N/A","N/A",92.9
"Bridgeport School District","Bassick High School","Female",64.4,52.7,62.3,68.7,62.8
"Bridgeport School District","Bassick High School","Male",58.0,43.3,56.1,56.5,56.3
"Bridgeport School District","Central High School","Female",82.3,81.8,82.2,84.8,83.1
"Bridgeport School District","Central High School","Male",65.7,74.8,72.9,76.1,69.9
"Bridgeport School District","Harding High School","Female",52.5,74.5,69.1,80.5,56.3
"Bridgeport School District","Harding High School","Male",37.4,57.2,52.9,58.9,51.9
"Bristol School District","Bristol Central High School","Female",76.0,86.7,86.1,87.2,85.4
