"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","261","0","261"
"2795113","2790013","Amistad Academy District","Amistad Academy","641","0","641"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","334"
"0026111","0020011","Ansonia School District","Ansonia High School","707","10","717"
"0025111","0020011","Ansonia School District","Ansonia Middle School","560","22","582"
"0020311","0020011","Ansonia School District","Mead School","594","22","616"
"0029011","0020011","Ansonia School District","Pine Academy","39","0","39"
"0020811","0020011","Ansonia School District","Prendergast School","740","19","759"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","12","0","12"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","110","0","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","170","0","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","706","42","748"
"2449514","2440014","Area Cooperative Educational Services","Village School","176","0","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","128","0","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","*","*","93"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","56","0","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","605"
"0030111","0030011","Ashford School District","Ashford School","477","8","485"
"0046111","0040011","Avon School District","Avon High School","*","*","1052"
"0045111","0040011","Avon School District","Avon Middle School","*","*","589"
"0040411","0040011","Avon School District","Pine Grove School","591","19","610"
"0040311","0040011","Avon School District","Roaring Brook School","732","18","750"
"0040511","0040011","Avon School District","Thompson Brook School","*","*","557"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","341"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","21","0","21"
"0076111","0070011","Berlin School District","Berlin High School","1016","11","1027"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","729","13","742"
"0070411","0070011","Berlin School District","Emma Hart Willard School","573","28","601"
"0070511","0070011","Berlin School District","Mary E. Griswold School","573","11","584"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","248","16","264"
"0080111","0080011","Bethany School District","Bethany Community School","549","0","549"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","405","18","423"
"0096111","0090011","Bethel School District","Bethel High School","994","16","1010"
"0095111","0090011","Bethel School District","Bethel Middle School","683","23","706"
"0090111","0090011","Bethel School District","Frank A. Berry School","459","21","480"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","434","20","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","*","*","646"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","*","*","313"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","302"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","*","*","316"
"0110611","0110011","Bloomfield School District","Laurel School","*","*","265"
"0110511","0110011","Bloomfield School District","Metacomet School","232","0","232"
"0116211","0110011","Bloomfield School District","The Big Picture High School","83","0","83"
"0120111","0120011","Bolton School District","Bolton Center School","*","*","583"
"0126111","0120011","Bolton School District","Bolton High School","278","0","278"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","256"
"0146111","0140011","Branford School District","Branford High School","1101","10","1111"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1064","19","1083"
"0148011","0140011","Branford School District","Indian Neck School","77","0","77"
"0141611","0140011","Branford School District","John B. Sliney School","351","12","363"
"0141511","0140011","Branford School District","Mary R. Tisko School","419","17","436"
"0141411","0140011","Branford School District","Mary T. Murphy School","374","35","409"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","*","*","160"
"0150111","0150011","Bridgeport School District","Barnum School","490","110","600"
"0156111","0150011","Bridgeport School District","Bassick High School","1058","199","1257"
"0150211","0150011","Bridgeport School District","Beardsley School","344","48","392"
"0150311","0150011","Bridgeport School District","Black Rock School","187","47","234"
"0154011","0150011","Bridgeport School District","Blackham School","941","118","1059"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","57"
"0150411","0150011","Bridgeport School District","Bryant School","361","79","440"
"0156211","0150011","Bridgeport School District","Central High School","2119","168","2287"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","717","376","1093"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","336","7","343"
"0150511","0150011","Bridgeport School District","Columbus School","440","189","629"
"0153911","0150011","Bridgeport School District","Cross School","366","7","373"
"0154211","0150011","Bridgeport School District","Curiale School","480","82","562"
"0154111","0150011","Bridgeport School District","Dunbar School","389","8","397"
"0150711","0150011","Bridgeport School District","Edison School","299","18","317"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","679","92","771"
"0151111","0150011","Bridgeport School District","Hall School","260","13","273"
"0151211","0150011","Bridgeport School District","Hallen School","347","7","354"
"0156311","0150011","Bridgeport School District","Harding High School","1339","313","1652"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","441"
"0151311","0150011","Bridgeport School District","Hooker School","462","8","470"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","580","16","596"
"0151911","0150011","Bridgeport School District","Longfellow School","342","71","413"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","590","264","854"
"0152011","0150011","Bridgeport School District","Madison School","467","64","531"
"0159511","0150011","Bridgeport School District","Make The Grade","32","10","42"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","366","79","445"
"0159411","0150011","Bridgeport School District","New Start Program","*","*","38"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","34"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","501"
"0152511","0150011","Bridgeport School District","Read School","834","85","919"
"0152611","0150011","Bridgeport School District","Roosevelt School","405","145","550"
"0154411","0150011","Bridgeport School District","Skane Center","*","*","210"
"0159111","0150011","Bridgeport School District","The University School","24","0","24"
"0153011","0150011","Bridgeport School District","Waltersville School","502","59","561"
"0153611","0150011","Bridgeport School District","Winthrop School","683","46","729"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","*","*","23"
"0176111","0170011","Bristol School District","Bristol Central High School","1392","25","1417"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1299","19","1318"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","853","28","881"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","342","30","372"
"0170111","0170011","Bristol School District","Clarence A. Bingham School","228","14","242"
"0170311","0170011","Bristol School District","Edgewood School","333","26","359"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","481","11","492"
"0170511","0170011","Bristol School District","Greene-Hills School","351","16","367"
"0171911","0170011","Bristol School District","Ivy Drive School","373","9","382"
"0170611","0170011","Bristol School District","John J. Jennings School","356","10","366"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","527","16","543"
"0171711","0170011","Bristol School District","Mountain View School","*","*","391"
"0175211","0170011","Bristol School District","Northeast Middle School","553","13","566"
"0171111","0170011","Bristol School District","South Side School","549","26","575"
"0171211","0170011","Bristol School District","Stafford School","507","10","517"
"0186111","0180011","Brookfield School District","Brookfield High School","*","*","1016"
"0180311","0180011","Brookfield School District","Center Elementary School","381","25","406"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","*","*","609"
"0185311","0180011","Brookfield School District","Whisconier Middle School","906","9","915"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","581","0","581"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","400","0","400"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","85","0","85"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","*","*","357"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","242","0","242"
"0236111","0230011","Canton School District","Canton High School","*","*","522"
"0230311","0230011","Canton School District","Canton Intermediate School","*","*","394"
"0235111","0230011","Canton School District","Canton Middle School","279","0","279"
"0230211","0230011","Canton School District","Cherry Brook Primary School","545","8","553"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","*","*","78"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","16","0","16"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","241","10","251"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","*","*","164"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","*","*","147"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","18","0","18"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","*","*","124"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","61","7","68"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","674","9","683"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","304","28","332"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","*","*","105"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","*","*","149"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","53","0","53"
"2419314","2410014","Capitol Region Education Council","River Street School","149","0","149"
"2419114","2410014","Capitol Region Education Council","Soundbridge","98","0","98"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","563","26","589"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","396","16","412"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","178","0","178"
"2870113","2870013","Charter School for Young Children on Asylum Hill District","Charter School for Young Children on Asylum Hill  Inc.","136","0","136"
"0250111","0250011","Cheshire School District","Chapman School","*","*","329"
"0256111","0250011","Cheshire School District","Cheshire High School","*","*","1579"
"0250211","0250011","Cheshire School District","Darcey School","375","10","385"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","*","818"
"0250611","0250011","Cheshire School District","Doolittle School","524","8","532"
"0250411","0250011","Cheshire School District","Highland School","857","12","869"
"0259011","0250011","Cheshire School District","Humiston School","24","0","24"
"0250511","0250011","Cheshire School District","Norton School","*","*","470"
"0260111","0260011","Chester School District","Chester Elementary School","319","0","319"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","*","313"
"0275111","0270011","Clinton School District","Jared Eliot School","*","*","492"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","666","23","689"
"0276111","0270011","Clinton School District","The Morgan School","*","*","590"
"0286111","0280011","Colchester School District","Bacon Academy","*","*","968"
"0280411","0280011","Colchester School District","Colchester Elementary School","*","*","739"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","704","6","710"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","*","*","763"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","116","0","116"
"0300111","0300011","Columbia School District","Horace W. Porter School","*","*","573"
"2686113","2680013","Common Ground High School District","Common Ground High School","147","8","155"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","557","58","615"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","852","23","875"
