"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","1066","0","0","1066"
"2795113","2790013","Amistad Academy District","Amistad Academy","686","289","82","1057"
"0010111","0010011","Andover School District","Andover Elementary School","32","184","9","225"
"0026111","0020011","Ansonia School District","Ansonia High School","337","211","68","616"
"0025111","0020011","Ansonia School District","Ansonia Middle School","239","158","44","441"
"0020311","0020011","Ansonia School District","Mead School","383","150","47","580"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","25","*","*","31"
"0020411","0020011","Ansonia School District","P.A.C.E. - PM (Positive And Creative Education - PM)","*","*","0","7"
"0020811","0020011","Ansonia School District","Prendergast School","373","218","74","665"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","19","*","40"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","152","16","0","168"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","395","270","67","732"
"2449514","2440014","Area Cooperative Educational Services","Village School","109","9","0","118"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","107","8","0","115"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","87","15","0","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","*","*","0","41"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","237","325","69","631"
"0030111","0030011","Ashford School District","Ashford School","105","288","13","406"
"0046111","0040011","Avon School District","Avon High School","40","971","13","1024"
"0045111","0040011","Avon School District","Avon Middle School","*","532","*","558"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","10","46","0","56"
"0040411","0040011","Avon School District","Pine Grove School","*","582","*","624"
"0040311","0040011","Avon School District","Roaring Brook School","*","483","*","516"
"0040511","0040011","Avon School District","Thompson Brook School","*","461","*","497"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","13","209","6","228"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","*","*","0","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","23","0","23"
"0076111","0070011","Berlin School District","Berlin High School","114","757","20","891"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","75","615","24","714"
"0070411","0070011","Berlin School District","Emma Hart Willard School","61","399","22","482"
"0070511","0070011","Berlin School District","Mary E. Griswold School","42","439","10","491"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","28","175","10","213"
"0080111","0080011","Bethany School District","Bethany Community School","*","323","*","356"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","61","311","25","397"
"0096111","0090011","Bethel School District","Bethel High School","126","692","53","871"
"0095111","0090011","Bethel School District","Bethel Middle School","109","532","42","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","66","457","19","542"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","70","380","29","479"
"0090311","0090011","Bethel School District","TASK","*","6","*","12"
"0116111","0110011","Bloomfield School District","Bloomfield High School","214","275","45","534"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","108","105","24","237"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","99","79","23","201"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","76","119","22","217"
"0110611","0110011","Bloomfield School District","Laurel School","164","171","27","362"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","*","0","*","13"
"0110511","0110011","Bloomfield School District","Metacomet School","134","102","20","256"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","81","231","11","323"
"0120111","0120011","Bolton School District","Bolton Center School","82","445","6","533"
"0126111","0120011","Bolton School District","Bolton High School","*","251","*","281"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","151","44","46","241"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","159","*","208"
"0146111","0140011","Branford School District","Branford High School","159","681","48","888"
"0140211","0140011","Branford School District","Branford High School Horizons Program","21","*","*","43"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","188","633","48","869"
"0148011","0140011","Branford School District","Indian Neck School","*","*","0","39"
"0141611","0140011","Branford School District","John B. Sliney School","92","217","20","329"
"0141511","0140011","Branford School District","Mary R. Tisko School","51","322","10","383"
"0141411","0140011","Branford School District","Mary T. Murphy School","123","253","37","413"
"3480115","3480015","Branford School District","Bridgeport Detention Center","*","*","0","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","115","74","30","219"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","657","287","100","1044"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","124","375","0","499"
"0150111","0150011","Bridgeport School District","Barnum School","400","233","0","633"
"0156111","0150011","Bridgeport School District","Bassick High School","613","348","0","961"
"0150211","0150011","Bridgeport School District","Beardsley School","181","168","0","349"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","351","140","0","491"
"0150311","0150011","Bridgeport School District","Black Rock School","163","302","0","465"
"0154011","0150011","Bridgeport School District","Blackham School","480","647","0","1127"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","44","20","0","64"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","162","167","0","329"
"0150411","0150011","Bridgeport School District","Bryant School","232","149","0","381"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","34","10","0","44"
"0156211","0150011","Bridgeport School District","Central High School","634","881","0","1515"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","666","501","0","1167"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","139","234","0","373"
"0150511","0150011","Bridgeport School District","Columbus School","571","272","0","843"
"0153911","0150011","Bridgeport School District","Cross School","242","145","0","387"
"0154211","0150011","Bridgeport School District","Curiale School","485","227","0","712"
"0154111","0150011","Bridgeport School District","Dunbar School","256","151","0","407"
"0150711","0150011","Bridgeport School District","Edison School","130","133","0","263"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","422","365","0","787"
