"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","1011","52","1063"
"2795113","2790013","Amistad Academy District","Amistad Academy","930","106","1036"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","250"
"0026111","0020011","Ansonia School District","Ansonia High School","585","12","597"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","446"
"0020311","0020011","Ansonia School District","Mead School","573","22","595"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","*","*","35"
"0020811","0020011","Ansonia School District","Prendergast School","662","26","688"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","38","0","38"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","167","0","167"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","678","48","726"
"2449514","2440014","Area Cooperative Educational Services","Village School","135","0","135"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","113","0","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","95","0","95"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","*","*","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","632"
"0030111","0030011","Ashford School District","Ashford School","*","*","397"
"0046111","0040011","Avon School District","Avon High School","1030","8","1038"
"0045111","0040011","Avon School District","Avon Middle School","537","8","545"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","*","*","45"
"0040411","0040011","Avon School District","Pine Grove School","537","62","599"
"0040311","0040011","Avon School District","Roaring Brook School","482","15","497"
"0040511","0040011","Avon School District","Thompson Brook School","541","9","550"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","255","0","255"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","*","0","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","28","0","28"
"0076111","0070011","Berlin School District","Berlin High School","*","*","953"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","666","6","672"
"0070411","0070011","Berlin School District","Emma Hart Willard School","477","26","503"
"0070511","0070011","Berlin School District","Mary E. Griswold School","486","11","497"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","222","16","238"
"0080111","0080011","Bethany School District","Bethany Community School","*","*","383"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","386","34","420"
"0096111","0090011","Bethel School District","Bethel High School","884","13","897"
"0095111","0090011","Bethel School District","Bethel Middle School","644","14","658"
"0090111","0090011","Bethel School District","Frank A. Berry School","530","31","561"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","410","16","426"
"0116111","0110011","Bloomfield School District","Bloomfield High School","*","*","516"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","*","*","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","193"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","*","*","218"
"0110611","0110011","Bloomfield School District","Laurel School","326","9","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","10","0","10"
"0110511","0110011","Bloomfield School District","Metacomet School","246","8","254"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","322","0","322"
"0120111","0120011","Bolton School District","Bolton Center School","*","*","507"
"0126111","0120011","Bolton School District","Bolton High School","307","0","307"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","180","0","180"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","201"
"0146111","0140011","Branford School District","Branford High School","899","15","914"
"0140211","0140011","Branford School District","Branford High School Horizons Program","40","0","40"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","893","19","912"
"0148011","0140011","Branford School District","Indian Neck School","40","0","40"
"0141611","0140011","Branford School District","John B. Sliney School","330","19","349"
"0141511","0140011","Branford School District","Mary R. Tisko School","350","16","366"
"0141411","0140011","Branford School District","Mary T. Murphy School","379","45","424"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","186","0","186"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","888","128","1016"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","477","17","494"
"0150111","0150011","Bridgeport School District","Barnum School","521","97","618"
"0156111","0150011","Bridgeport School District","Bassick High School","778","173","951"
"0150211","0150011","Bridgeport School District","Beardsley School","320","34","354"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","473","16","489"
"0150311","0150011","Bridgeport School District","Black Rock School","378","91","469"
"0154011","0150011","Bridgeport School District","Blackham School","948","183","1131"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","61"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","248","22","270"
"0150411","0150011","Bridgeport School District","Bryant School","318","67","385"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","27","0","27"
"0156211","0150011","Bridgeport School District","Central High School","1334","183","1517"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","726","470","1196"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","378","15","393"
"0150511","0150011","Bridgeport School District","Columbus School","677","175","852"
"0153911","0150011","Bridgeport School District","Cross School","378","19","397"
"0154211","0150011","Bridgeport School District","Curiale School","601","97","698"
"0153711","0150011","Bridgeport School District","Discovery Interdistrict Magnet School","500","6","506"
"0154111","0150011","Bridgeport School District","Dunbar School","404","12","416"
"0150711","0150011","Bridgeport School District","Edison School","258","12","270"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","624","170","794"
"0151111","0150011","Bridgeport School District","Hall School","233","7","240"
"0151211","0150011","Bridgeport School District","Hallen School","304","11","315"
"0156311","0150011","Bridgeport School District","Harding High School","758","302","1060"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","408"
"0151311","0150011","Bridgeport School District","Hooker School","337","14","351"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","480","12","492"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","500","6","506"
