"school_code","district_code","district","school","no","yes","total"
"2795113","2790013","Amistad Academy District","Amistad Academy","547","0","547"
"0010111","0010011","Andover School District","Andover Elementary School","347","0","347"
"0026111","0020011","Ansonia School District","Ansonia High School","751","9","760"
"0025111","0020011","Ansonia School District","Ansonia Middle School","578","18","596"
"0020311","0020011","Ansonia School District","Mead School","574","25","599"
"0020811","0020011","Ansonia School District","Prendergast School","749","27","776"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","19","0","19"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","99","0","99"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","*","*","176"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","723","29","752"
"2449514","2440014","Area Cooperative Educational Services","Village School","174","0","174"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","125","0","125"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","*","*","92"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","*","*","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","605"
"0030111","0030011","Ashford School District","Ashford School","*","*","500"
"0046111","0040011","Avon School District","Avon High School","1029","7","1036"
"0045111","0040011","Avon School District","Avon Middle School","*","*","582"
"0040411","0040011","Avon School District","Pine Grove School","603","15","618"
"0040311","0040011","Avon School District","Roaring Brook School","757","19","776"
"0040511","0040011","Avon School District","Thompson Brook School","*","*","590"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","30","0","30"
"0076111","0070011","Berlin School District","Berlin High School","1055","8","1063"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","765","13","778"
"0070411","0070011","Berlin School District","Emma Hart Willard School","547","30","577"
"0070511","0070011","Berlin School District","Mary E. Griswold School","577","12","589"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","250","13","263"
"0080111","0080011","Bethany School District","Bethany Community School","569","0","569"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","396","29","425"
"0096111","0090011","Bethel School District","Bethel High School","1017","17","1034"
"0095111","0090011","Bethel School District","Bethel Middle School","720","23","743"
"0090111","0090011","Bethel School District","Frank A. Berry School","460","28","488"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","433","21","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","625","0","625"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","*","*","348"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","342","0","342"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","*","*","315"
"0110611","0110011","Bloomfield School District","Laurel School","*","*","268"
"0110511","0110011","Bloomfield School District","Metacomet School","*","*","238"
"0116211","0110011","Bloomfield School District","The Big Picture High School","79","0","79"
"0120111","0120011","Bolton School District","Bolton Center School","597","0","597"
"0126111","0120011","Bolton School District","Bolton High School","275","0","275"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","264"
"0146111","0140011","Branford School District","Branford High School","1137","9","1146"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1061","21","1082"
"0148011","0140011","Branford School District","Indian Neck School","58","0","58"
"0141611","0140011","Branford School District","John B. Sliney School","335","10","345"
"0141511","0140011","Branford School District","Mary R. Tisko School","422","8","430"
"0141411","0140011","Branford School District","Mary T. Murphy School","383","33","416"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","85","0","85"
"0150111","0150011","Bridgeport School District","Barnum School","252","27","279"
"0156111","0150011","Bridgeport School District","Bassick High School","1118","167","1285"
"0150211","0150011","Bridgeport School District","Beardsley School","542","65","607"
"0150311","0150011","Bridgeport School District","Black Rock School","216","56","272"
"0154011","0150011","Bridgeport School District","Blackham School","1035","142","1177"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","54"
"0150411","0150011","Bridgeport School District","Bryant School","337","76","413"
"0156211","0150011","Bridgeport School District","Central High School","2166","173","2339"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","752","410","1162"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","368","7","375"
"0150511","0150011","Bridgeport School District","Columbus School","506","257","763"
"0153911","0150011","Bridgeport School District","Cross School","391","15","406"
"0154211","0150011","Bridgeport School District","Curiale School","508","84","592"
"0154111","0150011","Bridgeport School District","Dunbar School","350","13","363"
"0150711","0150011","Bridgeport School District","Edison School","393","15","408"
"0150911","0150011","Bridgeport School District","Garfield School","215","63","278"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","155","41","196"
"0151111","0150011","Bridgeport School District","Hall School","331","13","344"
"0151211","0150011","Bridgeport School District","Hallen School","314","8","322"
"0156311","0150011","Bridgeport School District","Harding High School","1395","327","1722"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","444"
"0151311","0150011","Bridgeport School District","Hooker School","435","15","450"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","323","6","329"
"0151911","0150011","Bridgeport School District","Longfellow School","406","69","475"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","575","271","846"
"0152011","0150011","Bridgeport School District","Madison School","511","51","562"
"0159511","0150011","Bridgeport School District","Make The Grade","28","9","37"
"0154311","0150011","Bridgeport School District","Maplewood Annex","*","*","187"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","400","75","475"
"0159411","0150011","Bridgeport School District","New Start Program","*","*","14"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","30"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","501"
"0152511","0150011","Bridgeport School District","Read School","812","92","904"
"0152611","0150011","Bridgeport School District","Roosevelt School","561","166","727"
"0154411","0150011","Bridgeport School District","Skane Center","213","6","219"
"0159111","0150011","Bridgeport School District","The University School","*","*","46"
"0153011","0150011","Bridgeport School District","Waltersville School","409","47","456"
"0153611","0150011","Bridgeport School District","Winthrop School","708","50","758"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","23","0","23"
"0176111","0170011","Bristol School District","Bristol Central High School","1443","22","1465"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1318","15","1333"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","894","35","929"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","315","40","355"
"0170111","0170011","Bristol School District","Clarence A. Bingham School","238","15","253"
"0170311","0170011","Bristol School District","Edgewood School","328","28","356"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","478","12","490"
"0170511","0170011","Bristol School District","Greene-Hills School","372","24","396"
"0171911","0170011","Bristol School District","Ivy Drive School","395","7","402"
"0170611","0170011","Bristol School District","John J. Jennings School","365","9","374"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","531","11","542"
"0171711","0170011","Bristol School District","Mountain View School","359","10","369"
"0175211","0170011","Bristol School District","Northeast Middle School","550","8","558"
"0171111","0170011","Bristol School District","South Side School","558","22","580"
"0171211","0170011","Bristol School District","Stafford School","481","16","497"
"0186111","0180011","Brookfield School District","Brookfield High School","1009","11","1020"
"0180311","0180011","Brookfield School District","Center Elementary School","366","8","374"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","*","*","604"
"0185311","0180011","Brookfield School District","Whisconier Middle School","936","15","951"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","580","0","580"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","406","0","406"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","101","0","101"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","*","*","316"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","262","0","262"
"0236111","0230011","Canton School District","Canton High School","*","*","514"
"0230311","0230011","Canton School District","Canton Intermediate School","*","*","405"
"0235111","0230011","Canton School District","Canton Middle School","*","*","270"
"0230211","0230011","Canton School District","Cherry Brook Primary School","530","8","538"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","*","*","257"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","*","*","111"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","43","0","43"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","383","6","389"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","*","*","676"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","312","17","329"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","564","18","582"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","398","8","406"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","210","0","210"
"0250111","0250011","Cheshire School District","Chapman School","*","*","332"
"0256111","0250011","Cheshire School District","Cheshire High School","*","*","1612"
"0250211","0250011","Cheshire School District","Darcey School","381","12","393"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","*","824"
"0250611","0250011","Cheshire School District","Doolittle School","529","8","537"
"0250411","0250011","Cheshire School District","Highland School","898","10","908"
"0259011","0250011","Cheshire School District","Humiston School","23","0","23"
"0250511","0250011","Cheshire School District","Norton School","*","*","493"
"0260111","0260011","Chester School District","Chester Elementary School","341","0","341"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","*","338"
"0275111","0270011","Clinton School District","Jared Eliot School","453","9","462"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","648","19","667"
"0276111","0270011","Clinton School District","The Morgan School","*","*","638"
"0286111","0280011","Colchester School District","Bacon Academy","*","*","982"
"0280411","0280011","Colchester School District","Colchester Elementary School","*","*","774"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","674","7","681"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","794","7","801"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","122","0","122"
"0300111","0300011","Columbia School District","Horace W. Porter School","*","*","586"
"2686113","2680013","Common Ground High School District","Common Ground High School","152","0","152"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","526","55","581"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","854","24","878"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","422","39","461"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","481","48","529"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","576","13","589"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","518","12","530"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","672","24","696"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","563","0","563"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","535","35","570"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","556","8","564"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","226","29","255"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","*","*","410"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","720","0","720"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","845","8","853"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","*","587"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","689","15","704"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","473","10","483"
"2439014","2430014","Cooperative Educational Services","C. E. S. Special Education","240","0","240"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","435","0","435"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","129","0","129"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","539","0","539"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","11","0","11"
"0320211","0320011","Coventry School District","Coventry Grammar School","425","0","425"
"0326111","0320011","Coventry School District","Coventry High School","559","0","559"
"0320411","0320011","Coventry School District","George Hersey Robertson School","474","0","474"
"0336111","0330011","Cromwell School District","Cromwell High School","552","7","559"
"0335111","0330011","Cromwell School District","Cromwell Middle School","466","7","473"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","449","36","485"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","459","13","472"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","*","*","97"
"0345111","0340011","Danbury School District","Broadview Middle School","1023","121","1144"
"0346111","0340011","Danbury School District","Danbury High School","2433","402","2835"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","207","126","333"
"0341111","0340011","Danbury School District","Great Plain School","232","83","315"
"0340211","0340011","Danbury School District","Hayestown Avenue School","320","80","400"
"0341711","0340011","Danbury School District","King Street Intermediate School","271","46","317"
