"school_code","district_code","district","school","subject","gender","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0030111","0030011","Ashford School District","Ashford School","ELA","M","114","114","100.0","114","23","20.2","30","26.3","42","36.8","19","16.7","61","53.5"
"0030111","0030011","Ashford School District","Ashford School","Math","F","117","117","100.0","117","22","18.8","40","34.2","32","27.4","23","19.7","55","47.0"
"0030111","0030011","Ashford School District","Ashford School","Math","M","114","114","100.0","114","26","22.8","30","26.3","41","36.0","17","14.9","58","50.9"
"0045111","0040011","Avon School District","Avon Middle School","ELA","F","255","253","99.2","253","10","4.0","29","11.5","103","40.7","111","43.9","214","84.6"
"0045111","0040011","Avon School District","Avon Middle School","ELA","M","285","285","100.0","285","12","4.2","46","16.1","109","38.2","118","41.4","227","79.6"
"0045111","0040011","Avon School District","Avon Middle School","Math","F","255","253","99.2","253","19","7.5","36","14.2","59","23.3","139","54.9","198","78.3"
"0045111","0040011","Avon School District","Avon Middle School","Math","M","287","286","99.7","286","16","5.6","37","12.9","69","24.1","164","57.3","233","81.5"
"0040411","0040011","Avon School District","Pine Grove School","ELA","F","117","117","100.0","117","6","5.1","19","16.2","30","25.6","62","53.0","92","78.6"
"0040411","0040011","Avon School District","Pine Grove School","ELA","M","125","125","100.0","125","7","5.6","21","16.8","29","23.2","68","54.4","97","77.6"
"0040411","0040011","Avon School District","Pine Grove School","Math","F","117","117","100.0","117","7","6.0","29","24.8","41","35.0","40","34.2","81","69.2"
"0040411","0040011","Avon School District","Pine Grove School","Math","M","126","126","100.0","126","7","5.6","26","20.6","35","27.8","58","46.0","93","73.8"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","F","107","106","99.1","106","6","5.7","12","11.3","23","21.7","65","61.3","88","83.0"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","M","106","106","100.0","106","9","8.5","11","10.4","23","21.7","63","59.4","86","81.1"
"0040311","0040011","Avon School District","Roaring Brook School","Math","F","107","106","99.1","106","*","*","*","*","39","36.8","46","43.4","85","80.2"
"0040311","0040011","Avon School District","Roaring Brook School","Math","M","106","105","99.1","105","*","*","*","*","37","35.2","52","49.5","89","84.8"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","F","275","274","99.6","274","13","4.7","30","10.9","83","30.3","148","54.0","231","84.3"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","M","275","275","100.0","275","22","8.0","39","14.2","101","36.7","113","41.1","214","77.8"
"0040511","0040011","Avon School District","Thompson Brook School","Math","F","275","274","99.6","274","29","10.6","66","24.1","81","29.6","98","35.8","179","65.3"
"0040511","0040011","Avon School District","Thompson Brook School","Math","M","275","274","99.6","274","25","9.1","47","17.2","79","28.8","123","44.9","202","73.7"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","F","86","84","97.7","84","*","*","*","*","28","33.3","31","36.9","59","70.2"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","M","89","84","94.4","84","*","*","*","*","29","34.5","23","27.4","52","61.9"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","F","86","84","97.7","84","23","27.4","29","34.5","22","26.2","10","11.9","32","38.1"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","M","89","84","94.4","84","19","22.6","35","41.7","20","23.8","10","11.9","30","35.7"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","F","301","300","99.7","300","21","7.0","55","18.3","144","48.0","80","26.7","224","74.7"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","M","374","374","100.0","374","47","12.6","91","24.3","155","41.4","81","21.7","236","63.1"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","F","301","300","99.7","299","62","20.7","98","32.8","84","28.1","55","18.4","139","46.5"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","M","374","374","100.0","374","86","23.0","115","30.7","82","21.9","91","24.3","173","46.3"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","F","104","104","100.0","104","6","5.8","23","22.1","34","32.7","41","39.4","75","72.1"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","M","123","122","99.2","122","18","14.8","29","23.8","33","27.0","42","34.4","75","61.5"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","F","104","104","100.0","104","7","6.7","32","30.8","37","35.6","28","26.9","65","62.5"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","M","123","122","99.2","122","14","11.5","34","27.9","30","24.6","44","36.1","74","60.7"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","F","131","131","100.0","131","8","6.1","27","20.6","51","38.9","45","34.4","96","73.3"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","M","153","152","99.3","151","18","11.9","32","21.2","48","31.8","53","35.1","101","66.9"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","F","131","131","100.0","131","20","15.3","40","30.5","43","32.8","28","21.4","71","54.2"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","M","153","150","98.0","149","20","13.4","36","24.2","51","34.2","42","28.2","93","62.4"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","F","64","64","100.0","64","*","*","*","*","21","32.8","29","45.3","50","78.1"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","M","66","65","98.5","65","*","*","*","*","21","32.3","23","35.4","44","67.7"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","F","64","64","100.0","64","*","*","17","26.6","26","40.6","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","M","66","64","97.0","64","*","*","*","*","24","37.5","17","26.6","41","64.1"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","F","107","103","96.3","103","8","7.8","15","14.6","34","33.0","46","44.7","80","77.7"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","M","125","121","96.8","121","21","17.4","34","28.1","36","29.8","30","24.8","66","54.5"
"0080111","0080011","Bethany School District","Bethany Community School","Math","F","107","103","96.3","103","6","5.8","23","22.3","35","34.0","39","37.9","74","71.8"
"0080111","0080011","Bethany School District","Bethany Community School","Math","M","125","121","96.8","121","18","14.9","35","28.9","32","26.4","36","29.8","68","56.2"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","F","63","63","100.0","63","10","15.9","9","14.3","21","33.3","23","36.5","44","69.8"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","M","63","62","98.4","62","14","22.6","14","22.6","15","24.2","19","30.6","34","54.8"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","F","63","63","100.0","63","*","*","*","*","27","42.9","16","25.4","43","68.3"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","M","63","62","98.4","62","*","*","*","*","20","32.3","21","33.9","41","66.1"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","F","313","311","99.4","311","18","5.8","36","11.6","134","43.1","123","39.5","257","82.6"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","M","337","337","100.0","337","35","10.4","68","20.2","142","42.1","92","27.3","234","69.4"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","F","313","311","99.4","311","51","16.4","96","30.9","96","30.9","68","21.9","164","52.7"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","M","337","336","99.7","336","68","20.2","104","31.0","84","25.0","80","23.8","164","48.8"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","F","65","65","100.0","65","*","*","*","*","19","29.2","28","43.1","47","72.3"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","M","62","61","98.4","61","*","*","16","26.2","*","*","30","49.2","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","F","65","65","100.0","65","*","*","*","*","21","32.3","20","30.8","41","63.1"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","M","62","61","98.4","61","*","*","*","*","24","39.3","25","41.0","49","80.3"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","F","203","202","99.5","202","25","12.4","34","16.8","67","33.2","76","37.6","143","70.8"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","M","220","218","99.1","218","38","17.4","34","15.6","79","36.2","67","30.7","146","67.0"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","F","203","202","99.5","202","23","11.4","75","37.1","61","30.2","43","21.3","104","51.5"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","M","220","217","98.6","217","20","9.2","72","33.2","58","26.7","67","30.9","125","57.6"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","F","107","107","100.0","107","18","16.8","22","20.6","48","44.9","19","17.8","67","62.6"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","M","115","115","100.0","115","30","26.1","31","27.0","40","34.8","14","12.2","54","47.0"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","F","107","107","100.0","107","35","32.7","39","36.4","20","18.7","13","12.1","33","30.8"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","M","115","115","100.0","115","41","35.7","43","37.4","22","19.1","9","7.8","31","27.0"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","F","93","93","100.0","93","*","*","30","32.3","29","31.2","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","M","108","108","100.0","108","*","*","39","36.1","34","31.5","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","F","93","93","100.0","93","38","40.9","30","32.3","*","*","*","*","25","26.9"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","M","108","108","100.0","108","47","43.5","41","38.0","*","*","*","*","20","18.5"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","F","59","56","94.9","56","*","*","9","16.1","30","53.6","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","M","28","28","100.0","28","9","32.1","*","*","10","35.7","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","F","59","56","94.9","56","23","41.1","20","35.7","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","M","28","28","100.0","28","18","64.3","*","*","*","*","0","0.0","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","F","131","131","100.0","131","34","26.0","29","22.1","36","27.5","32","24.4","68","51.9"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","M","123","123","100.0","123","43","35.0","27","22.0","33","26.8","20","16.3","53","43.1"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","F","131","131","100.0","131","45","34.4","47","35.9","28","21.4","11","8.4","39","29.8"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","M","123","122","99.2","122","39","32.0","50","41.0","25","20.5","8","6.6","33","27.0"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","F","173","168","97.1","168","15","8.9","15","8.9","58","34.5","80","47.6","138","82.1"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","M","181","177","97.8","177","22","12.4","23","13.0","70","39.5","62","35.0","132","74.6"
"0120111","0120011","Bolton School District","Bolton Center School","Math","F","173","168","97.1","168","22","13.1","37","22.0","47","28.0","62","36.9","109","64.9"
"0120111","0120011","Bolton School District","Bolton Center School","Math","M","181","177","97.8","177","20","11.3","40","22.6","62","35.0","55","31.1","117","66.1"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","F","68","68","100.0","68","8","11.8","23","33.8","23","33.8","14","20.6","37","54.4"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","M","66","65","98.5","64","23","35.9","17","26.6","17","26.6","7","10.9","24","37.5"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","F","68","68","100.0","68","*","*","30","44.1","18","26.5","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","M","66","65","98.5","64","19","29.7","23","35.9","*","*","*","*","22","34.4"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","F","457","446","97.6","444","37","8.3","101","22.7","179","40.3","127","28.6","306","68.9"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","M","439","437","99.5","437","91","20.8","103","23.6","151","34.6","92","21.1","243","55.6"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","F","456","443","97.1","442","90","20.4","133","30.1","117","26.5","102","23.1","219","49.5"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","M","438","436","99.5","436","123","28.2","118","27.1","91","20.9","104","23.9","195","44.7"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","F","64","63","98.4","62","6","9.7","15","24.2","16","25.8","25","40.3","41","66.1"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","M","77","77","100.0","77","8","10.4","16","20.8","29","37.7","24","31.2","53","68.8"
"0141611","0140011","Branford School District","John B. Sliney School","Math","F","64","63","98.4","63","*","*","*","*","28","44.4","14","22.2","42","66.7"
"0141611","0140011","Branford School District","John B. Sliney School","Math","M","77","77","100.0","77","*","*","*","*","29","37.7","25","32.5","54","70.1"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","F","76","76","100.0","75","*","*","*","*","19","25.3","42","56.0","61","81.3"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","M","74","74","100.0","71","*","*","*","*","16","22.5","34","47.9","50","70.4"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","F","76","76","100.0","75","6","8.0","19","25.3","30","40.0","20","26.7","50","66.7"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","M","74","74","100.0","71","7","9.9","11","15.5","20","28.2","33","46.5","53","74.6"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","F","76","76","100.0","76","15","19.7","15","19.7","16","21.1","30","39.5","46","60.5"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","M","90","90","100.0","90","17","18.9","26","28.9","22","24.4","25","27.8","47","52.2"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","F","76","76","100.0","76","17","22.4","16","21.1","26","34.2","17","22.4","43","56.6"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","M","90","90","100.0","90","15","16.7","23","25.6","25","27.8","27","30.0","52","57.8"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","ELA","F","24","24","100.0","24","0","0.0","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","ELA","M","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Math","F","24","24","100.0","24","*","*","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Math","M","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","F","272","272","100.0","272","63","23.2","72","26.5","70","25.7","67","24.6","137","50.4"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","M","269","268","99.6","268","78","29.1","80","29.9","69","25.7","41","15.3","110","41.0"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","F","272","272","100.0","272","84","30.9","76","27.9","51","18.8","61","22.4","112","41.2"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","M","269","268","99.6","268","83","31.0","70","26.1","51","19.0","64","23.9","115","42.9"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","F","152","151","99.3","151","79","52.3","44","29.1","*","*","*","*","28","18.5"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","M","160","160","100.0","160","108","67.5","36","22.5","*","*","*","*","16","10.0"
"0150111","0150011","Bridgeport School District","Barnum School","Math","F","152","151","99.3","151","113","74.8","30","19.9","8","5.3","0","0.0","8","5.3"
"0150111","0150011","Bridgeport School District","Barnum School","Math","M","160","160","100.0","160","119","74.4","32","20.0","9","5.6","0","0.0","9","5.6"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","F","86","86","100.0","86","43","50.0","*","*","20","23.3","*","*","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","M","88","88","100.0","88","55","62.5","*","*","16","18.2","*","*","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","F","86","86","100.0","86","61","70.9","*","*","*","*","0","0.0","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","M","88","88","100.0","88","55","62.5","*","*","*","*","0","0.0","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","F","111","111","100.0","111","34","30.6","27","24.3","34","30.6","16","14.4","50","45.0"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","M","142","142","100.0","142","55","38.7","48","33.8","30","21.1","9","6.3","39","27.5"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","F","111","111","100.0","111","60","54.1","34","30.6","13","11.7","*","*","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","M","142","142","100.0","142","69","48.6","52","36.6","17","12.0","*","*","*","*"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","F","340","339","99.7","339","167","49.3","92","27.1","63","18.6","17","5.0","80","23.6"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","M","428","425","99.3","425","260","61.2","99","23.3","58","13.6","8","1.9","66","15.5"
"0154011","0150011","Bridgeport School District","Blackham School","Math","F","340","338","99.4","338","235","69.5","86","25.4","*","*","*","*","17","5.0"
"0154011","0150011","Bridgeport School District","Blackham School","Math","M","429","426","99.3","426","298","70.0","107","25.1","*","*","*","*","21","4.9"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","M","*","*","*","*","*","*","0","0.0","0","0.0","0","0.0","0","0.0"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","M","*","*","*","*","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150411","0150011","Bridgeport School District","Bryant School","ELA","F","83","83","100.0","83","41","49.4","28","33.7","*","*","*","*","14","16.9"
"0150411","0150011","Bridgeport School District","Bryant School","ELA","M","109","109","100.0","109","66","60.6","27","24.8","*","*","*","*","16","14.7"
"0150411","0150011","Bridgeport School District","Bryant School","Math","F","83","83","100.0","83","55","66.3","22","26.5","*","*","*","*","6","7.2"
"0150411","0150011","Bridgeport School District","Bryant School","Math","M","109","109","100.0","109","74","67.9","*","*","*","*","0","0.0","*","*"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","ELA","F","384","384","100.0","384","267","69.5","62","16.1","46","12.0","9","2.3","55","14.3"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","ELA","M","416","415","99.8","415","314","75.7","68","16.4","27","6.5","6","1.4","33","8.0"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Math","F","384","384","100.0","384","305","79.4","62","16.1","*","*","*","*","17","4.4"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Math","M","416","415","99.8","415","338","81.4","62","14.9","*","*","*","*","15","3.6"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","ELA","F","127","124","97.6","124","34","27.4","41","33.1","38","30.6","11","8.9","49","39.5"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","ELA","M","112","112","100.0","112","34","30.4","33","29.5","30","26.8","15","13.4","45","40.2"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Math","F","126","123","97.6","123","53","43.1","47","38.2","*","*","*","*","23","18.7"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Math","M","111","111","100.0","111","55","49.5","36","32.4","*","*","*","*","20","18.0"
"0150511","0150011","Bridgeport School District","Columbus School","ELA","F","230","229","99.6","229","141","61.6","53","23.1","28","12.2","7","3.1","35","15.3"
"0150511","0150011","Bridgeport School District","Columbus School","ELA","M","245","245","100.0","245","165","67.3","56","22.9","18","7.3","6","2.4","24","9.8"
"0150511","0150011","Bridgeport School District","Columbus School","Math","F","230","229","99.6","229","165","72.1","50","21.8","*","*","*","*","14","6.1"
"0150511","0150011","Bridgeport School District","Columbus School","Math","M","244","244","100.0","244","186","76.2","44","18.0","*","*","*","*","14","5.7"
"0153911","0150011","Bridgeport School District","Cross School","ELA","F","93","93","100.0","93","52","55.9","25","26.9","*","*","*","*","16","17.2"
"0153911","0150011","Bridgeport School District","Cross School","ELA","M","129","129","100.0","129","94","72.9","25","19.4","10","7.8","0","0.0","10","7.8"
"0153911","0150011","Bridgeport School District","Cross School","Math","F","93","93","100.0","93","69","74.2","19","20.4","*","*","*","*","*","*"
"0153911","0150011","Bridgeport School District","Cross School","Math","M","129","128","99.2","128","106","82.8","*","*","*","*","0","0.0","*","*"
"0154211","0150011","Bridgeport School District","Curiale School","ELA","F","232","232","100.0","232","129","55.6","54","23.3","*","*","*","*","49","21.1"
