"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","582","28","610"
"2795113","2790013","Amistad Academy District","Amistad Academy","721","91","812"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","334"
"0026111","0020011","Ansonia School District","Ansonia High School","705","22","727"
"0025111","0020011","Ansonia School District","Ansonia Middle School","445","13","458"
"0020311","0020011","Ansonia School District","Mead School","627","15","642"
"0020811","0020011","Ansonia School District","Prendergast School","764","23","787"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","19","0","19"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","170","0","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","676","44","720"
"2449514","2440014","Area Cooperative Educational Services","Village School","153","0","153"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","128","0","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","*","*","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","53","0","53"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","646"
"0030111","0030011","Ashford School District","Ashford School","467","9","476"
"0046111","0040011","Avon School District","Avon High School","*","*","1088"
"0045111","0040011","Avon School District","Avon Middle School","*","*","584"
"0040411","0040011","Avon School District","Pine Grove School","598","33","631"
"0040311","0040011","Avon School District","Roaring Brook School","640","11","651"
"0040511","0040011","Avon School District","Thompson Brook School","588","6","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","343"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","30","0","30"
"0076111","0070011","Berlin School District","Berlin High School","1003","14","1017"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","709","10","719"
"0070411","0070011","Berlin School District","Emma Hart Willard School","519","16","535"
"0070511","0070011","Berlin School District","Mary E. Griswold School","574","11","585"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","245","16","261"
"0080111","0080011","Bethany School District","Bethany Community School","*","*","512"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","365","19","384"
"0096111","0090011","Bethel School District","Bethel High School","950","9","959"
"0095111","0090011","Bethel School District","Bethel Middle School","667","16","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","436","24","460"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","*","*","452"
"0116111","0110011","Bloomfield School District","Bloomfield High School","587","6","593"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","298","7","305"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","265"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","338","13","351"
"0110611","0110011","Bloomfield School District","Laurel School","272","9","281"
"0116211","0110011","Bloomfield School District","The Big Picture High School","89","0","89"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","*","*","312"
"0120111","0120011","Bolton School District","Bolton Center School","*","*","568"
"0126111","0120011","Bolton School District","Bolton High School","330","0","330"
"0130111","0130011","Bozrah School District","Fields Memorial School","233","0","233"
"0146111","0140011","Branford School District","Branford High School","1086","12","1098"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1014","26","1040"
"0148011","0140011","Branford School District","Indian Neck School","53","0","53"
"0141611","0140011","Branford School District","John B. Sliney School","333","35","368"
"0141511","0140011","Branford School District","Mary R. Tisko School","413","13","426"
"0141411","0140011","Branford School District","Mary T. Murphy School","388","43","431"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","377","32","409"
"0150111","0150011","Bridgeport School District","Barnum School","526","106","632"
"0156111","0150011","Bridgeport School District","Bassick High School","961","210","1171"
"0150211","0150011","Bridgeport School District","Beardsley School","329","41","370"
"0150311","0150011","Bridgeport School District","Black Rock School","240","43","283"
"0154011","0150011","Bridgeport School District","Blackham School","984","130","1114"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","50"
"0150411","0150011","Bridgeport School District","Bryant School","366","73","439"
"0156211","0150011","Bridgeport School District","Central High School","2111","192","2303"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","655","408","1063"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","326","8","334"
"0150511","0150011","Bridgeport School District","Columbus School","469","194","663"
"0153911","0150011","Bridgeport School District","Cross School","393","15","408"
"0154211","0150011","Bridgeport School District","Curiale School","514","82","596"
"0154111","0150011","Bridgeport School District","Dunbar School","*","*","315"
"0150711","0150011","Bridgeport School District","Edison School","245","10","255"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","743","125","868"
"0151111","0150011","Bridgeport School District","Hall School","297","9","306"
"0151211","0150011","Bridgeport School District","Hallen School","316","0","316"
"0156311","0150011","Bridgeport School District","Harding High School","1118","276","1394"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","431"
"0151311","0150011","Bridgeport School District","Hooker School","452","11","463"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","130","0","130"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","640","14","654"
"0151911","0150011","Bridgeport School District","Longfellow School","366","60","426"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","619","235","854"
"0152011","0150011","Bridgeport School District","Madison School","481","62","543"
"0159511","0150011","Bridgeport School District","Make The Grade","27","0","27"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","383","74","457"
"0158011","0150011","Bridgeport School District","Parent-Children Program","*","0","*"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","10"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","511"
