"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","32","42","46","35","42","42","50","45","0","0","0","0","0","0","334"
"0020811","0020011","Ansonia School District","Prendergast School","99","224","233","203","0","0","0","0","0","0","0","0","0","0","759"
"0020311","0020011","Ansonia School District","Mead School","0","0","0","0","216","216","184","0","0","0","0","0","0","0","616"
"0025111","0020011","Ansonia School District","Ansonia Middle School","0","0","0","0","0","0","0","180","191","211","0","0","0","0","582"
"0029011","0020011","Ansonia School District","Pine Academy","0","0","0","0","0","0","0","0","0","*","9","18","9","*","39"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","233","175","152","157","717"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","*","*","0","0","0","0","0","0","0","0","0","0","0","0","12"
"2449514","2440014","Area Cooperative Educational Services","Village School","7","*","16","17","22","20","18","15","19","17","8","*","*","*","176"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","11","13","30","32","30","16","28","0","0","0","0","170"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","60","69","67","66","73","72","68","61","69","0","0","0","0","605"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","242","255","251","0","0","0","0","748"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","0","0","0","0","0","0","0","0","21","20","22","20","18","9","110"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","*","*","19","20","75","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","24","25","23","21","93"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","7","9","8","32","56"
"0030111","0030011","Ashford School District","Ashford School","34","48","35","41","54","52","50","54","57","60","0","0","0","0","485"
"0040411","0040011","Avon School District","Pine Grove School","31","84","122","113","129","131","0","0","0","0","0","0","0","0","610"
"0040311","0040011","Avon School District","Roaring Brook School","0","132","134","161","165","158","0","0","0","0","0","0","0","0","750"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","278","279","0","0","0","0","0","0","557"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","316","273","0","0","0","0","589"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","276","249","277","250","1052"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","21","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","57","38","51","57","58","46","34","0","0","0","0","0","0","341"
"0070411","0070011","Berlin School District","Emma Hart Willard School","51","87","80","88","94","110","91","0","0","0","0","0","0","0","601"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","*","*","40","43","59","37","47","0","0","0","0","0","0","0","264"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","110","88","97","94","83","112","0","0","0","0","0","0","0","584"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","238","249","255","0","0","0","0","742"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","255","261","238","273","1027"
"0080111","0080011","Bethany School District","Bethany Community School","15","71","76","78","68","83","74","84","0","0","0","0","0","0","549"
"0090111","0090011","Bethel School District","Frank A. Berry School","56","105","98","116","105","0","0","0","0","0","0","0","0","0","480"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","108","99","115","101","0","0","0","0","0","0","0","0","0","423"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","219","235","0","0","0","0","0","0","0","454"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","217","252","237","0","0","0","0","706"
"0096111","0090011","Bethel School District","Bethel High School","0","0","0","0","0","0","0","0","0","0","248","261","260","241","1010"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","27","48","47","71","56","67","0","0","0","0","0","0","0","0","316"
"0110611","0110011","Bloomfield School District","Laurel School","0","46","41","53","73","52","0","0","0","0","0","0","0","0","265"
"0110511","0110011","Bloomfield School District","Metacomet School","0","37","53","43","47","52","0","0","0","0","0","0","0","0","232"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","0","0","*","0","*","0","0","156","144","0","0","0","0","302"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","0","0","0","0","0","154","159","0","0","0","0","0","0","313"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","0","0","0","0","0","0","0","0","0","187","181","160","118","646"
"0116211","0110011","Bloomfield School District","The Big Picture High School","0","0","0","0","0","0","0","0","0","0","35","21","13","14","83"
"0130111","0130011","Bozrah School District","Fields Memorial School","23","22","21","23","25","26","20","27","38","31","0","0","0","0","256"
"0148011","0140011","Branford School District","Indian Neck School","77","0","0","0","0","0","0","0","0","0","0","0","0","0","77"
"0141611","0140011","Branford School District","John B. Sliney School","0","63","70","57","77","96","0","0","0","0","0","0","0","0","363"
"0141511","0140011","Branford School District","Mary R. Tisko School","0","75","86","88","94","93","0","0","0","0","0","0","0","0","436"
"0141411","0140011","Branford School District","Mary T. Murphy School","0","80","90","90","66","83","0","0","0","0","0","0","0","0","409"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","0","0","0","0","0","255","251","304","273","0","0","0","0","1083"
"0146111","0140011","Branford School District","Branford High School","0","0","0","0","0","0","0","0","0","0","245","282","307","277","1111"
"0150111","0150011","Bridgeport School District","Barnum School","31","76","85","62","69","67","52","53","60","45","0","0","0","0","600"
"0150211","0150011","Bridgeport School District","Beardsley School","56","45","65","46","49","56","41","34","0","0","0","0","0","0","392"
"0154011","0150011","Bridgeport School District","Blackham School","34","109","94","80","102","86","92","116","190","156","0","0","0","0","1059"
"0150411","0150011","Bridgeport School District","Bryant School","42","77","79","39","66","44","40","53","0","0","0","0","0","0","440"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","36","107","111","120","115","140","137","78","119","130","0","0","0","0","1093"
"0150511","0150011","Bridgeport School District","Columbus School","35","80","91","81","91","49","60","60","54","28","0","0","0","0","629"
"0150711","0150011","Bridgeport School District","Edison School","32","31","46","52","41","44","41","30","0","0","0","0","0","0","317"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","17","105","101","90","97","77","74","71","80","59","0","0","0","0","771"
"0151211","0150011","Bridgeport School District","Hallen School","18","46","56","43","43","52","56","40","0","0","0","0","0","0","354"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","48","64","61","62","50","50","73","42","93","53","0","0","0","0","596"
"0151911","0150011","Bridgeport School District","Longfellow School","17","48","54","45","52","30","35","27","50","55","0","0","0","0","413"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","33","76","86","84","85","80","91","71","119","129","0","0","0","0","854"
"0151711","0150011","Bridgeport School District","Park City Magnet School","32","57","55","59","50","50","50","50","50","48","0","0","0","0","501"
"0152511","0150011","Bridgeport School District","Read School","35","99","94","93","109","90","88","104","97","110","0","0","0","0","919"
"0152611","0150011","Bridgeport School District","Roosevelt School","18","71","80","56","47","46","34","68","66","64","0","0","0","0","550"
"0154411","0150011","Bridgeport School District","Skane Center","162","48","0","0","0","0","0","0","0","0","0","0","0","0","210"
"0153011","0150011","Bridgeport School District","Waltersville School","33","59","70","61","57","60","60","55","59","47","0","0","0","0","561"
"0150311","0150011","Bridgeport School District","Black Rock School","0","49","45","31","38","21","29","21","0","0","0","0","0","0","234"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","*","*","*","*","7","11","*","*","*","*","7","0","*","57"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","0","46","48","54","52","55","47","41","0","0","0","0","0","0","343"
"0153911","0150011","Bridgeport School District","Cross School","0","36","49","35","39","28","36","20","59","71","0","0","0","0","373"
"0154211","0150011","Bridgeport School District","Curiale School","0","66","63","62","75","44","51","64","71","66","0","0","0","0","562"
"0154111","0150011","Bridgeport School District","Dunbar School","0","45","43","37","47","38","37","30","63","57","0","0","0","0","397"
"0151111","0150011","Bridgeport School District","Hall School","0","34","52","39","35","42","42","29","0","0","0","0","0","0","273"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","0","50","49","52","49","49","50","49","47","46","0","0","0","0","441"
"0151311","0150011","Bridgeport School District","Hooker School","0","50","48","50","48","45","46","67","55","61","0","0","0","0","470"
"0152011","0150011","Bridgeport School District","Madison School","0","77","96","70","88","83","71","46","0","0","0","0","0","0","531"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","0","48","47","46","49","51","50","48","51","55","0","0","0","0","445"
"0153611","0150011","Bridgeport School District","Winthrop School","0","75","78","78","71","76","91","87","86","87","0","0","0","0","729"
"0159511","0150011","Bridgeport School District","Make The Grade","0","0","0","0","0","0","0","0","*","26","*","0","0","0","42"
