"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_3_level_","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","F","388","388","100.0","388","176","45.4","99","25.5","*","*","*","*","113","29.1"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","N","273","273","100.0","273","47","17.2","80","29.3","92","33.7","54","19.8","146","53.5"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","R","63","63","100.0","63","21","33.3","20","31.7","*","*","*","*","22","34.9"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","F","388","388","100.0","388","227","58.5","101","26.0","*","*","*","*","60","15.5"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","N","273","273","100.0","273","71","26.0","89","32.6","66","24.2","47","17.2","113","41.4"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","R","63","63","100.0","63","23","36.5","29","46.0","*","*","*","*","11","17.5"
"2449514","2440014","Area Cooperative Educational Services","Village School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","F","180","180","100.0","180","71","39.4","49","27.2","*","*","*","*","60","33.3"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","N","180","178","98.9","178","36","20.2","39","21.9","60","33.7","43","24.2","103","57.9"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","R","53","53","100.0","53","19","35.8","*","*","15","28.3","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","F","180","180","100.0","180","101","56.1","57","31.7","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","N","180","178","98.9","178","61","34.3","61","34.3","*","*","*","*","56","31.5"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","R","53","53","100.0","53","30","56.6","*","*","*","*","0","0.0","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELA","F","64","64","100.0","64","17","26.6","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELA","N","153","153","100.0","153","*","*","*","*","56","36.6","54","35.3","110","71.9"
"0030111","0030011","Ashford School District","Ashford School","ELA","R","14","14","*","14","*","*","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Math","F","64","64","100.0","64","*","*","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Math","N","153","153","100.0","153","22","14.4","48","31.4","51","33.3","32","20.9","83","54.2"
"0030111","0030011","Ashford School District","Ashford School","Math","R","14","14","*","14","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELA","N","513","511","99.6","511","20","3.9","62","12.1","204","39.9","225","44.0","429","84.0"
"0045111","0040011","Avon School District","Avon Middle School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Math","N","515","512","99.4","512","26","5.1","68","13.3","121","23.6","297","58.0","418","81.6"
"0045111","0040011","Avon School District","Avon Middle School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","ELA","F","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
