"school_code","district_code","district","school","grade","test","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","All Grades","Mile Run","44.9","70.3","62.1","71.4","57.0"
"2795113","2790013","Amistad Academy District","Amistad Academy","All Grades","Mile Run","64.7","64.8","59.3","33.3","74.3"
"0010111","0010011","Andover School District","Andover Elementary School","All Grades","Mile Run","85.4","94.9","91.6","84.1","97.7"
"0026111","0020011","Ansonia School District","Ansonia High School","All Grades","Mile Run","66.4","50.0","71.3","67.3","71.3"
"0025111","0020011","Ansonia School District","Ansonia Middle School","All Grades","Mile Run","95.2","68.9","52.3","55.9","64.1"
"0020311","0020011","Ansonia School District","Mead School","All Grades","Mile Run","85.1","79.0","83.6","85.5","79.2"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","All Grades","Mile Run","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","All Grades","Mile Run","42.5","42.5","49.7","60.4","51.9"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","All Grades","Mile Run","","","","46.8","61.0"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","All Grades","Mile Run","63.1","63.2","60.0","69.6","82.9"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","All Grades","Mile Run","","","","0.0","0.0"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","All Grades","Mile Run","","","","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","All Grades","Mile Run","","","","","0.0"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","All Grades","Mile Run","58.9","54.5","56.5","41.4","51.4"
"0030111","0030011","Ashford School District","Ashford School","All Grades","Mile Run","64.7","73.5","68.4","69.3","70.6"
"0046111","0040011","Avon School District","Avon High School","All Grades","Mile Run","77.6","68.5","70.3","76.0","81.0"
"0045111","0040011","Avon School District","Avon Middle School","All Grades","Mile Run","91.6","85.8","93.2","87.1","57.3"
"0040411","0040011","Avon School District","Pine Grove School","All Grades","Mile Run","82.0","80.9","85.2","91.0","77.9"
"0040311","0040011","Avon School District","Roaring Brook School","All Grades","Mile Run","82.0","86.0","88.3","85.9","88.5"
"0040511","0040011","Avon School District","Thompson Brook School","All Grades","Mile Run","92.2","96.1","96.1","93.3","93.4"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","All Grades","Mile Run","64.7","63.9","67.1","67.6","71.6"
"0076111","0070011","Berlin School District","Berlin High School","All Grades","Mile Run","53.4","69.1","66.7","73.9","71.4"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","All Grades","Mile Run","84.1","84.3","82.7","86.8","79.3"
"0070411","0070011","Berlin School District","Emma Hart Willard School","All Grades","Mile Run","84.0","91.1","80.5","90.1","84.7"
"0070511","0070011","Berlin School District","Mary E. Griswold School","All Grades","Mile Run","83.1","82.7","90.6","87.3","86.2"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","All Grades","Mile Run","85.0","69.0","91.4","90.9","85.7"
"0080111","0080011","Bethany School District","Bethany Community School","All Grades","Mile Run","88.8","87.8","66.4","58.5","76.1"
"0096111","0090011","Bethel School District","Bethel High School","All Grades","Mile Run","63.0","61.3","57.1","58.0","60.5"
"0095111","0090011","Bethel School District","Bethel Middle School","All Grades","Mile Run","82.7","87.4","82.3","83.5","79.6"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","All Grades","Mile Run","76.3","57.5","57.4","51.7","71.2"
