"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","765","276","*","14","*","1066"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","653","369","0","17","*","1057"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","12","0","*","208","225"
"0026111","0020011","Ansonia School District","Ansonia High School","*","12","129","182","*","13","269","616"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","6","81","137","*","16","194","441"
"0020311","0020011","Ansonia School District","Mead School","*","*","107","264","*","26","178","580"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","0","11","9","0","0","11","31"
"0020411","0020011","Ansonia School District","P.A.C.E. - PM (Positive And Creative Education - PM)","0","0","*","*","0","0","*","7"
"0020811","0020011","Ansonia School District","Prendergast School","0","20","97","229","0","39","280","665"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","9","*","0","*","24","40"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","0","79","45","0","14","30","168"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","35","97","346","*","25","224","732"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","*","28","22","*","*","58","118"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","*","32","0","0","50","115"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","40","40","0","*","*","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","9","18","0","*","11","41"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","26","290","135","0","29","151","631"
"0030111","0030011","Ashford School District","Ashford School","0","*","9","30","*","17","340","406"
"0046111","0040011","Avon School District","Avon High School","*","122","43","55","0","*","763","1024"
"0045111","0040011","Avon School District","Avon Middle School","*","87","26","26","0","*","396","558"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","0","10","6","8","0","0","32","56"
"0040411","0040011","Avon School District","Pine Grove School","*","132","32","41","*","23","393","624"
"0040311","0040011","Avon School District","Roaring Brook School","*","95","25","39","0","*","335","516"
"0040511","0040011","Avon School District","Thompson Brook School","*","89","25","33","0","*","331","497"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","*","0","*","219","228"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","0","0","0","0","0","0","*","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","*","0","0","*","0","*","20","23"
"0076111","0070011","Berlin School District","Berlin High School","*","30","28","76","0","*","738","891"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","23","*","58","0","23","601","714"
"0070411","0070011","Berlin School District","Emma Hart Willard School","*","18","13","54","0","*","386","482"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","14","*","46","0","16","408","491"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","*","6","29","0","*","167","213"
"0080111","0080011","Bethany School District","Bethany Community School","*","37","*","22","0","6","285","356"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","26","8","75","0","15","273","397"
"0096111","0090011","Bethel School District","Bethel High School","0","60","*","136","*","22","636","871"
"0095111","0090011","Bethel School District","Bethel Middle School","*","55","16","123","*","11","475","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","*","32","*","86","0","29","381","542"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","*","29","10","94","0","*","336","479"
"0090311","0090011","Bethel School District","TASK","0","*","0","*","0","0","9","12"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","*","447","60","0","16","*","534"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","*","179","28","*","17","9","237"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","*","172","20","0","*","*","201"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","*","*","116","26","*","9","59","217"
"0110611","0110011","Bloomfield School District","Laurel School","*","*","283","38","0","17","15","362"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","11","*","0","0","*","13"
"0110511","0110011","Bloomfield School District","Metacomet School","*","*","216","22","0","*","12","256"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","0","23","130","30","0","26","114","323"
"0120111","0120011","Bolton School District","Bolton Center School","0","14","38","41","0","16","424","533"
"0126111","0120011","Bolton School District","Bolton High School","0","*","19","14","0","*","238","281"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","0","0","208","29","0","*","*","241"
"0130111","0130011","Bozrah School District","Fields Memorial School","0","*","10","8","0","*","185","208"
"0146111","0140011","Branford School District","Branford High School","*","69","24","75","0","*","698","888"
"0140211","0140011","Branford School District","Branford High School Horizons Program","0","*","0","*","0","*","37","43"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","*","74","33","98","0","*","644","869"
"0148011","0140011","Branford School District","Indian Neck School","0","0","*","9","0","*","24","39"
"0141611","0140011","Branford School District","John B. Sliney School","*","13","*","39","0","14","253","329"
"0141511","0140011","Branford School District","Mary R. Tisko School","0","23","*","23","0","*","331","383"
"0141411","0140011","Branford School District","Mary T. Murphy School","*","55","22","54","0","*","267","413"
"3480115","3480015","Branford School District","Bridgeport Detention Center","0","0","*","*","0","0","0","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","0","*","68","104","0","*","22","219"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","*","11","567","441","0","*","14","1044"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","*","23","166","154","0","*","152","499"
"0150111","0150011","Bridgeport School District","Barnum School","*","*","149","400","0","6","71","633"
"0156111","0150011","Bridgeport School District","Bassick High School","*","21","424","450","*","*","59","961"
"0150211","0150011","Bridgeport School District","Beardsley School","*","9","116","193","0","*","21","349"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","0","*","151","176","*","0","142","491"
"0150311","0150011","Bridgeport School District","Black Rock School","*","*","81","236","0","*","141","465"
"0154011","0150011","Bridgeport School District","Blackham School","*","35","346","512","*","7","220","1127"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","*","25","35","0","0","*","64"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","*","*","103","182","0","*","39","329"
"0150411","0150011","Bridgeport School District","Bryant School","6","20","130","165","0","6","54","381"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","0","0","22","22","0","0","0","44"
"0156211","0150011","Bridgeport School District","Central High School","10","59","619","618","*","*","201","1515"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","9","31","219","809","*","*","93","1167"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","11","200","123","*","*","29","373"
"0150511","0150011","Bridgeport School District","Columbus School","*","*","289","442","0","13","96","843"
"0153911","0150011","Bridgeport School District","Cross School","0","*","176","169","*","*","37","387"
"0154211","0150011","Bridgeport School District","Curiale School","9","28","282","309","*","*","78","712"
"0154111","0150011","Bridgeport School District","Dunbar School","0","0","189","185","*","*","23","407"
"0150711","0150011","Bridgeport School District","Edison School","*","9","116","102","0","*","34","263"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","16","33","203","450","*","*","80","787"
"0151111","0150011","Bridgeport School District","Hall School","0","*","123","77","0","*","40","242"
"0151211","0150011","Bridgeport School District","Hallen School","*","*","183","112","0","*","27","333"
"0156311","0150011","Bridgeport School District","Harding High School","*","8","372","482","0","*","105","973"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","0","6","200","128","0","6","77","417"
"0151311","0150011","Bridgeport School District","Hooker School","*","*","121","150","*","*","40","321"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","*","21","169","169","*","6","133","502"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","6","27","139","148","*","*","165","490"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","*","9","317","314","*","*","35","682"
