"school_code","district_code","district","school","2016_17","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","1066","1066"
"2795113","2790013","Amistad Academy District","Amistad Academy","1057","1057"
"0010111","0010011","Andover School District","Andover Elementary School","225","225"
"0026111","0020011","Ansonia School District","Ansonia High School","616","616"
"0025111","0020011","Ansonia School District","Ansonia Middle School","441","441"
"0020311","0020011","Ansonia School District","Mead School","580","580"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","31","31"
"0020411","0020011","Ansonia School District","P.A.C.E. - PM (Positive And Creative Education - PM)","7","7"
"0020811","0020011","Ansonia School District","Prendergast School","665","665"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","40","40"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","168","168"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","732","732"
"2449514","2440014","Area Cooperative Educational Services","Village School","118","118"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","115","115"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","102","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","41","41"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","631","631"
"0030111","0030011","Ashford School District","Ashford School","406","406"
"0046111","0040011","Avon School District","Avon High School","1024","1024"
"0045111","0040011","Avon School District","Avon Middle School","558","558"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","56","56"
"0040411","0040011","Avon School District","Pine Grove School","624","624"
"0040311","0040011","Avon School District","Roaring Brook School","516","516"
"0040511","0040011","Avon School District","Thompson Brook School","497","497"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","228","228"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","*","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","23","23"
"0076111","0070011","Berlin School District","Berlin High School","891","891"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","714","714"
"0070411","0070011","Berlin School District","Emma Hart Willard School","482","482"
"0070511","0070011","Berlin School District","Mary E. Griswold School","491","491"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","213","213"
"0080111","0080011","Bethany School District","Bethany Community School","356","356"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","397","397"
"0096111","0090011","Bethel School District","Bethel High School","871","871"
"0095111","0090011","Bethel School District","Bethel Middle School","683","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","542","542"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","479","479"
"0090311","0090011","Bethel School District","TASK","12","12"
"0116111","0110011","Bloomfield School District","Bloomfield High School","534","534"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","237","237"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","201","201"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","217","217"
"0110611","0110011","Bloomfield School District","Laurel School","362","362"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","13","13"
"0110511","0110011","Bloomfield School District","Metacomet School","256","256"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","323","323"
"0120111","0120011","Bolton School District","Bolton Center School","533","533"
"0126111","0120011","Bolton School District","Bolton High School","281","281"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","241","241"
"0130111","0130011","Bozrah School District","Fields Memorial School","208","208"
"0146111","0140011","Branford School District","Branford High School","888","888"
"0140211","0140011","Branford School District","Branford High School Horizons Program","43","43"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","869","869"
"0148011","0140011","Branford School District","Indian Neck School","39","39"
"0141611","0140011","Branford School District","John B. Sliney School","329","329"
"0141511","0140011","Branford School District","Mary R. Tisko School","383","383"
"0141411","0140011","Branford School District","Mary T. Murphy School","413","413"
"3480115","3480015","Branford School District","Bridgeport Detention Center","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","219","219"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","1044","1044"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","499","499"
"0150111","0150011","Bridgeport School District","Barnum School","633","633"
"0156111","0150011","Bridgeport School District","Bassick High School","961","961"
"0150211","0150011","Bridgeport School District","Beardsley School","349","349"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","491","491"
"0150311","0150011","Bridgeport School District","Black Rock School","465","465"
"0154011","0150011","Bridgeport School District","Blackham School","1127","1127"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","64","64"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","329","329"
"0150411","0150011","Bridgeport School District","Bryant School","381","381"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","44","44"
"0156211","0150011","Bridgeport School District","Central High School","1515","1515"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1167","1167"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","373","373"
"0150511","0150011","Bridgeport School District","Columbus School","843","843"
"0153911","0150011","Bridgeport School District","Cross School","387","387"
"0154211","0150011","Bridgeport School District","Curiale School","712","712"
"0154111","0150011","Bridgeport School District","Dunbar School","407","407"
"0150711","0150011","Bridgeport School District","Edison School","263","263"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","787","787"
"0151111","0150011","Bridgeport School District","Hall School","242","242"
"0151211","0150011","Bridgeport School District","Hallen School","333","333"
"0156311","0150011","Bridgeport School District","Harding High School","973","973"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","417","417"
"0151311","0150011","Bridgeport School District","Hooker School","321","321"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","502","502"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","490","490"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","682","682"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","858","858"
"0152011","0150011","Bridgeport School District","Madison School","537","537"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","466","466"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","15","15"
"0151711","0150011","Bridgeport School District","Park City Magnet School","509","509"
"0152511","0150011","Bridgeport School District","Read School","923","923"
"0152611","0150011","Bridgeport School District","Roosevelt School","587","587"
"0154411","0150011","Bridgeport School District","Skane Center","220","220"
"0153011","0150011","Bridgeport School District","Waltersville School","490","490"
"0153611","0150011","Bridgeport School District","Winthrop School","678","678"
"0170211","0170011","Bristol School District","ACCESS","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","21","21"
"0176111","0170011","Bristol School District","Bristol Central High School","1147","1147"
"0170411","0170011","Bristol School District","Bristol Early Childhood Center-BECC","86","86"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1138","1138"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","46","46"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","751","751"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","12","12"
"0173411","0170011","Bristol School District","Chms Goal","7","7"
"0179211","0170011","Bristol School District","Community/Vocational Program","12","12"
"0170311","0170011","Bristol School District","Edgewood School","328","328"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","415","415"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","8","8"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","924","924"
"0173711","0170011","Bristol School District","Hubbell Autism Program","10","10"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","13","13"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","388","388"
"0171711","0170011","Bristol School District","Mountain View School","362","362"
"0172511","0170011","Bristol School District","Mt. View GOAL","*","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","9","9"
"0175211","0170011","Bristol School District","Northeast Middle School","450","450"
"0172911","0170011","Bristol School District","PreK Autism","8","8"
"0173011","0170011","Bristol School District","South Side Extended Resource","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","9","9"
"0171111","0170011","Bristol School District","South Side School","468","468"
"0173211","0170011","Bristol School District","Stafford Autism","8","8"
"0171211","0170011","Bristol School District","Stafford School","448","448"
"0172011","0170011","Bristol School District","West Bristol School","885","885"
"0186111","0180011","Brookfield School District","Brookfield High School","856","856"
"0180311","0180011","Brookfield School District","Center Elementary School","359","359"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","535","535"
"0185311","0180011","Brookfield School District","Whisconier Middle School","915","915"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","501","501"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","352","352"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","73","73"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","260","260"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","206","206"
"0230411","0230011","Canton School District","Canton Academy","*","*"
"0236111","0230011","Canton School District","Canton High School","496","496"
"0230311","0230011","Canton School District","Canton Intermediate School","379","379"
"0235111","0230011","Canton School District","Canton Middle School","282","282"
"0230211","0230011","Canton School District","Cherry Brook Primary School","456","456"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","254","254"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","733","733"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","389","389"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","574","574"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","405","405"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","484","484"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","15","15"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","452","452"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","468","468"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","327","327"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","470","470"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","58","58"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","7","7"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","688","688"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","349","349"
"2410514","2410014","Capitol Region Education Council","Museum Academy","469","469"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","474","474"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","437","437"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","65","65"
"2419314","2410014","Capitol Region Education Council","River Street School","143","143"
"2419114","2410014","Capitol Region Education Council","Soundbridge","32","32"
"2411114","2410014","Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","11","11"
"2411314","2410014","Capitol Region Education Council","Soundbridge @ Academy of Science and Innovation","6","6"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","*","*"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","7","7"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","408","408"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","658","658"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","454","454"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","158","158"
"0250111","0250011","Cheshire School District","Chapman School","323","323"
"0256111","0250011","Cheshire School District","Cheshire High School","1445","1445"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","16","16"
"0250211","0250011","Cheshire School District","Darcey School","157","157"
"0255111","0250011","Cheshire School District","Dodd Middle School","783","783"
"0250611","0250011","Cheshire School District","Doolittle School","464","464"
"0250411","0250011","Cheshire School District","Highland School","722","722"
"0250911","0250011","Cheshire School District","Humiston Alternative School","14","14"
"0250511","0250011","Cheshire School District","Norton School","418","418"
"0260111","0260011","Chester School District","Chester Elementary School","206","206"
"0270111","0270011","Clinton School District","Abraham Pierson School","280","280"
"0275111","0270011","Clinton School District","Jared Eliot School","451","451"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","497","497"
"0276111","0270011","Clinton School District","The Morgan School","559","559"
"0286111","0280011","Colchester School District","Bacon Academy","808","808"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","12","12"
"0280411","0280011","Colchester School District","Colchester Elementary School","549","549"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","498","498"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","605","605"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","78","78"
"0300111","0300011","Columbia School District","Horace W. Porter School","424","424"
"2686113","2680013","Common Ground High School District","Common Ground High School","200","200"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","720","720"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","780","780"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","624","624"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","546","546"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","484","484"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","570","570"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","750","750"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","644","644"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","667","667"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","624","624"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","319","319"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","643","643"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","639","639"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","783","783"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","522","522"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","767","767"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","474","474"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","87","87"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","51","51"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","14","14"
"2438014","2430014","Cooperative Educational Services","School Readiness","84","84"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","466","466"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","140","140"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","72","72"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","374","374"
"0320111","0320011","Coventry School District","Coventry Academy","10","10"
"0320211","0320011","Coventry School District","Coventry Grammar School","335","335"
"0326111","0320011","Coventry School District","Coventry High School","465","465"
"0320411","0320011","Coventry School District","George Hersey Robertson School","386","386"
"0320311","0320011","Coventry School District","Hale Early Education Center","46","46"
"0336111","0330011","Cromwell School District","Cromwell High School","563","563"
"0335111","0330011","Cromwell School District","Cromwell Middle School","479","479"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","509","509"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","438","438"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","83","83"
"0345111","0340011","Danbury School District","Broadview Middle School","1011","1011"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","134","134"
"0346111","0340011","Danbury School District","Danbury High School","3041","3041"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","449","449"
"0341111","0340011","Danbury School District","Great Plain School","345","345"
"0340211","0340011","Danbury School District","Hayestown Avenue School","467","467"
"0341711","0340011","Danbury School District","King Street Intermediate School","356","356"
"0341311","0340011","Danbury School District","King Street Primary School","419","419"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","349","349"
"0340611","0340011","Danbury School District","Morris Street School","373","373"
"0340811","0340011","Danbury School District","Park Avenue School","592","592"
"0341511","0340011","Danbury School District","Pembroke School","348","348"
"0345211","0340011","Danbury School District","Rogers Park Middle School","950","950"
"0341211","0340011","Danbury School District","Shelter Rock School","545","545"
"0341011","0340011","Danbury School District","South Street School","403","403"
"0341611","0340011","Danbury School District","Stadley Rough School","495","495"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","393","393"
"0340711","0340011","Danbury School District","Western Connection","*","*"
"0340311","0340011","Danbury School District","Westside Middle School Academy","595","595"
"0356111","0350011","Darien School District","Darien High School","1354","1354"
"0350211","0350011","Darien School District","Hindley Elementary School","491","491"
"0350711","0350011","Darien School District","Holmes Elementary School","471","471"
"0355111","0350011","Darien School District","Middlesex Middle School","1133","1133"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","452","452"
"0350511","0350011","Darien School District","Royle Elementary School","414","414"
"0350611","0350011","Darien School District","Tokeneke Elementary School","486","486"
"0360111","0360011","Deep River School District","Deep River Elementary School","283","283"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","*","*"
"0370611","0370011","Derby School District","Bradley School","326","326"
"0376111","0370011","Derby School District","Derby High School","345","345"
"0375011","0370011","Derby School District","Derby Middle School","321","321"
"0370411","0370011","Derby School District","Irving School","329","329"
"0370111","0370011","Derby School District","Little Raiders University","45","45"
"0370511","0370011","Derby School District","RAISE Academy","15","15"
"0400111","0400011","East Granby School District","Allgrove School","191","191"
"0406111","0400011","East Granby School District","East Granby High School","247","247"
"0405111","0400011","East Granby School District","East Granby Middle School","220","220"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","198","198"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","294","294"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","334","334"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","398","398"
"0420311","0420011","East Hampton School District","Center School","324","324"
"0426111","0420011","East Hampton School District","East Hampton High School","488","488"
"0425111","0420011","East Hampton School District","East Hampton Middle School","423","423"
"0420111","0420011","East Hampton School District","Memorial School","633","633"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","*","*"
"3480315","3480015","East Hartford School District","Hartford Detention Center","9","9"
"0430911","0430011","East Hartford School District","Anna E. Norris School","319","319"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","197","197"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","361","361"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","329","329"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","544","544"
"0436211","0430011","East Hartford School District","East Hartford High School","1629","1629"
"0435111","0430011","East Hartford School District","East Hartford Middle School","1039","1039"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","355","355"
"0430211","0430011","East Hartford School District","Hockanum Pre-K","307","307"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","363","363"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","430","430"
"0431211","0430011","East Hartford School District","Silver Lane School","276","276"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","87","87"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","307","307"
"0439011","0430011","East Hartford School District","Woodland School","170","170"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","353","353"
"0440111","0440011","East Haven School District","Deer Run School","253","253"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","192","192"
"0446111","0440011","East Haven School District","East Haven High School","921","921"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","274","274"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","557","557"
"0440711","0440011","East Haven School District","Momauguin School","291","291"
"0441811","0440011","East Haven School District","Overbrook Elementary School","130","130"
"0450511","0450011","East Lyme School District","Abilities in Motion (AIM) Program","13","13"
"0450611","0450011","East Lyme School District","Coastal Connections","22","22"
"0456111","0450011","East Lyme School District","East Lyme High School","1019","1019"
"0455111","0450011","East Lyme School District","East Lyme Middle School","832","832"
"0450111","0450011","East Lyme School District","Flanders School","363","363"
"0458011","0450011","East Lyme School District","Integrated Preschool","50","50"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","305","305"
"0450711","0450011","East Lyme School District","Medically Fragile Program (WAVES)","*","*"
"0450211","0450011","East Lyme School District","Niantic Center School","169","169"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","430","430"
"0476111","0470011","East Windsor School District","East Windsor High School","303","303"
"0475411","0470011","East Windsor School District","East Windsor Middle School","303","303"
"0470411","0470011","East Windsor School District","East Windsor Transition Program","*","*"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","121","121"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","128","128"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","164","164"
"0390111","0390011","Eastford School District","Eastford Elementary School","143","143"
"0465111","0460011","Easton School District","Helen Keller Middle School","318","318"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","563","563"
"2428014","2420014","EdAdvance","EdAdvance Headstart","213","213"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","6","6"
"0480111","0480011","Ellington School District","Center School","430","430"
"0480211","0480011","Ellington School District","Crystal Lake School","237","237"
"0486111","0480011","Ellington School District","Ellington High School","778","778"
"0485111","0480011","Ellington School District","Ellington Middle School","438","438"
"0480611","0480011","Ellington School District","Windermere School","761","761"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","726","726"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","140","140"
"0492211","0490011","Enfield School District","EPS Integrated Pre-Kindergarten","76","76"
"0491011","0490011","Enfield School District","EPS PK STEAM Academy","50","50"
"0490511","0490011","Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","*","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","325","325"
"0491411","0490011","Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","*","*"
"0491611","0490011","Enfield School District","Eli Whitney School","397","397"
"0496111","0490011","Enfield School District","Enfield High School","1530","1530"
"0490311","0490011","Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","8","8"
"0490211","0490011","Enfield School District","Enfield Street School","288","288"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","10","10"
"0490411","0490011","Enfield School District","Hazardville Memorial School","278","278"
"0498011","0490011","Enfield School District","Head Start Program","104","104"
"0490611","0490011","Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","*","*"
"0491811","0490011","Enfield School District","Henry Barnard School","381","381"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","1126","1126"
"0490811","0490011","Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","6","6"
"0491111","0490011","Enfield School District","Nathan Hale School","231","231"
"0490711","0490011","Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","8","8"
"0491511","0490011","Enfield School District","Prudence Crandall School","399","399"
"0500111","0500011","Essex School District","Essex Elementary School","368","368"
"2726113","2720013","Explorations District","Explorations","92","92"
"0510211","0510011","Fairfield School District","Burr Elementary School","413","413"
"0510111","0510011","Fairfield School District","Dwight Elementary School","337","337"
"0518011","0510011","Fairfield School District","Early Childhood Center","127","127"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","1495","1495"
"0510511","0510011","Fairfield School District","Fairfield School/Community Partnership","18","18"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","1498","1498"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","894","894"
"0510411","0510011","Fairfield School District","Holland Hill School","404","404"
"0511711","0510011","Fairfield School District","Jennings School","317","317"
"0510611","0510011","Fairfield School District","McKinley School","449","449"
"0510711","0510011","Fairfield School District","Mill Hill School","384","384"
"0511611","0510011","Fairfield School District","North Stratfield School","397","397"
"0511811","0510011","Fairfield School District","Osborn Hill School","445","445"
"0511211","0510011","Fairfield School District","Riverfield School","425","425"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","773","773"
"0511311","0510011","Fairfield School District","Sherman School","484","484"
"0511411","0510011","Fairfield School District","Stratfield School","419","419"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","684","684"
