"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","350","412","762"
"2795113","2790013","Amistad Academy District","Amistad Academy","425","432","857"
"0010111","0010011","Andover School District","Andover Elementary School","131","183","314"
"0026111","0020011","Ansonia School District","Ansonia High School","339","356","695"
"0025111","0020011","Ansonia School District","Ansonia Middle School","214","258","472"
"0020311","0020011","Ansonia School District","Mead School","304","306","610"
"0020811","0020011","Ansonia School District","Prendergast School","357","381","738"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","7","24","31"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","17","143","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","338","383","721"
"2449514","2440014","Area Cooperative Educational Services","Village School","42","106","148"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","29","85","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","24","70","94"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","13","34","47"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","327","313","640"
"0030111","0030011","Ashford School District","Ashford School","239","242","481"
"0046111","0040011","Avon School District","Avon High School","577","535","1112"
"0045111","0040011","Avon School District","Avon Middle School","272","300","572"
"0040411","0040011","Avon School District","Pine Grove School","300","331","631"
"0040311","0040011","Avon School District","Roaring Brook School","285","305","590"
"0040511","0040011","Avon School District","Thompson Brook School","293","301","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","148","190","338"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","9","10","19"
"0076111","0070011","Berlin School District","Berlin High School","492","484","976"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","351","379","730"
"0070411","0070011","Berlin School District","Emma Hart Willard School","204","288","492"
"0070511","0070011","Berlin School District","Mary E. Griswold School","273","304","577"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","112","129","241"
"0080111","0080011","Bethany School District","Bethany Community School","240","251","491"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","180","209","389"
"0096111","0090011","Bethel School District","Bethel High School","477","472","949"
"0095111","0090011","Bethel School District","Bethel Middle School","325","368","693"
"0090111","0090011","Bethel School District","Frank A. Berry School","232","261","493"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","216","231","447"
"0116111","0110011","Bloomfield School District","Bloomfield High School","292","311","603"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","123","140","263"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","135","151","286"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","135","187","322"
"0110511","0110011","Bloomfield School District","Metacomet School","130","121","251"
"0116211","0110011","Bloomfield School District","The Big Picture High School","65","40","105"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","162","159","321"
"0120111","0120011","Bolton School District","Bolton Center School","286","263","549"
"0126111","0120011","Bolton School District","Bolton High School","167","176","343"
"0130111","0130011","Bozrah School District","Fields Memorial School","121","113","234"
"0146111","0140011","Branford School District","Branford High School","562","502","1064"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","476","544","1020"
"0148011","0140011","Branford School District","Indian Neck School","20","26","46"
"0141611","0140011","Branford School District","John B. Sliney School","188","177","365"
"0141511","0140011","Branford School District","Mary R. Tisko School","202","182","384"
"0141411","0140011","Branford School District","Mary T. Murphy School","203","236","439"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","256","287","543"
"0150111","0150011","Bridgeport School District","Barnum School","316","343","659"
"0156111","0150011","Bridgeport School District","Bassick High School","509","564","1073"
"0150211","0150011","Bridgeport School District","Beardsley School","187","201","388"
"0150311","0150011","Bridgeport School District","Black Rock School","146","159","305"
"0154011","0150011","Bridgeport School District","Blackham School","524","542","1066"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","8","43","51"
"0150411","0150011","Bridgeport School District","Bryant School","185","228","413"
"0156211","0150011","Bridgeport School District","Central High School","1114","1067","2181"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","558","588","1146"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","144","146","290"
"0150511","0150011","Bridgeport School District","Columbus School","262","261","523"
"0153911","0150011","Bridgeport School District","Cross School","212","219","431"
"0154211","0150011","Bridgeport School District","Curiale School","269","346","615"
"0154111","0150011","Bridgeport School District","Dunbar School","176","168","344"
