"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","954","0","0","954"
"2795113","2790013","Amistad Academy District","Amistad Academy","677","184","123","984"
"0010111","0010011","Andover School District","Andover Elementary School","*","238","*","275"
"0026111","0020011","Ansonia School District","Ansonia High School","277","234","73","584"
"0025111","0020011","Ansonia School District","Ansonia Middle School","285","149","64","498"
"0020311","0020011","Ansonia School District","Mead School","365","184","48","597"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","29","*","*","40"
"0020811","0020011","Ansonia School District","Prendergast School","387","214","79","680"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","26","*","39"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","121","27","12","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","363","283","67","713"
"2449514","2440014","Area Cooperative Educational Services","Village School","57","83","11","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","77","*","*","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","68","*","*","90"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","35","*","*","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","227","333","71","631"
"0030111","0030011","Ashford School District","Ashford School","116","281","18","415"
"0046111","0040011","Avon School District","Avon High School","44","986","21","1051"
"0045111","0040011","Avon School District","Avon Middle School","24","516","8","548"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","*","*","0","48"
"0040411","0040011","Avon School District","Pine Grove School","*","543","*","576"
"0040311","0040011","Avon School District","Roaring Brook School","*","515","*","546"
"0040511","0040011","Avon School District","Thompson Brook School","*","525","*","552"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","18","267","10","295"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","*","*","0","22"
"0076111","0070011","Berlin School District","Berlin High School","122","780","16","918"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","84","597","21","702"
"0070411","0070011","Berlin School District","Emma Hart Willard School","49","434","21","504"
"0070511","0070011","Berlin School District","Mary E. Griswold School","49","491","7","547"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","36","181","8","225"
"0080111","0080011","Bethany School District","Bethany Community School","16","382","9","407"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","57","331","25","413"
"0096111","0090011","Bethel School District","Bethel High School","126","713","50","889"
"0095111","0090011","Bethel School District","Bethel Middle School","117","539","39","695"
"0090111","0090011","Bethel School District","Frank A. Berry School","48","484","14","546"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","64","301","21","386"
"0116111","0110011","Bloomfield School District","Bloomfield High School","211","269","58","538"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","100","86","22","208"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","103","85","26","214"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","85","110","25","220"
"0110611","0110011","Bloomfield School District","Laurel School","163","152","30","345"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","10","*","*","13"
"0110511","0110011","Bloomfield School District","Metacomet School","104","113","31","248"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","91","221","9","321"
"0120111","0120011","Bolton School District","Bolton Center School","82","428","10","520"
