"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_3_level_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","F","30","*","*","7","23.3","17","56.7","*","*","*","*","529"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","F","30","*","*","13","43.3","14","46.7","*","*","*","*","537"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","F","32","*","*","*","*","21","65.6","*","*","*","*","523"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","F","32","*","*","19","59.4","7","21.9","*","*","*","*","478"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","F","57","20","35.1","*","*","*","*","0","0.0","*","*","445"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","N","62","*","*","17","27.4","31","50.0","*","*","*","*","503"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","R","15","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","F","57","32","56.1","*","*","*","*","0","0.0","*","*","420"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","N","62","*","*","22","35.5","20","32.3","*","*","*","*","477"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","R","15","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","N","229","*","*","*","*","97","42.4","115","50.2","212","92.6","614"
"0046111","0040011","Avon School District","Avon High School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","N","229","6","2.6","39","17.0","98","42.8","86","37.6","184","80.3","612"
"0046111","0040011","Avon School District","Avon High School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","ELA","N","203","19","9.4","32","15.8","129","63.5","23","11.3","152","74.9","535"
"0076111","0070011","Berlin School District","Berlin High School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Math","N","203","26","12.8","72","35.5","85","41.9","20","9.9","105","51.7","529"
"0076111","0070011","Berlin School District","Berlin High School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELA","F","26","*","*","*","*","*","*","*","*","*","*","502"
"0096111","0090011","Bethel School District","Bethel High School","ELA","N","158","14","8.9","14","8.9","99","62.7","31","19.6","130","82.3","551"
"0096111","0090011","Bethel School District","Bethel High School","ELA","R","10","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Math","F","26","*","*","*","*","*","*","*","*","*","*","481"
"0096111","0090011","Bethel School District","Bethel High School","Math","N","158","16","10.1","46","29.1","79","50.0","17","10.8","96","60.8","540"
"0096111","0090011","Bethel School District","Bethel High School","Math","R","10","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","F","45","*","*","*","*","*","*","*","*","*","*","450"
