"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","560","506","1066"
"2795113","2790013","Amistad Academy District","Amistad Academy","542","515","1057"
"0010111","0010011","Andover School District","Andover Elementary School","98","127","225"
"0026111","0020011","Ansonia School District","Ansonia High School","293","323","616"
"0025111","0020011","Ansonia School District","Ansonia Middle School","206","235","441"
"0020311","0020011","Ansonia School District","Mead School","266","314","580"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","12","19","31"
"0020411","0020011","Ansonia School District","P.A.C.E. - PM (Positive And Creative Education - PM)","*","*","7"
"0020811","0020011","Ansonia School District","Prendergast School","327","338","665"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","7","33","40"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","30","138","168"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","366","366","732"
"2449514","2440014","Area Cooperative Educational Services","Village School","38","80","118"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","36","79","115"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","25","77","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","*","*","41"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","318","313","631"
"0030111","0030011","Ashford School District","Ashford School","198","208","406"
"0046111","0040011","Avon School District","Avon High School","530","494","1024"
"0045111","0040011","Avon School District","Avon Middle School","248","310","558"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","23","33","56"
"0040411","0040011","Avon School District","Pine Grove School","326","298","624"
"0040311","0040011","Avon School District","Roaring Brook School","260","256","516"
"0040511","0040011","Avon School District","Thompson Brook School","252","245","497"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","118","110","228"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","*","*","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","9","14","23"
"0076111","0070011","Berlin School District","Berlin High School","404","487","891"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","334","380","714"
"0070411","0070011","Berlin School District","Emma Hart Willard School","239","243","482"
"0070511","0070011","Berlin School District","Mary E. Griswold School","232","259","491"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","113","100","213"
"0080111","0080011","Bethany School District","Bethany Community School","180","176","356"
