"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_2_level_","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Y","592","589","99.5","589","170","28.9","155","26.3","165","28.0","99","16.8","264","44.8"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Y","592","586","99.0","585","222","37.9","189","32.3","97","16.6","77","13.2","174","29.7"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Y","453","450","99.3","450","100","22.2","119","26.4","162","36.0","69","15.3","231","51.3"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","85","84","98.8","84","9","10.7","15","17.9","37","44.0","23","27.4","60","71.4"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Y","453","449","99.1","449","108","24.1","133","29.6","125","27.8","83","18.5","208","46.3"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","85","84","98.8","84","11","13.1","28","33.3","14","16.7","31","36.9","45","53.6"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Y","25","23","92.0","23","*","*","*","*","7","30.4","6","26.1","13","56.5"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","N","134","133","99.3","133","*","*","*","*","38","28.6","66","49.6","104","78.2"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Y","25","23","92.0","23","*","*","8","34.8","7","30.4","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","N","134","133","99.3","133","*","*","*","*","47","35.3","53","39.8","100","75.2"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","Y","249","240","96.4","240","109","45.4","74","30.8","49","20.4","8","3.3","57","23.8"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","N","104","103","99.0","103","36","35.0","31","30.1","27","26.2","9","8.7","36","35.0"
