"school_code","district_code","district","school","2013_14","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","870","870"
"2795113","2790013","Amistad Academy District","Amistad Academy","937","937"
"0010111","0010011","Andover School District","Andover Elementary School","298","298"
"0026111","0020011","Ansonia School District","Ansonia High School","602","602"
"0025111","0020011","Ansonia School District","Ansonia Middle School","493","493"
"0020311","0020011","Ansonia School District","Mead School","566","566"
"0020811","0020011","Ansonia School District","Prendergast School","661","661"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","36","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","151","151"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","711","711"
"2449514","2440014","Area Cooperative Educational Services","Village School","151","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","114","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","100","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","39","39"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","631","631"
"0030111","0030011","Ashford School District","Ashford School","423","423"
"0046111","0040011","Avon School District","Avon High School","1057","1057"
"0045111","0040011","Avon School District","Avon Middle School","584","584"
"0040411","0040011","Avon School District","Pine Grove School","594","594"
"0040311","0040011","Avon School District","Roaring Brook School","573","573"
"0040511","0040011","Avon School District","Thompson Brook School","563","563"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","288","288"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","18","18"
"0076111","0070011","Berlin School District","Berlin High School","933","933"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","691","691"
"0070411","0070011","Berlin School District","Emma Hart Willard School","514","514"
"0070511","0070011","Berlin School District","Mary E. Griswold School","562","562"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","251","251"
"0080111","0080011","Bethany School District","Bethany Community School","436","436"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","411","411"
"0096111","0090011","Bethel School District","Bethel High School","933","933"
"0095111","0090011","Bethel School District","Bethel Middle School","672","672"
"0090111","0090011","Bethel School District","Frank A. Berry School","556","556"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","417","417"
"0116111","0110011","Bloomfield School District","Bloomfield High School","555","555"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","216","216"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","213","213"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","220","220"
"0110611","0110011","Bloomfield School District","Laurel School","318","318"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","13","13"
"0110511","0110011","Bloomfield School District","Metacomet School","231","231"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","321","321"
"0120111","0120011","Bolton School District","Bolton Center School","528","528"
"0126111","0120011","Bolton School District","Bolton High School","334","334"
"0130111","0130011","Bozrah School District","Fields Memorial School","243","243"
"0146111","0140011","Branford School District","Branford High School","1050","1050"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","942","942"
"0148011","0140011","Branford School District","Indian Neck School","36","36"
"0141611","0140011","Branford School District","John B. Sliney School","374","374"
"0141511","0140011","Branford School District","Mary R. Tisko School","400","400"
"0141411","0140011","Branford School District","Mary T. Murphy School","420","420"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","115","115"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","835","835"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","235","235"
"0150111","0150011","Bridgeport School District","Barnum School","626","626"
"0156111","0150011","Bridgeport School District","Bassick High School","1120","1120"
"0150211","0150011","Bridgeport School District","Beardsley School","376","376"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","229","229"
"0150311","0150011","Bridgeport School District","Black Rock School","406","406"
"0154011","0150011","Bridgeport School District","Blackham School","1127","1127"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","57","57"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","116","116"
"0150411","0150011","Bridgeport School District","Bryant School","413","413"
"0156211","0150011","Bridgeport School District","Central High School","1838","1838"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1173","1173"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","340","340"
"0150511","0150011","Bridgeport School District","Columbus School","886","886"
"0153911","0150011","Bridgeport School District","Cross School","413","413"
"0154211","0150011","Bridgeport School District","Curiale School","737","737"
"0154111","0150011","Bridgeport School District","Dunbar School","303","303"
"0150711","0150011","Bridgeport School District","Edison School","251","251"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","843","843"
"0151111","0150011","Bridgeport School District","Hall School","275","275"
"0151211","0150011","Bridgeport School District","Hallen School","332","332"
"0156311","0150011","Bridgeport School District","Harding High School","1105","1105"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","422","422"
"0151311","0150011","Bridgeport School District","Hooker School","387","387"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","236","236"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","511","511"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","655","655"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","904","904"
"0152011","0150011","Bridgeport School District","Madison School","539","539"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","449","449"
"0151711","0150011","Bridgeport School District","Park City Magnet School","491","491"
"0151811","0150011","Bridgeport School District","Pride Academy","57","57"
"0152511","0150011","Bridgeport School District","Read School","839","839"
"0152611","0150011","Bridgeport School District","Roosevelt School","564","564"
"0154411","0150011","Bridgeport School District","Skane Center","304","304"
"0153011","0150011","Bridgeport School District","Waltersville School","514","514"
"0153611","0150011","Bridgeport School District","Winthrop School","685","685"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","14","14"
"0176111","0170011","Bristol School District","Bristol Central High School","1242","1242"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1299","1299"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","718","718"
"0179211","0170011","Bristol School District","Community/Vocational Program","13","13"
"0170311","0170011","Bristol School District","Edgewood School","355","355"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","424","424"
"0170511","0170011","Bristol School District","Greene-Hills School","890","890"
"0171911","0170011","Bristol School District","Ivy Drive School","397","397"
"0171711","0170011","Bristol School District","Mountain View School","437","437"
"0175211","0170011","Bristol School District","Northeast Middle School","453","453"
"0171111","0170011","Bristol School District","South Side School","503","503"
"0171211","0170011","Bristol School District","Stafford School","504","504"
"0172011","0170011","Bristol School District","West Bristol School","945","945"
"0186111","0180011","Brookfield School District","Brookfield High School","901","901"
"0180311","0180011","Brookfield School District","Center Elementary School","380","380"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","624","624"
"0185311","0180011","Brookfield School District","Whisconier Middle School","859","859"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","545","545"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","374","374"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","77","77"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","225","225"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","233","233"
"0236111","0230011","Canton School District","Canton High School","499","499"
"0230311","0230011","Canton School District","Canton Intermediate School","434","434"
"0235111","0230011","Canton School District","Canton Middle School","265","265"
"0230211","0230011","Canton School District","Cherry Brook Primary School","490","490"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","562","562"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","222","222"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","361","361"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","217","217"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","282","282"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","22","22"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","410","410"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","438","438"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","327","327"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","415","415"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","53","53"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","8","8"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","722","722"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","342","342"
"2410514","2410014","Capitol Region Education Council","Museum Academy","405","405"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","404","404"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","392","392"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","64","64"
"2419314","2410014","Capitol Region Education Council","River Street School","145","145"
"2419114","2410014","Capitol Region Education Council","Soundbridge","83","83"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","8","8"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","189","189"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","660","660"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","441","441"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","183","183"
"0250111","0250011","Cheshire School District","Chapman School","298","298"
"0256111","0250011","Cheshire School District","Cheshire High School","1538","1538"
"0250211","0250011","Cheshire School District","Darcey School","293","293"
"0255111","0250011","Cheshire School District","Dodd Middle School","747","747"
"0250611","0250011","Cheshire School District","Doolittle School","529","529"
"0250411","0250011","Cheshire School District","Highland School","740","740"
"0259011","0250011","Cheshire School District","Humiston School","20","20"
"0250511","0250011","Cheshire School District","Norton School","429","429"
"0260111","0260011","Chester School District","Chester Elementary School","228","228"
"0270111","0270011","Clinton School District","Abraham Pierson School","296","296"
"0275111","0270011","Clinton School District","Jared Eliot School","462","462"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","638","638"
"0276111","0270011","Clinton School District","The Morgan School","558","558"
"0286111","0280011","Colchester School District","Bacon Academy","900","900"
"0280411","0280011","Colchester School District","Colchester Elementary School","551","551"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","614","614"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","668","668"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","99","99"
"0300111","0300011","Columbia School District","Horace W. Porter School","467","467"
"2686113","2680013","Common Ground High School District","Common Ground High School","180","180"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","801","801"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","805","805"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","646","646"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","542","542"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","535","535"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","567","567"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","801","801"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","585","585"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","637","637"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","667","667"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","680","680"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","647","647"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","836","836"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","656","656"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","743","743"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","550","550"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","94","94"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","51","51"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","12","12"
"2438014","2430014","Cooperative Educational Services","School Readiness","54","54"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","471","471"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","140","140"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","105","105"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","393","393"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","20","20"
"0320211","0320011","Coventry School District","Coventry Grammar School","377","377"
"0326111","0320011","Coventry School District","Coventry High School","518","518"
"0320411","0320011","Coventry School District","George Hersey Robertson School","377","377"
"0336111","0330011","Cromwell School District","Cromwell High School","549","549"
"0335111","0330011","Cromwell School District","Cromwell Middle School","454","454"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","468","468"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","477","477"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","83","83"
"0345111","0340011","Danbury School District","Broadview Middle School","1092","1092"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","139","139"
"0346111","0340011","Danbury School District","Danbury High School","2878","2878"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","435","435"
"0341111","0340011","Danbury School District","Great Plain School","356","356"
"0340211","0340011","Danbury School District","Hayestown Avenue School","469","469"
"0341711","0340011","Danbury School District","King Street Intermediate School","370","370"
"0341311","0340011","Danbury School District","King Street Primary School","417","417"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","412","412"
"0340611","0340011","Danbury School District","Morris Street School","468","468"
"0340811","0340011","Danbury School District","Park Avenue School","433","433"
"0341511","0340011","Danbury School District","Pembroke School","376","376"
"0345211","0340011","Danbury School District","Rogers Park Middle School","1200","1200"
"0341211","0340011","Danbury School District","Shelter Rock School","416","416"
"0341011","0340011","Danbury School District","South Street School","375","375"
"0341611","0340011","Danbury School District","Stadley Rough School","432","432"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","423","423"
"0356111","0350011","Darien School District","Darien High School","1354","1354"
"0350211","0350011","Darien School District","Hindley Elementary School","565","565"
"0350711","0350011","Darien School District","Holmes Elementary School","454","454"
"0355111","0350011","Darien School District","Middlesex Middle School","1128","1128"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","458","458"
"0350511","0350011","Darien School District","Royle Elementary School","452","452"
"0350611","0350011","Darien School District","Tokeneke Elementary School","492","492"
"0360111","0360011","Deep River School District","Deep River Elementary School","330","330"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","*","*"
"0370611","0370011","Derby School District","Bradley School","376","376"
"0376111","0370011","Derby School District","Derby High School","381","381"
"0375011","0370011","Derby School District","Derby Middle School","364","364"
"0370411","0370011","Derby School District","Irving School","378","378"
"0400111","0400011","East Granby School District","Allgrove School","194","194"
"0406111","0400011","East Granby School District","East Granby High School","259","259"
"0405111","0400011","East Granby School District","East Granby Middle School","208","208"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","207","207"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","326","326"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","372","372"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","488","488"
"0420311","0420011","East Hampton School District","Center School","295","295"
"0426111","0420011","East Hampton School District","East Hampton High School","520","520"
"0425111","0420011","East Hampton School District","East Hampton Middle School","423","423"
"0420111","0420011","East Hampton School District","Memorial School","626","626"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","7","7"
"0430911","0430011","East Hartford School District","Anna E. Norris School","296","296"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","197","197"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","364","364"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","402","402"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","533","533"
"0436211","0430011","East Hartford School District","East Hartford High School","1682","1682"
"0435111","0430011","East Hartford School District","East Hartford Middle School","1101","1101"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","343","343"
"0430511","0430011","East Hartford School District","Hockanum School","322","322"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","301","301"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","498","498"
"0431211","0430011","East Hartford School District","Silver Lane School","304","304"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","105","105"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","253","253"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","231","231"
"0439011","0430011","East Hartford School District","Woodland School","199","199"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","269","269"
"0441411","0440011","East Haven School District","D. C. Moore School","215","215"
"0440111","0440011","East Haven School District","Deer Run School","329","329"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","202","202"
"0446111","0440011","East Haven School District","East Haven High School","907","907"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","173","173"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","571","571"
"0440711","0440011","East Haven School District","Momauguin School","152","152"
"0441811","0440011","East Haven School District","Overbrook Elementary School","193","193"
"0449011","0440011","East Haven School District","Pathways","40","40"
"0456111","0450011","East Lyme School District","East Lyme High School","1063","1063"
"0455111","0450011","East Lyme School District","East Lyme Middle School","875","875"
"0450111","0450011","East Lyme School District","Flanders School","354","354"
"0458011","0450011","East Lyme School District","Integrated Preschool","41","41"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","339","339"
"0450211","0450011","East Lyme School District","Niantic Center School","190","190"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","506","506"
"0476111","0470011","East Windsor School District","East Windsor High School","348","348"
"0475411","0470011","East Windsor School District","East Windsor Middle School","345","345"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","144","144"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","95","95"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","127","127"
"0390111","0390011","Eastford School District","Eastford Elementary School","152","152"
"0465111","0460011","Easton School District","Helen Keller Middle School","351","351"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","610","610"
"2428014","2420014","EdAdvance","EdAdvance Headstart","189","189"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","40","40"
"0480111","0480011","Ellington School District","Center School","393","393"
"0480211","0480011","Ellington School District","Crystal Lake School","203","203"
"0486111","0480011","Ellington School District","Ellington High School","797","797"
"0485111","0480011","Ellington School District","Ellington Middle School","409","409"
"0480711","0480011","Ellington School District","Windermere Intermediate School","416","416"
"0480611","0480011","Ellington School District","Windermere School","439","439"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","624","624"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","336","336"
"0491611","0490011","Enfield School District","Eli Whitney School","384","384"
"0496111","0490011","Enfield School District","Enfield High School","707","707"
"0490211","0490011","Enfield School District","Enfield Street School","288","288"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","15","15"
"0496211","0490011","Enfield School District","Enrico Fermi High School","918","918"
"0490411","0490011","Enfield School District","Hazardville Memorial School","354","354"
"0498011","0490011","Enfield School District","Head Start Program","104","104"
"0491811","0490011","Enfield School District","Henry Barnard School","340","340"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","1121","1121"
"0491111","0490011","Enfield School District","Nathan Hale School","221","221"
"0491511","0490011","Enfield School District","Prudence Crandall School","418","418"
"0500111","0500011","Essex School District","Essex Elementary School","508","508"
"2726113","2720013","Explorations District","Explorations","83","83"
"0510211","0510011","Fairfield School District","Burr Elementary School","453","453"
"0510111","0510011","Fairfield School District","Dwight Elementary School","306","306"
"0518011","0510011","Fairfield School District","Early Childhood Center","110","110"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","1509","1509"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","1459","1459"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","926","926"
"0510411","0510011","Fairfield School District","Holland Hill School","398","398"
"0511711","0510011","Fairfield School District","Jennings School","327","327"
"0510611","0510011","Fairfield School District","McKinley School","458","458"
"0510711","0510011","Fairfield School District","Mill Hill School","429","429"
"0511611","0510011","Fairfield School District","North Stratfield School","444","444"
"0511811","0510011","Fairfield School District","Osborn Hill School","526","526"
