"school_code","district_code","district","school","subject","special_education","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","N","535","534","99.8","534","131","24.5","141","26.4","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Y","57","55","96.5","55","39","70.9","*","*","*","*","0","0.0","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","N","535","530","99.1","530","178","33.6","181","34.2","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Y","57","56","98.2","55","44","80.0","8","14.5","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","501","498","99.4","498","81","16.3","*","*","*","*","92","18.5","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Y","37","36","97.3","36","28","77.8","*","*","*","*","0","0.0","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","501","498","99.4","498","*","*","154","30.9","*","*","114","22.9","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Y","37","35","94.6","35","27","77.1","*","*","*","*","0","0.0","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","N","148","147","99.3","147","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Y","11","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","N","148","147","99.3","147","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Y","11","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","N","286","282","98.6","282","98","34.8","92","32.6","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","Y","67","61","91.0","61","47","77.0","*","*","*","*","0","0.0","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","N","286","282","98.6","281","114","40.6","106","37.7","37","13.2","24","8.5","61","21.7"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","Y","67","61","91.0","61","46","75.4","15","24.6","0","0.0","0","0.0","0","0.0"
"0020311","0020011","Ansonia School District","Mead School","ELA","N","297","297","100.0","297","96","32.3","*","*","*","*","38","12.8","*","*"
"0020311","0020011","Ansonia School District","Mead School","ELA","Y","49","49","100.0","49","40","81.6","*","*","*","*","0","0.0","*","*"
"0020311","0020011","Ansonia School District","Mead School","Math","N","297","297","100.0","297","102","34.3","114","38.4","*","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","Math","Y","49","49","100.0","49","39","79.6","*","*","*","*","0","0.0","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","N","292","290","99.3","290","*","*","84","29.0","90","31.0","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","Y","59","54","91.5","54","37","68.5","9","16.7","*","*","*","*","8","14.8"
"0020811","0020011","Ansonia School District","Prendergast School","Math","N","292","289","99.0","289","76","26.3","114","39.4","*","*","*","*","99","34.3"
"0020811","0020011","Ansonia School District","Prendergast School","Math","Y","59","54","91.5","54","38","70.4","8","14.8","*","*","*","*","8","14.8"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","N","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","Y","136","131","96.3","130","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","N","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","Y","136","124","91.2","124","*","*","*","*","*","*","0","0.0","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","N","644","644","100.0","644","182","28.3","187","29.0","*","*","*","*","275","42.7"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","Y","80","80","100.0","80","62","77.5","12","15.0","*","*","*","*","6","7.5"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","N","644","644","100.0","644","250","38.8","213","33.1","*","*","*","*","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","Y","80","80","100.0","80","71","88.8","6","7.5","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","N","361","361","100.0","361","87","24.1","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","Y","52","50","96.2","50","39","78.0","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","N","361","361","100.0","361","151","41.8","129","35.7","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","Y","52","50","96.2","50","41","82.0","7","14.0","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELA","N","206","206","100.0","206","*","*","42","20.4","*","*","63","30.6","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELA","Y","25","25","100.0","25","15","60.0","*","*","*","*","0","0.0","*","*"
"0030111","0030011","Ashford School District","Ashford School","Math","N","206","206","100.0","206","*","*","64","31.1","*","*","40","19.4","*","*"
"0030111","0030011","Ashford School District","Ashford School","Math","Y","25","25","100.0","25","15","60.0","*","*","*","*","0","0.0","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELA","N","486","485","99.8","485","8","1.6","49","10.1","199","41.0","229","47.2","428","88.2"
"0045111","0040011","Avon School District","Avon Middle School","ELA","Y","54","53","98.1","53","14","26.4","26","49.1","13","24.5","0","0.0","13","24.5"
"0045111","0040011","Avon School District","Avon Middle School","Math","N","488","486","99.6","486","14","2.9","55","11.3","114","23.5","303","62.3","417","85.8"
"0045111","0040011","Avon School District","Avon Middle School","Math","Y","54","53","98.1","53","21","39.6","18","34.0","14","26.4","0","0.0","14","26.4"
"0040411","0040011","Avon School District","Pine Grove School","ELA","N","227","227","100.0","227","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","ELA","Y","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Math","N","228","228","100.0","228","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Math","Y","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","N","201","200","99.5","200","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","Y","12","12","*","12","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Math","N","201","200","99.5","200","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Math","Y","12","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","N","512","512","100.0","512","*","*","56","10.9","175","34.2","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","Y","38","37","97.4","37","12","32.4","13","35.1","*","*","*","*","12","32.4"
"0040511","0040011","Avon School District","Thompson Brook School","Math","N","512","511","99.8","511","32","6.3","103","20.2","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Math","Y","38","37","97.4","37","22","59.5","10","27.0","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","N","147","141","95.9","141","*","*","31","22.0","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","Y","28","27","96.4","27","*","*","8","29.6","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","N","147","141","95.9","141","25","17.7","56","39.7","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","Y","28","27","96.4","27","17","63.0","*","*","*","*","0","0.0","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","N","602","601","99.8","601","*","*","120","20.0","288","47.9","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","Y","73","73","100.0","73","34","46.6","26","35.6","*","*","*","*","13","17.8"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","N","602","601","99.8","600","93","15.5","200","33.3","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","Y","73","73","100.0","73","55","75.3","13","17.8","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","N","201","200","99.5","200","10","5.0","46","23.0","*","*","*","*","144","72.0"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","Y","26","26","100.0","26","14","53.8","6","23.1","*","*","*","*","6","23.1"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","N","201","200","99.5","200","7","3.5","59","29.5","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","Y","26","26","100.0","26","14","53.8","7","26.9","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","N","257","256","99.6","255","*","*","45","17.6","*","*","98","38.4","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","Y","27","27","100.0","27","*","*","14","51.9","*","*","0","0.0","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","N","257","254","98.8","253","24","9.5","67","26.5","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","Y","27","27","100.0","27","16","59.3","9","33.3","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","N","110","110","100.0","110","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","Y","20","19","95.0","19","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","N","110","110","100.0","110","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","Y","20","18","90.0","18","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","N","196","188","95.9","188","*","*","36","19.1","63","33.5","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","Y","36","36","100.0","36","15","41.7","13","36.1","*","*","*","*","8","22.2"
"0080111","0080011","Bethany School District","Bethany Community School","Math","N","196","188","95.9","188","*","*","44","23.4","58","30.9","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Math","Y","36","36","100.0","36","12","33.3","14","38.9","*","*","*","*","10","27.8"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","N","113","112","99.1","112","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","Y","13","13","*","13","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","N","113","112","99.1","112","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","Y","13","13","*","13","*","*","*","*","*","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","N","580","578","99.7","578","*","*","81","14.0","253","43.8","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","Y","70","70","100.0","70","*","*","23","32.9","23","32.9","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","N","580","577","99.5","577","*","*","179","31.0","172","29.8","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","Y","70","70","100.0","70","39","55.7","21","30.0","*","*","*","*","10","14.3"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","N","381","379","99.5","379","*","*","62","16.4","136","35.9","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","Y","42","41","97.6","41","22","53.7","*","*","10","24.4","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","N","381","378","99.2","378","*","*","133","35.2","112","29.6","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","Y","42","41","97.6","41","18","43.9","14","34.1","*","*","*","*","9","22.0"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","N","185","185","100.0","185","*","*","46","24.9","82","44.3","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","Y","37","37","100.0","37","23","62.2","7","18.9","*","*","*","*","7","18.9"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","N","185","185","100.0","185","45","24.3","*","*","*","*","22","11.9","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","Y","37","37","100.0","37","31","83.8","*","*","*","*","0","0.0","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","N","173","173","100.0","173","37","21.4","61","35.3","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","Y","28","28","100.0","28","18","64.3","*","*","*","*","0","0.0","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","N","173","173","100.0","173","59","34.1","*","*","*","*","10","5.8","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","Y","28","28","100.0","28","26","92.9","*","*","*","*","0","0.0","*","*"
