"school_code","district_code","district","school","subject","special_education","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","79","76","96.2","76","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","79","76","96.2","76","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","N","225","225","100.0","225","55","24.4","*","*","*","*","52","23.1","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","Y","29","29","100.0","29","22","75.9","*","*","*","*","0","0.0","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","N","225","225","100.0","225","59","26.2","*","*","*","*","19","8.4","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","Y","29","28","96.6","28","25","89.3","*","*","*","*","0","0.0","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","N","314","306","97.5","306","*","*","30","9.8","119","38.9","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","Y","40","39","97.5","39","19","48.7","*","*","9","23.1","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Math","N","314","306","97.5","306","*","*","70","22.9","103","33.7","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Math","Y","40","39","97.5","39","23","59.0","7","17.9","*","*","*","*","9","23.1"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","N","113","113","100.0","113","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","Y","21","20","95.2","19","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","N","113","113","100.0","113","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","Y","21","20","95.2","19","*","*","*","*","*","*","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","N","783","770","98.3","768","*","*","169","22.0","316","41.1","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","Y","113","113","100.0","113","61","54.0","35","31.0","*","*","*","*","17","15.0"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","N","781","766","98.1","765","*","*","234","30.6","202","26.4","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","Y","113","113","100.0","113","87","77.0","17","15.0","*","*","*","*","9","8.0"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","N","132","132","100.0","131","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","Y","9","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Math","N","132","132","100.0","132","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Math","Y","9","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","N","134","134","100.0","134","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","Y","16","16","*","12","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","N","134","134","100.0","134","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","Y","16","16","*","12","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","N","149","149","100.0","149","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","Y","17","17","*","17","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","N","149","149","100.0","149","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","Y","17","17","*","17","*","*","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","ELA","N","*","*","*","*","0","0.0","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","N","494","494","100.0","494","109","22.1","139","28.1","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","Y","47","46","97.9","46","32","69.6","*","*","*","*","0","0.0","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","N","494","494","100.0","494","136","27.5","136","27.5","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Y","47","46","97.9","46","31","67.4","10","21.7","*","*","*","*","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","N","242","242","100.0","242","124","51.2","74","30.6","38","15.7","6","2.5","44","18.2"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","Y","70","69","98.6","69","63","91.3","6","8.7","0","0.0","0","0.0","0","0.0"
"0150111","0150011","Bridgeport School District","Barnum School","Math","N","242","242","100.0","242","165","68.2","*","*","*","*","0","0.0","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","Math","Y","70","69","98.6","69","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","N","149","149","100.0","149","75","50.3","*","*","*","*","8","5.4","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","Y","25","25","100.0","25","23","92.0","*","*","*","*","0","0.0","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","N","149","149","100.0","149","92","61.7","*","*","*","*","0","0.0","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","Y","25","25","100.0","25","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","N","217","217","100.0","217","61","28.1","68","31.3","*","*","25","11.5","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","Y","36","36","100.0","36","28","77.8","7","19.4","*","*","0","0.0","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","N","217","217","100.0","217","97","44.7","*","*","30","13.8","8","3.7","38","17.5"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","Y","36","36","100.0","36","32","88.9","*","*","0","0.0","0","0.0","0","0.0"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","N","686","684","99.7","684","359","52.5","183","26.8","*","*","*","*","*","*"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","Y","82","80","97.6","80","68","85.0","8","10.0","*","*","*","*","*","*"
"0154011","0150011","Bridgeport School District","Blackham School","Math","N","687","684","99.6","684","461","67.4","185","27.0","*","*","*","*","38","5.6"
"0154011","0150011","Bridgeport School District","Blackham School","Math","Y","82","80","97.6","80","72","90.0","8","10.0","0","0.0","0","0.0","0","0.0"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","Y","*","*","*","*","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","Y","*","*","*","*","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150411","0150011","Bridgeport School District","Bryant School","ELA","N","172","172","100.0","172","88","51.2","*","*","21","12.2","*","*","*","*"
"0150411","0150011","Bridgeport School District","Bryant School","ELA","Y","20","20","100.0","20","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150411","0150011","Bridgeport School District","Bryant School","Math","N","172","172","100.0","172","110","64.0","*","*","13","7.6","*","*","*","*"
"0150411","0150011","Bridgeport School District","Bryant School","Math","Y","20","20","100.0","20","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","ELA","N","712","711","99.9","711","500","70.3","123","17.3","73","10.3","15","2.1","88","12.4"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","ELA","Y","88","88","100.0","88","81","92.0","7","8.0","0","0.0","0","0.0","0","0.0"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Math","N","712","711","99.9","711","558","78.5","*","*","*","*","*","*","*","*"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Math","Y","88","88","100.0","88","85","96.6","*","*","*","*","0","0.0","*","*"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","ELA","N","214","211","98.6","211","46","21.8","*","*","*","*","26","12.3","*","*"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","ELA","Y","25","25","100.0","25","22","88.0","*","*","*","*","0","0.0","*","*"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Math","N","212","209","98.6","209","85","40.7","*","*","33","15.8","*","*","*","*"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Math","Y","25","25","100.0","25","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150511","0150011","Bridgeport School District","Columbus School","ELA","N","435","434","99.8","434","269","62.0","*","*","46","10.6","*","*","*","*"
"0150511","0150011","Bridgeport School District","Columbus School","ELA","Y","40","40","100.0","40","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150511","0150011","Bridgeport School District","Columbus School","Math","N","434","433","99.8","433","312","72.1","*","*","22","5.1","*","*","*","*"
"0150511","0150011","Bridgeport School District","Columbus School","Math","Y","40","40","100.0","40","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0153911","0150011","Bridgeport School District","Cross School","ELA","N","167","167","100.0","167","95","56.9","*","*","*","*","*","*","*","*"
"0153911","0150011","Bridgeport School District","Cross School","ELA","Y","55","55","100.0","55","51","92.7","*","*","*","*","0","0.0","*","*"
"0153911","0150011","Bridgeport School District","Cross School","Math","N","167","166","99.4","166","122","73.5","*","*","8","4.8","*","*","*","*"
"0153911","0150011","Bridgeport School District","Cross School","Math","Y","55","55","100.0","55","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0154211","0150011","Bridgeport School District","Curiale School","ELA","N","425","424","99.8","424","255","60.1","*","*","54","12.7","*","*","*","*"
"0154211","0150011","Bridgeport School District","Curiale School","ELA","Y","71","71","100.0","71","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0154211","0150011","Bridgeport School District","Curiale School","Math","N","423","422","99.8","422","328","77.7","*","*","17","4.0","*","*","*","*"
"0154211","0150011","Bridgeport School District","Curiale School","Math","Y","71","70","98.6","70","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0154111","0150011","Bridgeport School District","Dunbar School","ELA","N","197","197","100.0","197","128","65.0","*","*","19","9.6","*","*","*","*"
"0154111","0150011","Bridgeport School District","Dunbar School","ELA","Y","23","23","100.0","23","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0154111","0150011","Bridgeport School District","Dunbar School","Math","N","197","197","100.0","197","155","78.7","*","*","*","*","0","0.0","*","*"
"0154111","0150011","Bridgeport School District","Dunbar School","Math","Y","23","23","100.0","23","23","100.0","0","0.0","0","0.0","0","0.0","0","0.0"
"0150711","0150011","Bridgeport School District","Edison School","ELA","N","119","119","100.0","119","48","40.3","*","*","*","*","8","6.7","*","*"
"0150711","0150011","Bridgeport School District","Edison School","ELA","Y","29","29","100.0","29","26","89.7","*","*","*","*","0","0.0","*","*"
"0150711","0150011","Bridgeport School District","Edison School","Math","N","120","120","100.0","120","74","61.7","*","*","6","5.0","*","*","*","*"
"0150711","0150011","Bridgeport School District","Edison School","Math","Y","29","29","100.0","29","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","ELA","N","411","411","100.0","411","179","43.6","126","30.7","86","20.9","20","4.9","106","25.8"
