"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","948","115","1063"
"2795113","2790013","Amistad Academy District","Amistad Academy","979","57","1036"
"0010111","0010011","Andover School District","Andover Elementary School","233","17","250"
"0026111","0020011","Ansonia School District","Ansonia High School","505","92","597"
"0025111","0020011","Ansonia School District","Ansonia Middle School","341","105","446"
"0020311","0020011","Ansonia School District","Mead School","499","96","595"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","25","10","35"
"0020811","0020011","Ansonia School District","Prendergast School","583","105","688"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","38","38"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","7","160","167"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","636","90","726"
"2449514","2440014","Area Cooperative Educational Services","Village School","0","135","135"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","113","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","*","*","95"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","42","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","562","70","632"
"0030111","0030011","Ashford School District","Ashford School","355","42","397"
"0046111","0040011","Avon School District","Avon High School","937","101","1038"
"0045111","0040011","Avon School District","Avon Middle School","481","64","545"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","30","15","45"
"0040411","0040011","Avon School District","Pine Grove School","564","35","599"
"0040311","0040011","Avon School District","Roaring Brook School","468","29","497"
"0040511","0040011","Avon School District","Thompson Brook School","510","40","550"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","223","32","255"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","0","*","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","12","16","28"
"0076111","0070011","Berlin School District","Berlin High School","848","105","953"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","603","69","672"
"0070411","0070011","Berlin School District","Emma Hart Willard School","417","86","503"
"0070511","0070011","Berlin School District","Mary E. Griswold School","456","41","497"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","212","26","238"
"0080111","0080011","Bethany School District","Bethany Community School","332","51","383"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","390","30","420"
"0096111","0090011","Bethel School District","Bethel High School","786","111","897"
"0095111","0090011","Bethel School District","Bethel Middle School","581","77","658"
"0090111","0090011","Bethel School District","Frank A. Berry School","508","53","561"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","382","44","426"
"0116111","0110011","Bloomfield School District","Bloomfield High School","440","76","516"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","179","41","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","162","31","193"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","195","23","218"
"0110611","0110011","Bloomfield School District","Laurel School","296","39","335"
