"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","134","93","34","261"
"2795113","2790013","Amistad Academy District","Amistad Academy","264","272","105","641"
"0010111","0010011","Andover School District","Andover Elementary School","10","312","12","334"
"0026111","0020011","Ansonia School District","Ansonia High School","282","339","96","717"
"0025111","0020011","Ansonia School District","Ansonia Middle School","252","257","73","582"
"0020311","0020011","Ansonia School District","Mead School","285","260","71","616"
"0029011","0020011","Ansonia School District","Pine Academy","22","*","*","39"
"0020811","0020011","Ansonia School District","Prendergast School","327","363","69","759"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","0","12","0","12"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","42","54","14","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","114","36","20","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","283","340","125","748"
"2449514","2440014","Area Cooperative Educational Services","Village School","51","109","16","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","95","26","7","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","65","20","8","93"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","43","13","0","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","108","419","78","605"
"0030111","0030011","Ashford School District","Ashford School","65","393","27","485"
"0046111","0040011","Avon School District","Avon High School","10","1023","19","1052"
"0045111","0040011","Avon School District","Avon Middle School","8","575","6","589"
"0040411","0040011","Avon School District","Pine Grove School","18","582","10","610"
"0040311","0040011","Avon School District","Roaring Brook School","7","732","11","750"
"0040511","0040011","Avon School District","Thompson Brook School","*","533","*","557"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","12","316","13","341"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","21","0","21"
"0076111","0070011","Berlin School District","Berlin High School","43","960","24","1027"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","38","682","22","742"
"0070411","0070011","Berlin School District","Emma Hart Willard School","41","542","18","601"
"0070511","0070011","Berlin School District","Mary E. Griswold School","18","556","10","584"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","*","252","*","264"
"0080111","0080011","Bethany School District","Bethany Community School","8","534","7","549"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","26","380","17","423"
"0096111","0090011","Bethel School District","Bethel High School","52","906","52","1010"
"0095111","0090011","Bethel School District","Bethel Middle School","56","612","38","706"
"0090111","0090011","Bethel School District","Frank A. Berry School","16","448","16","480"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","37","388","29","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","197","374","75","646"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","108","157","48","313"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","111","147","44","302"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","97","182","37","316"
"0110611","0110011","Bloomfield School District","Laurel School","90","150","25","265"
"0110511","0110011","Bloomfield School District","Metacomet School","85","111","36","232"
"0116211","0110011","Bloomfield School District","The Big Picture High School","32","45","6","83"
"0120111","0120011","Bolton School District","Bolton Center School","37","534","12","583"
"0126111","0120011","Bolton School District","Bolton High School","*","272","*","278"
"0130111","0130011","Bozrah School District","Fields Memorial School","18","223","15","256"
"0146111","0140011","Branford School District","Branford High School","105","951","55","1111"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","138","876","69","1083"
"0148011","0140011","Branford School District","Indian Neck School","*","65","*","77"
"0141611","0140011","Branford School District","John B. Sliney School","45","291","27","363"
