"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","33","42","46","43","49","35","38","48","0","0","0","0","0","0","334"
"0025111","0020011","Ansonia School District","Ansonia Middle School","94","0","0","0","0","0","0","0","180","184","0","0","0","0","458"
"0020311","0020011","Ansonia School District","Mead School","0","36","94","103","102","101","113","93","0","0","0","0","0","0","642"
"0020811","0020011","Ansonia School District","Prendergast School","0","168","119","98","91","114","90","107","0","0","0","0","0","0","787"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","206","206","171","144","727"
"2449514","2440014","Area Cooperative Educational Services","Village School","7","6","11","12","16","17","25","21","17","12","*","*","0","*","153"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","14","21","22","19","26","26","27","0","0","0","0","170"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","63","66","74","75","75","75","74","73","71","0","0","0","0","646"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","0","*","*","*","*","*","*","0","19"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","247","241","232","0","0","0","0","720"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","0","18","19","19","72","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","25","22","23","32","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","*","*","*","42","53"
"0030111","0030011","Ashford School District","Ashford School","47","48","35","54","33","48","52","52","51","56","0","0","0","0","476"
"0040411","0040011","Avon School District","Pine Grove School","39","83","108","131","137","133","0","0","0","0","0","0","0","0","631"
"0040311","0040011","Avon School District","Roaring Brook School","0","108","132","132","130","149","0","0","0","0","0","0","0","0","651"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","308","286","0","0","0","0","0","0","594"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","284","300","0","0","0","0","584"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","281","267","283","257","1088"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","30","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","49","43","58","35","52","51","55","0","0","0","0","0","0","343"
"0070411","0070011","Berlin School District","Emma Hart Willard School","48","71","79","86","76","88","87","0","0","0","0","0","0","0","535"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","95","96","112","90","100","92","0","0","0","0","0","0","0","585"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","43","35","39","39","46","59","0","0","0","0","0","0","0","261"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","231","255","233","0","0","0","0","719"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","233","258","260","266","1017"
"0080111","0080011","Bethany School District","Bethany Community School","14","53","62","74","74","86","68","81","0","0","0","0","0","0","512"
"0090111","0090011","Bethel School District","Frank A. Berry School","88","80","83","111","98","0","0","0","0","0","0","0","0","0","460"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","83","87","111","103","0","0","0","0","0","0","0","0","0","384"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","235","*","*","0","0","0","0","0","0","452"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","222","245","216","0","0","0","0","683"
"0096111","0090011","Bethel School District","Bethel High School","0","0","0","0","0","0","0","0","0","0","249","227","241","242","959"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","209","103","0","0","0","0","0","0","0","0","0","0","0","0","312"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","0","94","126","131","0","0","0","0","0","0","0","0","0","0","351"
"0110611","0110011","Bloomfield School District","Laurel School","0","0","0","0","139","142","0","0","0","0","0","0","0","0","281"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","0","0","0","0","0","147","158","0","0","0","0","0","0","305"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","0","0","0","0","0","0","0","124","141","0","0","0","0","265"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","0","0","0","0","0","0","0","0","0","159","148","150","136","593"
"0116211","0110011","Bloomfield School District","The Big Picture High School","0","0","0","0","0","0","0","0","0","0","29","34","16","10","89"
"0120111","0120011","Bolton School District","Bolton Center School","13","59","65","56","51","55","64","61","76","68","0","0","0","0","568"
"0126111","0120011","Bolton School District","Bolton High School","0","0","0","0","0","0","0","0","0","0","104","85","69","72","330"
"0130111","0130011","Bozrah School District","Fields Memorial School","17","30","19","19","22","21","28","31","20","26","0","0","0","0","233"
"0148011","0140011","Branford School District","Indian Neck School","53","0","0","0","0","0","0","0","0","0","0","0","0","0","53"
"0141411","0140011","Branford School District","Mary T. Murphy School","29","75","83","75","84","85","0","0","0","0","0","0","0","0","431"
"0141611","0140011","Branford School District","John B. Sliney School","0","80","70","85","74","59","0","0","0","0","0","0","0","0","368"
"0141511","0140011","Branford School District","Mary R. Tisko School","0","78","90","75","88","95","0","0","0","0","0","0","0","0","426"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","0","0","0","0","0","245","272","261","262","0","0","0","0","1040"
"0146111","0140011","Branford School District","Branford High School","0","0","0","0","0","0","0","0","0","0","293","275","252","278","1098"
"0150111","0150011","Bridgeport School District","Barnum School","36","87","90","67","63","60","48","76","55","50","0","0","0","0","632"
"0150211","0150011","Bridgeport School District","Beardsley School","43","52","55","47","54","37","41","41","0","0","0","0","0","0","370"
"0154011","0150011","Bridgeport School District","Blackham School","36","119","116","123","101","90","111","101","155","162","0","0","0","0","1114"
"0150411","0150011","Bridgeport School District","Bryant School","60","67","65","67","61","36","56","27","0","0","0","0","0","0","439"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","38","114","114","120","105","128","130","122","128","64","0","0","0","0","1063"
"0150511","0150011","Bridgeport School District","Columbus School","*","93","87","76","77","71","69","55","53","42","*","0","0","0","663"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","18","115","105","94","88","90","92","83","88","95","0","0","0","0","868"
"0151211","0150011","Bridgeport School District","Hallen School","18","39","47","42","50","43","36","41","0","0","0","0","0","0","316"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","85","45","0","0","0","0","0","0","0","0","0","0","0","0","130"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","38","70","87","67","66","63","41","61","90","71","0","0","0","0","654"
"0151911","0150011","Bridgeport School District","Longfellow School","17","58","54","45","51","39","36","27","54","45","0","0","0","0","426"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","18","74","88","83","96","92","83","66","120","134","0","0","0","0","854"
"0158011","0150011","Bridgeport School District","Parent-Children Program","*","0","0","0","0","0","0","0","0","0","0","0","0","0","*"
"0151711","0150011","Bridgeport School District","Park City Magnet School","31","59","58","59","53","60","50","50","46","45","0","0","0","0","511"
"0152511","0150011","Bridgeport School District","Read School","34","102","100","91","78","81","94","70","80","92","0","0","0","0","822"
"0152611","0150011","Bridgeport School District","Roosevelt School","48","56","60","60","49","42","33","34","46","34","0","0","0","0","462"
"0154411","0150011","Bridgeport School District","Skane Center","213","33","0","0","0","0","0","0","0","0","0","0","0","0","246"
"0153011","0150011","Bridgeport School District","Waltersville School","18","52","74","65","63","57","49","58","49","52","0","0","0","0","537"
"0150311","0150011","Bridgeport School District","Black Rock School","0","57","42","47","51","38","29","19","0","0","0","0","0","0","283"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","*","*","*","*","6","6","6","*","*","*","*","*","*","50"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","0","45","44","52","56","56","47","34","0","0","0","0","0","0","334"
"0153911","0150011","Bridgeport School District","Cross School","0","54","48","37","38","38","41","27","68","57","0","0","0","0","408"
"0154211","0150011","Bridgeport School District","Curiale School","0","64","67","61","59","59","73","42","82","89","0","0","0","0","596"
"0154111","0150011","Bridgeport School District","Dunbar School","0","39","35","39","33","30","32","31","41","35","0","0","0","0","315"
"0150711","0150011","Bridgeport School District","Edison School","0","43","39","30","44","38","36","25","0","0","0","0","0","0","255"
"0151111","0150011","Bridgeport School District","Hall School","0","46","38","49","45","50","44","34","0","0","0","0","0","0","306"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","0","45","49","49","49","47","49","44","50","49","0","0","0","0","431"
"0151311","0150011","Bridgeport School District","Hooker School","0","46","46","45","53","53","53","39","61","67","0","0","0","0","463"
"0152011","0150011","Bridgeport School District","Madison School","0","89","76","76","85","69","82","*","*","0","0","0","0","0","543"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","0","45","51","49","51","50","53","53","55","50","0","0","0","0","457"
"0153611","0150011","Bridgeport School District","Winthrop School","0","76","73","72","71","79","82","71","100","95","0","0","0","0","719"
"0159511","0150011","Bridgeport School District","Make The Grade","0","0","0","0","0","0","0","0","18","9","0","0","0","0","27"
"0159211","0150011","Bridgeport School District","Park City Academy","0","0","0","0","0","0","0","0","*","0","*","*","*","*","10"
"0156111","0150011","Bridgeport School District","Bassick High School","0","0","0","0","0","0","0","0","0","0","321","303","280","267","1171"
"0156211","0150011","Bridgeport School District","Central High School","0","0","0","0","0","0","0","0","0","0","674","561","582","486","2303"
"0156311","0150011","Bridgeport School District","Harding High School","0","0","0","0","0","0","0","0","0","0","306","349","368","371","1394"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","23","68","50","56","52","58","36","0","0","0","0","0","0","0","343"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","54","79","69","76","71","90","81","0","0","0","0","0","0","0","520"
"0170511","0170011","Bristol School District","Greene-Hills School","29","60","51","55","42","58","59","0","0","0","0","0","0","0","354"
"0171911","0170011","Bristol School District","Ivy Drive School","20","69","67","72","58","62","72","0","0","0","0","0","0","0","420"
"0171711","0170011","Bristol School District","Mountain View School","60","58","50","57","48","45","62","0","0","0","0","0","0","0","380"
"0171111","0170011","Bristol School District","South Side School","30","80","103","96","98","111","92","0","0","0","0","0","0","0","610"
"0171211","0170011","Bristol School District","Stafford School","93","81","82","72","64","74","78","0","0","0","0","0","0","0","544"
"0170311","0170011","Bristol School District","Edgewood School","0","77","58","81","57","60","63","0","0","0","0","0","0","0","396"
"0170611","0170011","Bristol School District","John J. Jennings School","0","68","60","62","55","67","54","0","0","0","0","0","0","0","366"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","0","0","0","*","*","*","*","*","*","*","*","0","27"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","0","0","0","0","0","0","0","288","296","297","0","0","0","0","881"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","0","0","0","0","0","0","0","169","168","178","0","0","0","0","515"
"0175211","0170011","Bristol School District","Northeast Middle School","0","0","0","0","0","0","0","182","197","184","0","0","0","0","563"
"0176111","0170011","Bristol School District","Bristol Central High School","0","0","0","0","0","0","0","0","0","0","393","327","318","272","1310"
"0176211","0170011","Bristol School District","Bristol Eastern High School","0","0","0","0","0","0","0","0","0","0","400","297","295","360","1352"
"0179211","0170011","Bristol School District","Community/Vocational Program","0","0","0","0","0","0","0","0","0","0","0","0","0","16","16"
"0180311","0180011","Brookfield School District","Center Elementary School","42","162","196","0","0","0","0","0","0","0","0","0","0","0","400"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","0","0","0","207","167","209","0","0","0","0","0","0","0","0","583"
"0185311","0180011","Brookfield School District","Whisconier Middle School","0","0","0","0","0","0","200","240","214","236","0","0","0","0","890"
"0186111","0180011","Brookfield School District","Brookfield High School","0","0","0","0","0","0","0","0","0","0","242","243","255","256","996"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","100","97","76","87","96","106","0","0","0","0","0","0","0","0","562"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","0","0","0","0","0","0","*","104","99","94","*","0","0","0","385"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","36","46","41","67","69","59","0","0","0","0","0","0","0","0","318"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","0","0","0","0","0","0","46","53","49","58","0","0","0","0","206"
"0230211","0230011","Canton School District","Cherry Brook Primary School","29","135","131","154","142","0","0","0","0","0","0","0","0","0","591"
"0230311","0230011","Canton School District","Canton Intermediate School","0","0","0","0","0","135","133","137","0","0","0","0","0","0","405"
"0235111","0230011","Canton School District","Canton Middle School","0","0","0","0","0","0","0","0","120","146","0","0","0","0","266"
"0236111","0230011","Canton School District","Canton High School","0","0","0","0","0","0","0","0","0","0","147","126","123","119","515"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","34","0","0","0","0","0","0","31","24","27","63","0","0","0","179"
"2418014","2410014","Capitol Region Education Council","CREC Early Learning Center at Asylum Hill","20","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","101","60","61","22","0","0","0","0","0","0","0","0","0","0","244"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","82","46","49","36","44","35","36","9","0","0","0","0","0","0","337"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","122","57","57","19","0","0","0","0","0","0","0","0","0","0","255"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","9","9","*","*","*","7","9","*","*","*","*","0","0","0","52"
"2419114","2410014","Capitol Region Education Council","Soundbridge","64","*","*","*","0","*","*","0","*","6","*","*","*","6","103"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","75","61","62","62","62","58","50","0","0","0","0","0","0","0","430"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","0","43","42","45","44","45","43","0","0","0","0","0","0","0","262"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","0","*","0","0","0","0","0","*","0","0","0","*","*","*","*"
"2419314","2410014","Capitol Region Education Council","River Street School","0","0","*","*","10","6","12","6","8","11","13","13","20","45","151"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","0","0","0","0","0","0","0","114","116","112","109","93","71","96","711"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","0","0","0","0","0","0","0","54","72","43","81","27","16","0","293"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","0","0","0","0","0","0","0","232","233","193","0","0","0","0","658"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","0","0","0","0","0","0","0","0","38","41","56","50","29","0","214"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","0","0","0","0","0","0","0","0","*","*","*","8","*","*","21"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","0","0","0","0","0","0","0","0","*","7","*","14","10","9","46"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","0","0","0","0","0","0","0","0","0","0","109","101","107","55","372"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","0","0","0","0","0","0","0","0","0","0","0","90","87","107","284"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","0","0","0","0","0","0","0","0","0","0","0","*","*","*","9"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","33","20","19","20","21","19","24","31","0","0","0","0","0","0","187"
"2870113","2870013","Charter School for Young Children on Asylum Hill District","Charter School for Young Children on Asylum Hill  Inc.","92","45","41","47","0","0","0","0","0","0","0","0","0","0","225"
"0250211","0250011","Cheshire School District","Darcey School","85","258","0","0","0","0","0","0","0","0","0","0","0","0","343"
"0250411","0250011","Cheshire School District","Highland School","0","0","122","136","126","143","148","152","0","0","0","0","0","0","827"
