"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","720","136","*","10","*","870"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","561","343","0","17","*","937"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","12","0","7","273","298"
"0026111","0020011","Ansonia School District","Ansonia High School","*","9","131","148","*","*","308","602"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","12","103","150","*","7","216","493"
"0020311","0020011","Ansonia School District","Mead School","*","*","98","196","8","19","240","566"
"0020811","0020011","Ansonia School District","Prendergast School","*","15","96","212","*","20","311","661"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","*","*","0","*","27","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","*","0","62","50","0","*","28","151"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","34","101","294","0","*","275","711"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","10","29","33","0","*","77","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","32","36","0","*","41","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","40","32","0","*","*","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","9","8","0","*","19","39"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","28","289","115","0","*","169","631"
"0030111","0030011","Ashford School District","Ashford School","0","*","*","26","0","7","383","423"
"0046111","0040011","Avon School District","Avon High School","*","93","36","62","*","30","834","1057"
"0045111","0040011","Avon School District","Avon Middle School","*","57","*","32","0","23","454","584"
"0040411","0040011","Avon School District","Pine Grove School","*","89","25","36","*","16","425","594"
"0040311","0040011","Avon School District","Roaring Brook School","*","55","*","45","0","30","416","573"
"0040511","0040011","Avon School District","Thompson Brook School","*","75","21","27","0","*","425","563"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","*","0","*","280","288"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","0","0","0","0","0","18","18"
"0076111","0070011","Berlin School District","Berlin High School","*","34","25","65","*","18","789","933"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","21","21","65","0","*","567","691"
"0070411","0070011","Berlin School District","Emma Hart Willard School","0","20","9","43","0","15","427","514"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","13","*","39","0","26","478","562"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","*","7","43","0","*","196","251"
