"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","646","106","*","6","*","762"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","536","295","0","13","*","857"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","*","0","9","292","314"
"0026111","0020011","Ansonia School District","Ansonia High School","0","*","155","155","*","0","375","695"
"0025111","0020011","Ansonia School District","Ansonia Middle School","6","*","98","122","*","0","240","472"
"0020311","0020011","Ansonia School District","Mead School","*","7","119","166","7","*","302","610"
"0020811","0020011","Ansonia School District","Prendergast School","*","12","148","205","9","*","358","738"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","*","*","0","*","19","31"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","62","49","0","*","37","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","24","111","278","0","*","290","721"
"2449514","2440014","Area Cooperative Educational Services","Village School","0","10","33","26","0","0","79","148"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","*","*","41","32","0","*","36","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","50","30","0","*","*","94"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","12","*","0","*","26","47"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","37","261","107","0","*","200","640"
"0030111","0030011","Ashford School District","Ashford School","0","7","*","37","*","12","420","481"
"0046111","0040011","Avon School District","Avon High School","*","78","33","49","*","23","924","1112"
"0045111","0040011","Avon School District","Avon Middle School","0","48","15","39","0","13","457","572"
"0040411","0040011","Avon School District","Pine Grove School","*","80","23","45","0","*","464","631"
"0040311","0040011","Avon School District","Roaring Brook School","0","51","*","33","*","21","466","590"
"0040511","0040011","Avon School District","Thompson Brook School","*","55","*","31","0","25","468","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","*","0","*","328","338"
