"school_code","district_code","district","school","2010_11","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","610","610"
"2795113","2790013","Amistad Academy District","Amistad Academy","812","812"
"0010111","0010011","Andover School District","Andover Elementary School","334","334"
"0026111","0020011","Ansonia School District","Ansonia High School","727","727"
"0025111","0020011","Ansonia School District","Ansonia Middle School","458","458"
"0020311","0020011","Ansonia School District","Mead School","642","642"
"0020811","0020011","Ansonia School District","Prendergast School","787","787"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","19","19"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","170","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","720","720"
"2449514","2440014","Area Cooperative Educational Services","Village School","153","153"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","128","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","102","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","53","53"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","646","646"
"0030111","0030011","Ashford School District","Ashford School","476","476"
"0046111","0040011","Avon School District","Avon High School","1088","1088"
"0045111","0040011","Avon School District","Avon Middle School","584","584"
"0040411","0040011","Avon School District","Pine Grove School","631","631"
"0040311","0040011","Avon School District","Roaring Brook School","651","651"
"0040511","0040011","Avon School District","Thompson Brook School","594","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","343","343"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","30","30"
"0076111","0070011","Berlin School District","Berlin High School","1017","1017"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","719","719"
"0070411","0070011","Berlin School District","Emma Hart Willard School","535","535"
"0070511","0070011","Berlin School District","Mary E. Griswold School","585","585"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","261","261"
"0080111","0080011","Bethany School District","Bethany Community School","512","512"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","384","384"
"0096111","0090011","Bethel School District","Bethel High School","959","959"
"0095111","0090011","Bethel School District","Bethel Middle School","683","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","460","460"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","452","452"
"0116111","0110011","Bloomfield School District","Bloomfield High School","593","593"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","305","305"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","265","265"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","351","351"
"0110611","0110011","Bloomfield School District","Laurel School","281","281"
"0116211","0110011","Bloomfield School District","The Big Picture High School","89","89"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","312","312"
"0120111","0120011","Bolton School District","Bolton Center School","568","568"
"0126111","0120011","Bolton School District","Bolton High School","330","330"
"0130111","0130011","Bozrah School District","Fields Memorial School","233","233"
"0146111","0140011","Branford School District","Branford High School","1098","1098"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1040","1040"
"0148011","0140011","Branford School District","Indian Neck School","53","53"
"0141611","0140011","Branford School District","John B. Sliney School","368","368"
"0141511","0140011","Branford School District","Mary R. Tisko School","426","426"
"0141411","0140011","Branford School District","Mary T. Murphy School","431","431"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","409","409"
"0150111","0150011","Bridgeport School District","Barnum School","632","632"
"0156111","0150011","Bridgeport School District","Bassick High School","1171","1171"
"0150211","0150011","Bridgeport School District","Beardsley School","370","370"
"0150311","0150011","Bridgeport School District","Black Rock School","283","283"
"0154011","0150011","Bridgeport School District","Blackham School","1114","1114"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","50","50"
"0150411","0150011","Bridgeport School District","Bryant School","439","439"
"0156211","0150011","Bridgeport School District","Central High School","2303","2303"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1063","1063"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","334","334"
"0150511","0150011","Bridgeport School District","Columbus School","663","663"
"0153911","0150011","Bridgeport School District","Cross School","408","408"
"0154211","0150011","Bridgeport School District","Curiale School","596","596"
"0154111","0150011","Bridgeport School District","Dunbar School","315","315"
"0150711","0150011","Bridgeport School District","Edison School","255","255"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","868","868"
"0151111","0150011","Bridgeport School District","Hall School","306","306"
"0151211","0150011","Bridgeport School District","Hallen School","316","316"
"0156311","0150011","Bridgeport School District","Harding High School","1394","1394"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","431","431"
"0151311","0150011","Bridgeport School District","Hooker School","463","463"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","130","130"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","654","654"
"0151911","0150011","Bridgeport School District","Longfellow School","426","426"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","854","854"
"0152011","0150011","Bridgeport School District","Madison School","543","543"
"0159511","0150011","Bridgeport School District","Make The Grade","27","27"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","457","457"
"0158011","0150011","Bridgeport School District","Parent-Children Program","*","*"
"0159211","0150011","Bridgeport School District","Park City Academy","10","10"
"0151711","0150011","Bridgeport School District","Park City Magnet School","511","511"
"0152511","0150011","Bridgeport School District","Read School","822","822"
"0152611","0150011","Bridgeport School District","Roosevelt School","462","462"
"0154411","0150011","Bridgeport School District","Skane Center","246","246"
"0153011","0150011","Bridgeport School District","Waltersville School","537","537"
"0153611","0150011","Bridgeport School District","Winthrop School","719","719"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","27","27"
"0176111","0170011","Bristol School District","Bristol Central High School","1310","1310"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1352","1352"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","881","881"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","343","343"
"0179211","0170011","Bristol School District","Community/Vocational Program","16","16"
"0170311","0170011","Bristol School District","Edgewood School","396","396"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","520","520"
"0170511","0170011","Bristol School District","Greene-Hills School","354","354"
"0171911","0170011","Bristol School District","Ivy Drive School","420","420"
"0170611","0170011","Bristol School District","John J. Jennings School","366","366"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","515","515"
"0171711","0170011","Bristol School District","Mountain View School","380","380"
"0175211","0170011","Bristol School District","Northeast Middle School","563","563"
"0171111","0170011","Bristol School District","South Side School","610","610"
"0171211","0170011","Bristol School District","Stafford School","544","544"
"0186111","0180011","Brookfield School District","Brookfield High School","996","996"
"0180311","0180011","Brookfield School District","Center Elementary School","400","400"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","583","583"
"0185311","0180011","Brookfield School District","Whisconier Middle School","890","890"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","562","562"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","385","385"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","86","86"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","318","318"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","206","206"
"0236111","0230011","Canton School District","Canton High School","515","515"
"0230311","0230011","Canton School District","Canton Intermediate School","405","405"
"0235111","0230011","Canton School District","Canton Middle School","266","266"
"0230211","0230011","Canton School District","Cherry Brook Primary School","591","591"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","214","214"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","179","179"
"2418014","2410014","Capitol Region Education Council","CREC Early Learning Center at Asylum Hill","20","20"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","21","21"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","262","262"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","284","284"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","372","372"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","244","244"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","46","46"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","9","9"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","711","711"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","337","337"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","293","293"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","255","255"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","52","52"
"2419314","2410014","Capitol Region Education Council","River Street School","151","151"
"2419114","2410014","Capitol Region Education Council","Soundbridge","103","103"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","658","658"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","430","430"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","187","187"
"2870113","2870013","Charter School for Young Children on Asylum Hill District","Charter School for Young Children on Asylum Hill  Inc.","225","225"
"0250111","0250011","Cheshire School District","Chapman School","300","300"
"0256111","0250011","Cheshire School District","Cheshire High School","1516","1516"
"0250211","0250011","Cheshire School District","Darcey School","343","343"
"0255111","0250011","Cheshire School District","Dodd Middle School","786","786"
"0250611","0250011","Cheshire School District","Doolittle School","517","517"
"0250411","0250011","Cheshire School District","Highland School","827","827"
"0259011","0250011","Cheshire School District","Humiston School","22","22"
"0250511","0250011","Cheshire School District","Norton School","487","487"
"0260111","0260011","Chester School District","Chester Elementary School","275","275"
"0270111","0270011","Clinton School District","Abraham Pierson School","304","304"
"0275111","0270011","Clinton School District","Jared Eliot School","492","492"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","683","683"
"0276111","0270011","Clinton School District","The Morgan School","557","557"
"0286111","0280011","Colchester School District","Bacon Academy","987","987"
"0280411","0280011","Colchester School District","Colchester Elementary School","698","698"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","688","688"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","705","705"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","112","112"
"0300111","0300011","Columbia School District","Horace W. Porter School","539","539"
"2686113","2680013","Common Ground High School District","Common Ground High School","163","163"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","726","726"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","872","872"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","596","596"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","539","539"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","583","583"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","535","535"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","794","794"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","558","558"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","640","640"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","658","658"
