"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","531","70","0","6","*","610"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","515","279","0","*","9","812"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","7","0","10","308","334"
"0026111","0020011","Ansonia School District","Ansonia High School","*","8","178","156","*","0","378","727"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","92","113","*","0","243","458"
"0020311","0020011","Ansonia School District","Mead School","*","10","136","159","8","*","326","642"
"0020811","0020011","Ansonia School District","Prendergast School","*","*","161","197","8","0","409","787"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","*","*","0","0","11","19"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","74","47","0","*","41","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","22","116","286","0","*","279","720"
"2449514","2440014","Area Cooperative Educational Services","Village School","0","*","31","25","0","*","88","153"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","*","*","41","35","0","*","47","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","*","0","45","38","0","*","17","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","12","10","0","*","29","53"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","41","254","111","0","*","216","646"
"0030111","0030011","Ashford School District","Ashford School","0","*","*","33","0","12","420","476"
"0046111","0040011","Avon School District","Avon High School","0","67","28","52","*","*","926","1088"
"0045111","0040011","Avon School District","Avon Middle School","*","55","22","39","0","*","446","584"
"0040411","0040011","Avon School District","Pine Grove School","*","70","20","45","*","17","476","631"
"0040311","0040011","Avon School District","Roaring Brook School","0","62","*","32","*","20","519","651"
"0040511","0040011","Avon School District","Thompson Brook School","*","50","*","33","0","22","473","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","0","*","0","*","333","343"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","*","0","0","*","0","0","28","30"
