"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","28","35","43","45","41","50","33","39","0","0","0","0","0","0","314"
"0025111","0020011","Ansonia School District","Ansonia Middle School","103","0","0","0","0","0","0","0","187","182","0","0","0","0","472"
"0020311","0020011","Ansonia School District","Mead School","0","80","95","88","89","83","93","82","0","0","0","0","0","0","610"
"0020811","0020011","Ansonia School District","Prendergast School","0","94","117","106","100","105","111","105","0","0","0","0","0","0","738"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","188","157","174","176","695"
"2449514","2440014","Area Cooperative Educational Services","Village School","6","7","7","11","17","19","19","25","16","17","0","*","*","*","148"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","12","23","24","27","15","26","19","0","0","0","0","160"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","60","66","72","75","75","75","75","73","69","0","0","0","0","640"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","*","*","9","*","*","*","*","*","31"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","250","241","230","0","0","0","0","721"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","*","*","19","20","66","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","18","24","20","32","94"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","*","*","8","33","47"
"0030111","0030011","Ashford School District","Ashford School","48","56","49","39","52","33","51","51","52","50","0","0","0","0","481"
"0040411","0040011","Avon School District","Pine Grove School","45","89","100","123","129","145","0","0","0","0","0","0","0","0","631"
"0040311","0040011","Avon School District","Roaring Brook School","0","77","110","134","133","136","0","0","0","0","0","0","0","0","590"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","286","308","0","0","0","0","0","0","594"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","288","284","0","0","0","0","572"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","281","284","265","282","1112"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","19","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","42","50","44","59","35","55","53","0","0","0","0","0","0","338"
"0070411","0070011","Berlin School District","Emma Hart Willard School","38","45","75","77","86","77","94","0","0","0","0","0","0","0","492"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","80","106","96","108","91","96","0","0","0","0","0","0","0","577"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","28","49","33","43","41","47","0","0","0","0","0","0","0","241"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","235","237","258","0","0","0","0","730"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","211","234","263","268","976"
"0080111","0080011","Bethany School District","Bethany Community School","11","47","55","66","75","80","89","68","0","0","0","0","0","0","491"
"0090111","0090011","Bethel School District","Frank A. Berry School","111","99","86","85","112","0","0","0","0","0","0","0","0","0","493"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","101","88","89","111","0","0","0","0","0","0","0","0","0","389"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","210","237","0","0","0","0","0","0","0","447"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","221","224","248","0","0","0","0","693"
"0096111","0090011","Bethel School District","Bethel High School","0","0","0","0","0","0","0","0","0","0","234","242","241","232","949"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","216","105","0","0","0","0","0","0","0","0","0","0","0","0","321"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","0","81","119","122","0","0","0","0","0","0","0","0","0","0","322"
"0110511","0110011","Bloomfield School District","Metacomet School","0","0","0","0","122","129","0","0","0","0","0","0","0","0","251"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","0","0","0","0","0","133","130","0","0","0","0","0","0","263"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","0","0","0","0","0","0","0","157","129","0","0","0","0","286"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","0","0","0","0","0","0","0","0","0","153","157","147","146","603"
"0116211","0110011","Bloomfield School District","The Big Picture High School","0","0","0","0","0","0","0","0","0","0","32","28","31","14","105"
