"school_code","district_code","district","school","female","male","total"
"2795113","2790013","Amistad Academy District","Amistad Academy","263","284","547"
"0010111","0010011","Andover School District","Andover Elementary School","151","196","347"
"0026111","0020011","Ansonia School District","Ansonia High School","380","380","760"
"0025111","0020011","Ansonia School District","Ansonia Middle School","290","306","596"
"0020311","0020011","Ansonia School District","Mead School","274","325","599"
"0020811","0020011","Ansonia School District","Prendergast School","364","412","776"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","8","11","19"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","40","59","99"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","33","143","176"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","368","384","752"
"2449514","2440014","Area Cooperative Educational Services","Village School","45","129","174"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","33","92","125"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","18","74","92"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","21","35","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","306","299","605"
"0030111","0030011","Ashford School District","Ashford School","234","266","500"
"0046111","0040011","Avon School District","Avon High School","511","525","1036"
"0045111","0040011","Avon School District","Avon Middle School","278","304","582"
"0040411","0040011","Avon School District","Pine Grove School","293","325","618"
"0040311","0040011","Avon School District","Roaring Brook School","390","386","776"
"0040511","0040011","Avon School District","Thompson Brook School","313","277","590"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","146","182","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","12","18","30"
"0076111","0070011","Berlin School District","Berlin High School","498","565","1063"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","390","388","778"
"0070411","0070011","Berlin School District","Emma Hart Willard School","252","325","577"
"0070511","0070011","Berlin School District","Mary E. Griswold School","273","316","589"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","112","151","263"
"0080111","0080011","Bethany School District","Bethany Community School","269","300","569"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","200","225","425"
"0096111","0090011","Bethel School District","Bethel High School","523","511","1034"
"0095111","0090011","Bethel School District","Bethel Middle School","365","378","743"
"0090111","0090011","Bethel School District","Frank A. Berry School","226","262","488"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","222","232","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","307","318","625"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","177","171","348"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","167","175","342"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","138","177","315"
"0110611","0110011","Bloomfield School District","Laurel School","116","152","268"
"0110511","0110011","Bloomfield School District","Metacomet School","113","125","238"
"0116211","0110011","Bloomfield School District","The Big Picture High School","51","28","79"
"0120111","0120011","Bolton School District","Bolton Center School","297","300","597"
"0126111","0120011","Bolton School District","Bolton High School","147","128","275"
"0130111","0130011","Bozrah School District","Fields Memorial School","144","120","264"
"0146111","0140011","Branford School District","Branford High School","577","569","1146"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","554","528","1082"
"0148011","0140011","Branford School District","Indian Neck School","18","40","58"
"0141611","0140011","Branford School District","John B. Sliney School","170","175","345"
"0141511","0140011","Branford School District","Mary R. Tisko School","213","217","430"
"0141411","0140011","Branford School District","Mary T. Murphy School","189","227","416"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","46","39","85"
"0150111","0150011","Bridgeport School District","Barnum School","135","144","279"
"0156111","0150011","Bridgeport School District","Bassick High School","599","686","1285"
"0150211","0150011","Bridgeport School District","Beardsley School","311","296","607"
"0150311","0150011","Bridgeport School District","Black Rock School","123","149","272"
"0154011","0150011","Bridgeport School District","Blackham School","554","623","1177"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","15","39","54"
"0150411","0150011","Bridgeport School District","Bryant School","205","208","413"
"0156211","0150011","Bridgeport School District","Central High School","1192","1147","2339"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","558","604","1162"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","195","180","375"
"0150511","0150011","Bridgeport School District","Columbus School","370","393","763"
"0153911","0150011","Bridgeport School District","Cross School","194","212","406"
"0154211","0150011","Bridgeport School District","Curiale School","278","314","592"
"0154111","0150011","Bridgeport School District","Dunbar School","186","177","363"
"0150711","0150011","Bridgeport School District","Edison School","198","210","408"
"0150911","0150011","Bridgeport School District","Garfield School","139","139","278"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","88","108","196"
"0151111","0150011","Bridgeport School District","Hall School","160","184","344"
"0151211","0150011","Bridgeport School District","Hallen School","152","170","322"
"0156311","0150011","Bridgeport School District","Harding High School","832","890","1722"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","230","214","444"
"0151311","0150011","Bridgeport School District","Hooker School","204","246","450"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","173","156","329"
"0151911","0150011","Bridgeport School District","Longfellow School","239","236","475"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","425","421","846"
"0152011","0150011","Bridgeport School District","Madison School","247","315","562"
