"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","251","139","50","440"
"2795113","2790013","Amistad Academy District","Amistad Academy","378","251","115","744"
"0010111","0010011","Andover School District","Andover Elementary School","22","302","12","336"
"0026111","0020011","Ansonia School District","Ansonia High School","352","333","92","777"
"0025111","0020011","Ansonia School District","Ansonia Middle School","168","256","53","477"
"0020311","0020011","Ansonia School District","Mead School","348","253","59","660"
"0020811","0020011","Ansonia School District","Prendergast School","389","293","129","811"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","52","43","15","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","106","27","15","148"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","342","291","100","733"
"2449514","2440014","Area Cooperative Educational Services","Village School","51","109","16","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","99","16","8","123"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","78","11","11","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","43","*","*","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","143","412","75","630"
"0030111","0030011","Ashford School District","Ashford School","72","371","32","475"
"0046111","0040011","Avon School District","Avon High School","17","1043","19","1079"
"0045111","0040011","Avon School District","Avon Middle School","14","576","11","601"
"0040411","0040011","Avon School District","Pine Grove School","30","615","10","655"
"0040311","0040011","Avon School District","Roaring Brook School","11","663","8","682"
"0040511","0040011","Avon School District","Thompson Brook School","19","539","10","568"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","328","*","345"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","22","0","22"
"0076111","0070011","Berlin School District","Berlin High School","46","962","14","1022"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","34","689","10","733"
"0070411","0070011","Berlin School District","Emma Hart Willard School","40","542","6","588"
"0070511","0070011","Berlin School District","Mary E. Griswold School","20","532","12","564"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","11","235","6","252"
"0080111","0080011","Bethany School District","Bethany Community School","12","495","8","515"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","40","363","17","420"
"0096111","0090011","Bethel School District","Bethel High School","69","881","37","987"
"0095111","0090011","Bethel School District","Bethel Middle School","81","580","42","703"
"0090111","0090011","Bethel School District","Frank A. Berry School","44","444","9","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","55","365","15","435"
"0116111","0110011","Bloomfield School District","Bloomfield High School","216","339","74","629"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","101","141","52","294"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","134","137","43","314"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","94","141","19","254"
"0110611","0110011","Bloomfield School District","Laurel School","95","145","24","264"
"0110511","0110011","Bloomfield School District","Metacomet School","76","79","27","182"
"0116211","0110011","Bloomfield School District","The Big Picture High School","28","51","9","88"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","19","223","12","254"
"0120111","0120011","Bolton School District","Bolton Center School","36","527","20","583"
"0126111","0120011","Bolton School District","Bolton High School","15","276","6","297"
"0130111","0130011","Bozrah School District","Fields Memorial School","23","214","19","256"
"0146111","0140011","Branford School District","Branford High School","107","949","53","1109"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","148","886","79","1113"
"0148011","0140011","Branford School District","Indian Neck School","*","51","*","58"
"0141611","0140011","Branford School District","John B. Sliney School","59","269","33","361"
"0141511","0140011","Branford School District","Mary R. Tisko School","31","373","24","428"
