"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"0320211","0320011","Coventry School District","Coventry Grammar School","46","327","7","380"
"0326111","0320011","Coventry School District","Coventry High School","60","446","18","524"
"0320411","0320011","Coventry School District","George Hersey Robertson School","62","322","17","401"
"0336111","0330011","Cromwell School District","Cromwell High School","62","467","17","546"
"0335111","0330011","Cromwell School District","Cromwell Middle School","75","399","26","500"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","53","404","23","480"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","65","370","21","456"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","52","28","11","91"
"0345111","0340011","Danbury School District","Broadview Middle School","404","590","128","1122"
"0346111","0340011","Danbury School District","Danbury High School","1031","1625","233","2889"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","208","109","61","378"
"0341111","0340011","Danbury School District","Great Plain School","108","177","29","314"
"0340211","0340011","Danbury School District","Hayestown Avenue School","178","176","42","396"
"0341711","0340011","Danbury School District","King Street Intermediate School","107","219","46","372"
"0341311","0340011","Danbury School District","King Street Primary School","133","252","30","415"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","18","130","0","148"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","143","244","39","426"
"0340611","0340011","Danbury School District","Morris Street School","259","69","78","406"
"0340811","0340011","Danbury School District","Park Avenue School","270","107","49","426"
"0341511","0340011","Danbury School District","Pembroke School","124","206","36","366"
"0345211","0340011","Danbury School District","Rogers Park Middle School","511","467","132","1110"
"0341211","0340011","Danbury School District","Shelter Rock School","174","198","47","419"
"0341011","0340011","Danbury School District","South Street School","214","94","35","343"
"0341611","0340011","Danbury School District","Stadley Rough School","171","258","38","467"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","36","335","18","389"
"0356111","0350011","Darien School District","Darien High School","0","1315","0","1315"
"0350211","0350011","Darien School District","Hindley Elementary School","0","570","0","570"
"0350711","0350011","Darien School District","Holmes Elementary School","*","413","*","419"
"0355111","0350011","Darien School District","Middlesex Middle School","0","1154","0","1154"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","0","465","0","465"
"0350511","0350011","Darien School District","Royle Elementary School","0","409","0","409"
"0350611","0350011","Darien School District","Tokeneke Elementary School","0","483","0","483"
"0360111","0360011","Deep River School District","Deep River Elementary School","41","310","6","357"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","0","*","0","*"
"0370611","0370011","Derby School District","Bradley School","96","234","21","351"
"0376111","0370011","Derby School District","Derby High School","122","204","33","359"
"0375011","0370011","Derby School District","Derby Middle School","144","156","34","334"
"0370411","0370011","Derby School District","Irving School","245","125","32","402"
"0400111","0400011","East Granby School District","Allgrove School","9","229","0","238"
"0406111","0400011","East Granby School District","East Granby High School","*","*","0","263"
"0405111","0400011","East Granby School District","East Granby Middle School","12","204","0","216"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","6","123","0","129"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","25","335","11","371"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","24","373","9","406"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","35","444","18","497"
"0420311","0420011","East Hampton School District","Center School","21","275","7","303"
"0426111","0420011","East Hampton School District","East Hampton High School","29","504","17","550"
"0425111","0420011","East Hampton School District","East Hampton Middle School","44","408","17","469"
"0420111","0420011","East Hampton School District","Memorial School","37","572","12","621"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","*","*","*","*"
"0430911","0430011","East Hartford School District","Anna E. Norris School","177","79","18","274"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","23","151","14","188"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","275","106","20","401"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","216","147","18","381"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","98","193","22","313"
"0436211","0430011","East Hartford School District","East Hartford High School","759","791","182","1732"
"0435111","0430011","East Hartford School District","East Hartford Middle School","566","366","119","1051"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","125","201","35","361"
"0430511","0430011","East Hartford School District","Hockanum School","162","108","27","297"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","139","172","37","348"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","327","179","41","547"
"0431211","0430011","East Hartford School District","Silver Lane School","193","74","20","287"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","88","*","*","151"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","201","156","47","404"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","153","*","*","233"
"0439011","0430011","East Hartford School District","Woodland School","88","89","9","186"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","47","205","33","285"
"0441411","0440011","East Haven School District","D. C. Moore School","109","140","17","266"
"0440111","0440011","East Haven School District","Deer Run School","79","185","41","305"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","80","134","37","251"
"0446111","0440011","East Haven School District","East Haven High School","260","491","134","885"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","86","78","32","196"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","256","288","103","647"
"0440711","0440011","East Haven School District","Momauguin School","75","66","25","166"
"0441811","0440011","East Haven School District","Overbrook Elementary School","76","137","23","236"
"0449011","0440011","East Haven School District","Pathways","21","*","*","36"
"0456111","0450011","East Lyme School District","East Lyme High School","58","1089","15","1162"
"0455111","0450011","East Lyme School District","East Lyme Middle School","72","752","30","854"
"0450111","0450011","East Lyme School District","Flanders School","21","330","11","362"
"0458011","0450011","East Lyme School District","Integrated Preschool","0","51","0","51"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","36","288","14","338"
"0450211","0450011","East Lyme School District","Niantic Center School","22","178","11","211"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","155","355","22","532"
"0476111","0470011","East Windsor School District","East Windsor High School","104","242","28","374"
"0475411","0470011","East Windsor School District","East Windsor Middle School","125","230","23","378"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","7","112","7","126"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","22","29","8","59"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","*","93","*","110"
"0390111","0390011","Eastford School District","Eastford Elementary School","27","149","0","176"
"0465111","0460011","Easton School District","Helen Keller Middle School","*","386","*","391"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","8","652","6","666"
"2428014","2420014","EdAdvance","EdAdvance Headstart","184","13","0","197"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","13","11","0","24"
"0480111","0480011","Ellington School District","Center School","39","403","6","448"
"0480211","0480011","Ellington School District","Crystal Lake School","*","202","*","217"
"0486111","0480011","Ellington School District","Ellington High School","61","725","14","800"
"0485111","0480011","Ellington School District","Ellington Middle School","34","377","10","421"
"0480711","0480011","Ellington School District","Windermere Intermediate School","31","378","10","419"
"0480611","0480011","Ellington School District","Windermere School","33","403","6","442"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","364","145","91","600"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","112","262","27","401"
"0491611","0490011","Enfield School District","Eli Whitney School","128","259","29","416"
"0496111","0490011","Enfield School District","Enfield High School","189","496","59","744"
"0490211","0490011","Enfield School District","Enfield Street School","118","159","23","300"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","*","*","0","10"
"0496211","0490011","Enfield School District","Enrico Fermi High School","177","802","79","1058"
"0490411","0490011","Enfield School District","Hazardville Memorial School","126","229","11","366"
"0498011","0490011","Enfield School District","Head Start Program","104","0","0","104"
"0491811","0490011","Enfield School District","Henry Barnard School","109","235","18","362"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","314","798","89","1201"
"0491111","0490011","Enfield School District","Nathan Hale School","39","211","8","258"
"0491511","0490011","Enfield School District","Prudence Crandall School","125","275","33","433"
"0500111","0500011","Essex School District","Essex Elementary School","29","511","18","558"
"2726113","2720013","Explorations District","Explorations","27","47","0","74"
"0510211","0510011","Fairfield School District","Burr Elementary School","9","428","6","443"
"0510111","0510011","Fairfield School District","Dwight Elementary School","*","285","*","291"
"0518011","0510011","Fairfield School District","Early Childhood Center","6","124","0","130"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","90","1409","38","1537"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","132","1176","45","1353"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","42","714","13","769"
"0510411","0510011","Fairfield School District","Holland Hill School","43","291","18","352"
"0511711","0510011","Fairfield School District","Jennings School","*","330","*","361"
"0510611","0510011","Fairfield School District","McKinley School","113","291","49","453"
"0510711","0510011","Fairfield School District","Mill Hill School","18","433","8","459"
"0511611","0510011","Fairfield School District","North Stratfield School","17","458","10","485"
"0511811","0510011","Fairfield School District","Osborn Hill School","*","529","*","542"
"0511211","0510011","Fairfield School District","Riverfield School","16","397","6","419"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","80","882","35","997"
"0511311","0510011","Fairfield School District","Sherman School","*","441","*","456"
"0511411","0510011","Fairfield School District","Stratfield School","*","497","*","511"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","63","668","25","756"
"0520411","0520011","Farmington School District","East Farms School","*","443","*","464"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","*","*","0","69"
"0526111","0520011","Farmington School District","Farmington High School","87","1185","21","1293"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","42","598","12","652"
"0520211","0520011","Farmington School District","Noah Wallace School","*","321","*","341"
"0520111","0520011","Farmington School District","Union School","35","264","8","307"
"0520311","0520011","Farmington School District","West District School","15","326","6","347"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","43","524","8","575"
"0530111","0530011","Franklin School District","Franklin Elementary School","*","173","*","204"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","31","505","9","545"
"0540311","0540011","Glastonbury School District","Eastbury School","0","*","*","320"
"0540811","0540011","Glastonbury School District","Gideon Welles School","24","469","13","506"
"0546111","0540011","Glastonbury School District","Glastonbury High School","136","2028","40","2204"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","*","452","*","466"
"0540611","0540011","Glastonbury School District","Hopewell School","20","455","6","481"
"0540711","0540011","Glastonbury School District","Naubuc School","82","343","26","451"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","30","606","10","646"
"0545211","0540011","Glastonbury School District","Smith Middle School","60","992","24","1076"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","*","362","*","392"
"0566111","0560011","Granby School District","Granby Memorial High School","36","705","15","756"
"0565111","0560011","Granby School District","Granby Memorial Middle School","*","326","*","356"
"0560411","0560011","Granby School District","Kelly Lane Primary School","*","299","*","327"
"0560311","0560011","Granby School District","Wells Road Intermediate School","36","282","9","327"
"0575111","0570011","Greenwich School District","Central Middle School","57","537","10","604"
"0570211","0570011","Greenwich School District","Cos Cob School","28","363","11","402"
"0575211","0570011","Greenwich School District","Eastern Middle School","*","744","*","774"
"0570411","0570011","Greenwich School District","Glenville School","17","354","14","385"
"0576111","0570011","Greenwich School District","Greenwich High School","265","2309","82","2656"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","144","201","68","413"
"0571311","0570011","Greenwich School District","International School At Dundee","24","332","10","366"
"0570311","0570011","Greenwich School District","Julian Curtiss School","88","241","14","343"
"0570611","0570011","Greenwich School District","New Lebanon School","99","115","47","261"
"0570711","0570011","Greenwich School District","North Mianus School","*","435","*","461"
"0570811","0570011","Greenwich School District","North Street School","9","422","7","438"
"0570911","0570011","Greenwich School District","Old Greenwich School","*","418","*","428"
"0571111","0570011","Greenwich School District","Parkway School","*","261","*","268"
"0571011","0570011","Greenwich School District","Riverside School","*","518","*","522"
"0575311","0570011","Greenwich School District","Western Middle School","126","309","39","474"
"0580311","0580011","Griswold School District","Griswold Elementary School","195","480","52","727"
"0586211","0580011","Griswold School District","Griswold High School","145","456","51","652"
"0585111","0580011","Griswold School District","Griswold Middle School","175","362","49","586"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","30","309","16","355"
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","302","164","20","486"
"0591811","0590011","Groton School District","Charles Barnum School","60","268","64","392"
"0590311","0590011","Groton School District","Claude Chester School","150","162","22","334"
"0595111","0590011","Groton School District","Fitch Middle School","106","241","60","407"
"0591711","0590011","Groton School District","Mary Morrisson School","75","230","68","373"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","64","349","12","425"
"0591211","0590011","Groton School District","Pleasant Valley School","109","221","26","356"
"0596111","0590011","Groton School District","Robert E. Fitch High School","268","873","96","1237"
"0590111","0590011","Groton School District","S. B. Butler School","29","280","12","321"
"0595211","0590011","Groton School District","West Side Middle School","141","106","21","268"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","20","546","19","585"
"0600611","0600011","Guilford School District","A. W. Cox School","12","294","7","313"
"0600411","0600011","Guilford School District","Calvin Leete School","10","311","6","327"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","31","500","20","551"
"0606111","0600011","Guilford School District","Guilford High School","63","1035","33","1131"
"0600211","0600011","Guilford School District","Guilford Lakes School","16","366","7","389"
"0600311","0600011","Guilford School District","Melissa Jones School","15","328","17","360"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","0","89","0","89"
"0621211","0620011","Hamden School District","Bear Path School","45","405","18","468"
"0620211","0620011","Hamden School District","Church Street School","256","110","40","406"
"0620311","0620011","Hamden School District","Dunbar Hill School","108","192","21","321"
"0626111","0620011","Hamden School District","Hamden High School","540","1197","116","1853"
"0625211","0620011","Hamden School District","Hamden Middle School","302","546","59","907"
"0620411","0620011","Hamden School District","Helen Street School","138","100","29","267"
"0621111","0620011","Hamden School District","Ridge Hill School","160","129","32","321"
"0620111","0620011","Hamden School District","Shepherd Glen School","232","105","0","337"
"0621011","0620011","Hamden School District","Spring Glen School","73","312","9","394"
