"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","782","42","824"
"2795113","2790013","Amistad Academy District","Amistad Academy","830","74","904"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","314"
"0026111","0020011","Ansonia School District","Ansonia High School","618","13","631"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","463"
"0020311","0020011","Ansonia School District","Mead School","600","19","619"
"0020811","0020011","Ansonia School District","Prendergast School","666","33","699"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","36","0","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","147","0","147"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","685","37","722"
"2449514","2440014","Area Cooperative Educational Services","Village School","149","0","149"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","114","0","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","89","0","89"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","45","0","45"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","630"
"0030111","0030011","Ashford School District","Ashford School","432","7","439"
"0046111","0040011","Avon School District","Avon High School","1077","6","1083"
"0045111","0040011","Avon School District","Avon Middle School","605","6","611"
"0040411","0040011","Avon School District","Pine Grove School","567","28","595"
"0040311","0040011","Avon School District","Roaring Brook School","562","7","569"
"0040511","0040011","Avon School District","Thompson Brook School","538","10","548"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","21","0","21"
"0076111","0070011","Berlin School District","Berlin High School","949","13","962"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","*","712"
"0070411","0070011","Berlin School District","Emma Hart Willard School","472","29","501"
"0070511","0070011","Berlin School District","Mary E. Griswold School","555","12","567"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","218","14","232"
"0080111","0080011","Bethany School District","Bethany Community School","473","0","473"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","365","27","392"
"0096111","0090011","Bethel School District","Bethel High School","944","15","959"
"0095111","0090011","Bethel School District","Bethel Middle School","678","6","684"
"0090111","0090011","Bethel School District","Frank A. Berry School","471","26","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","437","6","443"
"0116111","0110011","Bloomfield School District","Bloomfield High School","*","*","541"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","214","6","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","261"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","182","0","182"
"0110611","0110011","Bloomfield School District","Laurel School","325","10","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","*","*","10"
"0110511","0110011","Bloomfield School District","Metacomet School","*","*","237"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","322","0","322"
"0120111","0120011","Bolton School District","Bolton Center School","526","7","533"
"0126111","0120011","Bolton School District","Bolton High School","*","*","359"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","241"
"0146111","0140011","Branford School District","Branford High School","1040","9","1049"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","977","12","989"
"0148011","0140011","Branford School District","Indian Neck School","47","0","47"
"0141611","0140011","Branford School District","John B. Sliney School","341","30","371"
"0141511","0140011","Branford School District","Mary R. Tisko School","360","13","373"
"0141411","0140011","Branford School District","Mary T. Murphy School","383","46","429"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","625","77","702"
"0150111","0150011","Bridgeport School District","Barnum School","526","99","625"
"0156111","0150011","Bridgeport School District","Bassick High School","987","190","1177"
"0150211","0150011","Bridgeport School District","Beardsley School","335","42","377"
"0150311","0150011","Bridgeport School District","Black Rock School","281","67","348"
"0154011","0150011","Bridgeport School District","Blackham School","980","150","1130"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","52"
"0150411","0150011","Bridgeport School District","Bryant School","326","86","412"
"0156211","0150011","Bridgeport School District","Central High School","1976","161","2137"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","695","420","1115"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","298","12","310"
"0150511","0150011","Bridgeport School District","Columbus School","679","198","877"
"0153911","0150011","Bridgeport School District","Cross School","411","9","420"
"0154211","0150011","Bridgeport School District","Curiale School","657","116","773"
"0154111","0150011","Bridgeport School District","Dunbar School","*","*","313"
"0150711","0150011","Bridgeport School District","Edison School","236","8","244"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","691","127","818"
"0151111","0150011","Bridgeport School District","Hall School","300","8","308"
"0151211","0150011","Bridgeport School District","Hallen School","*","*","336"
"0156311","0150011","Bridgeport School District","Harding High School","1045","252","1297"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","433"
"0151311","0150011","Bridgeport School District","Hooker School","373","8","381"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","447","10","457"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","608","21","629"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","635","236","871"
"0152011","0150011","Bridgeport School District","Madison School","423","83","506"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","387","69","456"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","6"
"0151711","0150011","Bridgeport School District","Park City Magnet School","518","8","526"
"0152511","0150011","Bridgeport School District","Read School","771","86","857"
"0152611","0150011","Bridgeport School District","Roosevelt School","434","90","524"
"0154411","0150011","Bridgeport School District","Skane Center","231","0","231"
"0153011","0150011","Bridgeport School District","Waltersville School","451","63","514"
"0153611","0150011","Bridgeport School District","Winthrop School","650","36","686"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","*","*","19"
"0176111","0170011","Bristol School District","Bristol Central High School","1224","38","1262"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1264","41","1305"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","731","27","758"
"0179211","0170011","Bristol School District","Community/Vocational Program","10","0","10"
"0170311","0170011","Bristol School District","Edgewood School","350","15","365"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","414","22","436"
"0170511","0170011","Bristol School District","Greene-Hills School","847","46","893"
"0171911","0170011","Bristol School District","Ivy Drive School","404","19","423"
"0171711","0170011","Bristol School District","Mountain View School","419","12","431"
"0175211","0170011","Bristol School District","Northeast Middle School","492","8","500"
"0171111","0170011","Bristol School District","South Side School","465","24","489"
"0171211","0170011","Bristol School District","Stafford School","474","29","503"
"0172011","0170011","Bristol School District","West Bristol School","857","44","901"
"0186111","0180011","Brookfield School District","Brookfield High School","*","*","918"
"0180311","0180011","Brookfield School District","Center Elementary School","400","16","416"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","598","7","605"
"0185311","0180011","Brookfield School District","Whisconier Middle School","844","7","851"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","536","7","543"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","*","*","394"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","*","*","75"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","259","0","259"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","231","0","231"
"0236111","0230011","Canton School District","Canton High School","*","*","511"
"0230311","0230011","Canton School District","Canton Intermediate School","*","*","430"
"0235111","0230011","Canton School District","Canton Middle School","270","0","270"
"0230211","0230011","Canton School District","Cherry Brook Primary School","530","7","537"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","476","15","491"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","324","11","335"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","148","16","164"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","*","*","221"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","21","0","21"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","373","14","387"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","412","11","423"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","*","*","184"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","6","0","6"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","335","22","357"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","50","8","58"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","*","*","11"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","709","7","716"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","319","21","340"
"2410514","2410014","Capitol Region Education Council","Museum Academy","304","7","311"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","368","9","377"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","345","11","356"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","64","0","64"
"2419314","2410014","Capitol Region Education Council","River Street School","151","0","151"
"2419114","2410014","Capitol Region Education Council","Soundbridge","86","0","86"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","*","*","96"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","646","17","663"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","425","15","440"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","*","*","185"
"0250111","0250011","Cheshire School District","Chapman School","*","*","283"
"0256111","0250011","Cheshire School District","Cheshire High School","1504","10","1514"
"0250211","0250011","Cheshire School District","Darcey School","*","*","306"
"0255111","0250011","Cheshire School District","Dodd Middle School","751","6","757"
"0250611","0250011","Cheshire School District","Doolittle School","*","*","539"
"0250411","0250011","Cheshire School District","Highland School","*","*","776"
"0259011","0250011","Cheshire School District","Humiston School","25","0","25"
"0250511","0250011","Cheshire School District","Norton School","*","*","455"
"0260111","0260011","Chester School District","Chester Elementary School","251","0","251"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","*","311"
"0275111","0270011","Clinton School District","Jared Eliot School","*","*","446"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","616","29","645"
"0276111","0270011","Clinton School District","The Morgan School","565","14","579"
"0286111","0280011","Colchester School District","Bacon Academy","931","6","937"
"0280411","0280011","Colchester School District","Colchester Elementary School","606","6","612"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","622","8","630"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","694","7","701"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","104","0","104"
"0300111","0300011","Columbia School District","Horace W. Porter School","503","0","503"
"2686113","2680013","Common Ground High School District","Common Ground High School","*","*","169"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","737","41","778"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","815","13","828"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","586","49","635"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","430","70","500"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","541","32","573"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","*","*","557"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","760","8","768"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","*","*","531"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","617","24","641"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","677","8","685"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","*","*","676"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","659","0","659"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","846","6","852"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","*","640"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","758","0","758"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","550","20","570"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","91","0","91"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","54","0","54"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","14","0","14"
"2438014","2430014","Cooperative Educational Services","School Readiness","54","0","54"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","473","0","473"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","152","0","152"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","*","*","103"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","408","0","408"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","16","0","16"
"0320211","0320011","Coventry School District","Coventry Grammar School","380","0","380"
"0326111","0320011","Coventry School District","Coventry High School","511","0","511"
"0320411","0320011","Coventry School District","George Hersey Robertson School","408","0","408"
"0336111","0330011","Cromwell School District","Cromwell High School","*","*","535"
"0335111","0330011","Cromwell School District","Cromwell Middle School","*","*","509"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","463","23","486"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","431","10","441"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","*","*","78"
"0345111","0340011","Danbury School District","Broadview Middle School","1003","91","1094"
"0346111","0340011","Danbury School District","Danbury High School","2486","401","2887"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","230","175","405"
"0341111","0340011","Danbury School District","Great Plain School","217","110","327"
"0340211","0340011","Danbury School District","Hayestown Avenue School","319","92","411"
"0341711","0340011","Danbury School District","King Street Intermediate School","318","45","363"
"0341311","0340011","Danbury School District","King Street Primary School","268","136","404"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","165","0","165"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","322","79","401"
"0340611","0340011","Danbury School District","Morris Street School","242","178","420"
"0340811","0340011","Danbury School District","Park Avenue School","245","186","431"
"0341511","0340011","Danbury School District","Pembroke School","314","48","362"
"0345211","0340011","Danbury School District","Rogers Park Middle School","1036","164","1200"
"0341211","0340011","Danbury School District","Shelter Rock School","295","121","416"
"0341011","0340011","Danbury School District","South Street School","222","146","368"
"0341611","0340011","Danbury School District","Stadley Rough School","357","92","449"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","393","38","431"
"0356111","0350011","Darien School District","Darien High School","*","*","1329"
"0350211","0350011","Darien School District","Hindley Elementary School","*","*","579"
"0350711","0350011","Darien School District","Holmes Elementary School","*","*","433"
"0355111","0350011","Darien School District","Middlesex Middle School","*","*","1135"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","*","*","474"
"0350511","0350011","Darien School District","Royle Elementary School","*","*","413"
"0350611","0350011","Darien School District","Tokeneke Elementary School","496","0","496"
"0360111","0360011","Deep River School District","Deep River Elementary School","337","10","347"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","0","*"
"0370611","0370011","Derby School District","Bradley School","327","18","345"
"0376111","0370011","Derby School District","Derby High School","340","21","361"
"0375011","0370011","Derby School District","Derby Middle School","343","23","366"
"0370411","0370011","Derby School District","Irving School","386","34","420"
"0400111","0400011","East Granby School District","Allgrove School","234","7","241"
"0406111","0400011","East Granby School District","East Granby High School","271","0","271"
"0405111","0400011","East Granby School District","East Granby Middle School","213","0","213"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","137","0","137"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","*","*","337"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","399","0","399"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","508","0","508"
"0420311","0420011","East Hampton School District","Center School","*","*","285"
"0426111","0420011","East Hampton School District","East Hampton High School","*","*","523"
"0425111","0420011","East Hampton School District","East Hampton Middle School","*","*","449"
"0420111","0420011","East Hampton School District","Memorial School","621","10","631"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","6","0","6"
"0430911","0430011","East Hartford School District","Anna E. Norris School","233","47","280"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","188","0","188"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","320","51","371"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","336","51","387"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","481","23","504"
"0436211","0430011","East Hartford School District","East Hartford High School","1532","110","1642"
"0435111","0430011","East Hartford School District","East Hartford Middle School","965","79","1044"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","295","28","323"
"0430511","0430011","East Hartford School District","Hockanum School","273","20","293"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","301","13","314"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","432","74","506"
"0431211","0430011","East Hartford School District","Silver Lane School","254","21","275"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","161","12","173"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","283","25","308"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","237","0","237"
"0439011","0430011","East Hartford School District","Woodland School","183","8","191"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","269","10","279"
"0441411","0440011","East Haven School District","D. C. Moore School","243","26","269"
"0440111","0440011","East Haven School District","Deer Run School","287","42","329"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","208","20","228"
"0446111","0440011","East Haven School District","East Haven High School","901","22","923"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","176","11","187"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","568","26","594"
"0440711","0440011","East Haven School District","Momauguin School","160","20","180"
"0441811","0440011","East Haven School District","Overbrook Elementary School","163","27","190"
"0449011","0440011","East Haven School District","Pathways","39","0","39"
"0456111","0450011","East Lyme School District","East Lyme High School","*","*","1129"
"0455111","0450011","East Lyme School District","East Lyme Middle School","*","*","871"
"0450111","0450011","East Lyme School District","Flanders School","348","13","361"
"0458011","0450011","East Lyme School District","Integrated Preschool","40","0","40"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","329","6","335"
"0450211","0450011","East Lyme School District","Niantic Center School","*","*","198"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","472","42","514"
"0476111","0470011","East Windsor School District","East Windsor High School","*","*","362"
"0475411","0470011","East Windsor School District","East Windsor Middle School","364","14","378"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","*","136"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","*","*","83"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","*","*","111"
"0390111","0390011","Eastford School District","Eastford Elementary School","168","0","168"
"0465111","0460011","Easton School District","Helen Keller Middle School","*","*","390"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","*","*","629"
"2428014","2420014","EdAdvance","EdAdvance Headstart","216","0","216"
