"school_code","district_code","district_name","school_name","2013_14","2014_15","2015_16"
2419114,2410014,"Capitol Region Education Council","Soundbridge",100.0,94.6,100.0
2411214,2410014,"Capitol Region Education Council","Soundbridge @ Museum Academy","",100.0,""
2419714,2410014,"Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program",100.0,100.0,100.0
2416714,2410014,"Capitol Region Education Council","Two Rivers Magnet High School",87.5,100.0,100.0
2415014,2410014,"Capitol Region Education Council","Two Rivers Magnet Middle School",100.0,100.0,100.0
2410214,2410014,"Capitol Region Education Council","University of Hartford Magnet School",98.4,100.0,98.7
240211,240011,"Chaplin School District","Chaplin Elementary School",100.0,100.0,100.0
250111,250011,"Cheshire School District","Chapman School",100.0,100.0,100.0
256111,250011,"Cheshire School District","Cheshire High School",100.0,100.0,100.0
250311,250011,"Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","",100.0,""
250211,250011,"Cheshire School District","Darcey School",100.0,100.0,100.0
255111,250011,"Cheshire School District","Dodd Middle School",100.0,100.0,100.0
250611,250011,"Cheshire School District","Doolittle School",100.0,100.0,100.0
250411,250011,"Cheshire School District","Highland School",100.0,100.0,100.0
250711,250011,"Cheshire School District","Highland School Autism Program","","",100.0
259011,250011,"Cheshire School District","Humiston School",100.0,"",100.0
250511,250011,"Cheshire School District","Norton School",100.0,100.0,100.0
260111,260011,"Chester School District","Chester Elementary School",100.0,100.0,100.0
270111,270011,"Clinton School District","Abraham Pierson School",100.0,100.0,100.0
275111,270011,"Clinton School District","Jared Eliot School",100.0,100.0,100.0
270311,270011,"Clinton School District","Lewin G. Joel Jr. School",99.1,100.0,100.0
276111,270011,"Clinton School District","The Morgan School",100.0,100.0,100.0
286111,280011,"Colchester School District","Bacon Academy",100.0,100.0,100.0
280511,280011,"Colchester School District","Bacon Academy Alternative Education","","",100.0
280411,280011,"Colchester School District","Colchester Elementary School",98.2,100.0,100.0
280211,280011,"Colchester School District","Jack Jackter Intermediate School",100.0,100.0,100.0
285111,280011,"Colchester School District","William J. Johnston Middle School",97.8,100.0,100.0
290111,290011,"Colebrook School District","Colebrook Consolidated School",100.0,100.0,100.0
300111,300011,"Columbia School District","Horace W. Porter School",100.0,98.9,100.0
2686113,2680013,"Common Ground High School District","Common Ground High School",100.0,100.0,100.0
9001516,9000016,"Connecticut Technical High School System","A. I. Prince Technical High School",97.9,99.7,100.0
9009216,9000016,"Connecticut Technical High School System","Bristol Technical Education Center","",100.0,100.0
9001116,9000016,"Connecticut Technical High School System","Bullard-Havens Technical High School",100.0,93.4,95.1
9001916,9000016,"Connecticut Technical High School System","E. C. Goodwin Technical High School",100.0,100.0,100.0
9001416,9000016,"Connecticut Technical High School System","Eli Whitney Technical High School",96.9,96.9,96.9
9002716,9000016,"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",100.0,98.9,100.0
9002516,9000016,"Connecticut Technical High School System","Emmett O'Brien Technical High School",100.0,100.0,100.0
9001716,9000016,"Connecticut Technical High School System","H. C. Wilcox Technical High School",100.0,98.4,100.0
9001316,9000016,"Connecticut Technical High School System","H. H. Ellis Technical High School",100.0,96.8,100.0
9001216,9000016,"Connecticut Technical High School System","Henry Abbott Technical High School",97.0,100.0,100.0
9001616,9000016,"Connecticut Technical High School System","Howell Cheney Technical High School",100.0,100.0,100.0
9002116,9000016,"Connecticut Technical High School System","J. M. Wright Technical High School","",100.0,93.3
9002016,9000016,"Connecticut Technical High School System","Norwich Technical High School",100.0,97.7,100.0
9002216,9000016,"Connecticut Technical High School System","Oliver Wolcott Technical High School",100.0,98.6,100.0
9002616,9000016,"Connecticut Technical High School System","Platt Technical High School",100.0,100.0,100.0
9001816,9000016,"Connecticut Technical High School System","Vinal Technical High School",100.0,98.5,100.0
9002316,9000016,"Connecticut Technical High School System","W. F. Kaynor Technical High School",100.0,100.0,96.9
9002416,9000016,"Connecticut Technical High School System","Windham Technical High School",100.0,100.0,100.0
2439014,2430014,"Cooperative Educational Services","C. E. S. Special Education",100.0,"",100.0
2439214,2430014,"Cooperative Educational Services","Developmental Learning Center (DLC)",100.0,100.0,100.0
2439114,2430014,"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)",100.0,100.0,100.0
2439314,2430014,"Cooperative Educational Services","RISE Transitional Program",100.0,"",100.0
2430114,2430014,"Cooperative Educational Services","Six-Six Magnet School",100.0,100.0,100.0
2439414,2430014,"Cooperative Educational Services","Therapeutic Day Program",100.0,100.0,100.0
310111,310011,"Cornwall School District","Cornwall Consolidated School",100.0,100.0,100.0
325111,320011,"Coventry School District","Capt. Nathan Hale School",100.0,100.0,100.0
320111,320011,"Coventry School District","Coventry Academy","",100.0,100.0
320211,320011,"Coventry School District","Coventry Grammar School",100.0,100.0,100.0
326111,320011,"Coventry School District","Coventry High School",100.0,97.2,100.0
320411,320011,"Coventry School District","George Hersey Robertson School",100.0,100.0,100.0
336111,330011,"Cromwell School District","Cromwell High School",100.0,100.0,100.0
335111,330011,"Cromwell School District","Cromwell Middle School",100.0,100.0,97.0
330211,330011,"Cromwell School District","Edna C. Stevens School",100.0,98.2,100.0
330311,330011,"Cromwell School District","Woodside Intermediate School",100.0,100.0,97.0
349911,340011,"Danbury School District","Other",100.0,"",100.0
346211,340011,"Danbury School District","Alternative Center For Excellence",89.1,89.4,100.0
345111,340011,"Danbury School District","Broadview Middle School",98.5,100.0,100.0
346111,340011,"Danbury School District","Danbury High School",99.3,100.0,98.3
341411,340011,"Danbury School District","Ellsworth Avenue School",98.1,98.3,100.0
341111,340011,"Danbury School District","Great Plain School",100.0,100.0,100.0
340211,340011,"Danbury School District","Hayestown Avenue School",100.0,100.0,100.0
341711,340011,"Danbury School District","King Street Intermediate School",100.0,100.0,100.0
341311,340011,"Danbury School District","King Street Primary School",100.0,100.0,100.0
340511,340011,"Danbury School District","Mill Ridge Primary School",100.0,100.0,100.0
340611,340011,"Danbury School District","Morris Street School",100.0,100.0,97.6
340811,340011,"Danbury School District","Park Avenue School",89.7,100.0,100.0
341511,340011,"Danbury School District","Pembroke School",100.0,92.1,98.3
345211,340011,"Danbury School District","Rogers Park Middle School",97.6,100.0,100.0
341211,340011,"Danbury School District","Shelter Rock School",97.5,100.0,100.0
341011,340011,"Danbury School District","South Street School",98.0,100.0,100.0
341611,340011,"Danbury School District","Stadley Rough School",100.0,100.0,98.1
341911,340011,"Danbury School District","Western CT Academy of International Studies Elementary Magnet School",100.0,100.0,100.0
340311,340011,"Danbury School District","Westside Middle School Academy","",100.0,100.0
356111,350011,"Darien School District","Darien High School",100.0,100.0,99.6
350211,350011,"Darien School District","Hindley Elementary School",100.0,100.0,100.0
350711,350011,"Darien School District","Holmes Elementary School",100.0,100.0,94.5
355111,350011,"Darien School District","Middlesex Middle School",99.3,100.0,100.0
351311,350011,"Darien School District","Ox Ridge Elementary School",100.0,100.0,100.0
350511,350011,"Darien School District","Royle Elementary School",100.0,100.0,100.0
350611,350011,"Darien School District","Tokeneke Elementary School",100.0,100.0,100.0
360111,360011,"Deep River School District","Deep River Elementary School",100.0,100.0,100.0
3370215,3370015,"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","","",100.0
370611,370011,"Derby School District","Bradley School",100.0,100.0,100.0
376111,370011,"Derby School District","Derby High School",99.2,100.0,100.0
375011,370011,"Derby School District","Derby Middle School",100.0,95.6,100.0
370411,370011,"Derby School District","Irving School",100.0,100.0,100.0
400111,400011,"East Granby School District","Allgrove School",100.0,100.0,97.1
406111,400011,"East Granby School District","East Granby High School",100.0,100.0,100.0
405111,400011,"East Granby School District","East Granby Middle School",100.0,100.0,100.0
400211,400011,"East Granby School District","R. Dudley Seymour School",100.0,100.0,100.0
410111,410011,"East Haddam School District","East Haddam Elementary School",100.0,100.0,100.0
416111,410011,"East Haddam School District","Nathan Hale-Ray High School",100.0,100.0,100.0
415111,410011,"East Haddam School District","Nathan Hale-Ray Middle School",100.0,100.0,100.0
420311,420011,"East Hampton School District","Center School",100.0,100.0,100.0
426111,420011,"East Hampton School District","East Hampton High School",96.1,100.0,97.4
425111,420011,"East Hampton School District","East Hampton Middle School",100.0,100.0,100.0
420111,420011,"East Hampton School District","Memorial School",100.0,100.0,100.0
429011,420011,"East Hampton School District","The Learning Center at East Hampton",100.0,100.0,100.0
430911,430011,"East Hartford School District","Anna E. Norris School",100.0,100.0,100.0
436311,430011,"East Hartford School District","Connecticut IB Academy",100.0,100.0,100.0
430611,430011,"East Hartford School District","Dr. Franklin H. Mayberry School",100.0,100.0,100.0
432211,430011,"East Hartford School District","Dr. John A. Langford School",100.0,100.0,100.0
431011,430011,"East Hartford School District","Dr. Thomas S. O'Connell School",100.0,100.0,100.0
436211,430011,"East Hartford School District","East Hartford High School",100.0,100.0,100.0
435111,430011,"East Hartford School District","East Hartford Middle School",98.5,100.0,100.0
432011,430011,"East Hartford School District","Governor William Pitkin School",100.0,100.0,100.0
430511,430011,"East Hartford School District","Hockanum School",100.0,100.0,100.0
430411,430011,"East Hartford School District","Joseph O. Goodwin School",100.0,100.0,100.0
431811,430011,"East Hartford School District","Robert J. O'Brien School",100.0,100.0,100.0
431211,430011,"East Hartford School District","Silver Lane School",100.0,100.0,100.0
436411,430011,"East Hartford School District","Stevens Alternate High School",100.0,100.0,100.0
432411,430011,"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages",100.0,100.0,93.9
438011,430011,"East Hartford School District","Willowbrook Early Childhood",100.0,100.0,""
439011,430011,"East Hartford School District","Woodland School",100.0,100.0,100.0
449911,440011,"East Haven School District","Other",100.0,"",""
441711,440011,"East Haven School District","Carbone School/East Haven Academy",100.0,100.0,100.0
441411,440011,"East Haven School District","D. C. Moore School",100.0,100.0,100.0
440111,440011,"East Haven School District","Deer Run School",100.0,100.0,100.0
441311,440011,"East Haven School District","Dominick H. Ferrara School",100.0,100.0,100.0
446111,440011,"East Haven School District","East Haven High School",100.0,100.0,98.2
441011,440011,"East Haven School District","Grove J. Tuttle School",96.7,100.0,100.0
445111,440011,"East Haven School District","Joseph Melillo Middle School",100.0,100.0,100.0
440711,440011,"East Haven School District","Momauguin School",100.0,100.0,97.6
441811,440011,"East Haven School District","Overbrook Elementary School",100.0,100.0,100.0
450511,450011,"East Lyme School District","Abilities in Motion (AIM) Program","","",100.0
450611,450011,"East Lyme School District","Coastal Connections","","",100.0
456111,450011,"East Lyme School District","East Lyme High School",99.7,100.0,100.0
455111,450011,"East Lyme School District","East Lyme Middle School",100.0,100.0,100.0
450111,450011,"East Lyme School District","Flanders School",100.0,100.0,100.0
458011,450011,"East Lyme School District","Integrated Preschool","","",100.0
450411,450011,"East Lyme School District","Lillie B. Haynes School",100.0,100.0,100.0
450711,450011,"East Lyme School District","Medically Fragile Program (WAVES)","","",100.0
450211,450011,"East Lyme School District","Niantic Center School",100.0,100.0,100.0
470111,470011,"East Windsor School District","Broad Brook Elementary School",93.9,100.0,100.0
476111,470011,"East Windsor School District","East Windsor High School",95.8,100.0,100.0
475411,470011,"East Windsor School District","East Windsor Middle School",99.7,93.9,100.0
2536014,2530014,"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",100.0,100.0,100.0
2539014,2530014,"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education",95.0,90.7,100.0
2536114,2530014,"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",100.0,83.0,100.0
390111,390011,"Eastford School District","Eastford Elementary School",100.0,100.0,100.0
465111,460011,"Easton School District","Helen Keller Middle School",95.1,100.0,100.0
460111,460011,"Easton School District","Samuel Staples Elementary School",92.6,98.9,100.0
2429014,2420014,"EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center",100.0,100.0,100.0
480111,480011,"Ellington School District","Center School",100.0,100.0,100.0
480211,480011,"Ellington School District","Crystal Lake School",100.0,100.0,100.0
486111,480011,"Ellington School District","Ellington High School",100.0,100.0,100.0
485111,480011,"Ellington School District","Ellington Middle School",100.0,100.0,100.0
480711,480011,"Ellington School District","Windermere Intermediate School",100.0,98.3,100.0
480611,480011,"Ellington School District","Windermere School",100.0,100.0,100.0
480311,480011,"Ellington School District","Windermere School Program for Alternative Learning K-5","","",100.0
2890113,2890013,"Elm City College Preparatory School District","Elm City College Preparatory School",51.0,55.3,57.9
2910113,2910013,"Elm City Montessori School District","Elm City Montessori School","","",70.0
490511,490011,"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","","",100.0
491311,490011,"Enfield School District","Edgar H. Parkman School",100.0,100.0,100.0
491411,490011,"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","","",100.0
491611,490011,"Enfield School District","Eli Whitney School",100.0,91.6,98.3
490111,490011,"Enfield School District","Enfield High - Adaptive Learning Program (ALP)","","",100.0
496111,490011,"Enfield School District","Enfield High School",100.0,100.0,95.5
490311,490011,"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","","",100.0
490211,490011,"Enfield School District","Enfield Street School",100.0,100.0,100.0
499011,490011,"Enfield School District","Enfield Transitional Learning Academy",100.0,100.0,100.0
496211,490011,"Enfield School District","Enrico Fermi High School",97.9,96.6,96.2
490411,490011,"Enfield School District","Hazardville Memorial School",100.0,98.3,100.0
490611,490011,"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","","",100.0
491811,490011,"Enfield School District","Henry Barnard School",100.0,100.0,100.0
490911,490011,"Enfield School District","John F. Kennedy - Adaptive Learning Program (ALP)","","",100.0
495211,490011,"Enfield School District","John F. Kennedy Middle School",98.4,100.0,98.5
490811,490011,"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","","",100.0
491111,490011,"Enfield School District","Nathan Hale School",100.0,100.0,100.0
490711,490011,"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","","",100.0
491511,490011,"Enfield School District","Prudence Crandall School",100.0,100.0,98.3
500111,500011,"Essex School District","Essex Elementary School",100.0,100.0,94.3
2726113,2720013,"Explorations District","Explorations",100.0,100.0,100.0
510211,510011,"Fairfield School District","Burr Elementary School",100.0,100.0,100.0
510111,510011,"Fairfield School District","Dwight Elementary School",100.0,100.0,100.0
516011,510011,"Fairfield School District","Fairfield Ludlowe High School",100.0,100.0,99.5
516211,510011,"Fairfield School District","Fairfield Warde High School",99.0,100.0,99.6
515211,510011,"Fairfield School District","Fairfield Woods Middle School",100.0,100.0,100.0
510411,510011,"Fairfield School District","Holland Hill School",100.0,100.0,100.0
511711,510011,"Fairfield School District","Jennings School",98.2,100.0,100.0
510611,510011,"Fairfield School District","McKinley School",100.0,100.0,100.0
510711,510011,"Fairfield School District","Mill Hill School",100.0,100.0,100.0
511611,510011,"Fairfield School District","North Stratfield School",100.0,100.0,98.4
511811,510011,"Fairfield School District","Osborn Hill School",98.7,100.0,100.0
511211,510011,"Fairfield School District","Riverfield School",100.0,100.0,100.0
515311,510011,"Fairfield School District","Roger Ludlowe Middle School",100.0,100.0,100.0
511311,510011,"Fairfield School District","Sherman School",100.0,100.0,100.0
511411,510011,"Fairfield School District","Stratfield School",100.0,100.0,100.0
515111,510011,"Fairfield School District","Tomlinson Middle School",99.5,100.0,100.0
510311,510011,"Fairfield School District","Walter Fitzgerald Campus","",100.0,100.0
520411,520011,"Farmington School District","East Farms School",100.0,100.0,100.0
520611,520011,"Farmington School District","Farmington Alternative High School","",100.0,100.0
526111,520011,"Farmington School District","Farmington High School",98.8,100.0,100.0
525111,520011,"Farmington School District","Irving A. Robbins Middle School",97.4,99.3,100.0
520211,520011,"Farmington School District","Noah Wallace School",100.0,97.6,100.0
520111,520011,"Farmington School District","Union School",100.0,100.0,100.0
520311,520011,"Farmington School District","West District School",100.0,100.0,100.0
520511,520011,"Farmington School District","West Woods Upper Elementary School",95.9,100.0,100.0
530111,530011,"Franklin School District","Franklin Elementary School",100.0,100.0,100.0
549911,540011,"Glastonbury School District","Other",100.0,"",100.0
540211,540011,"Glastonbury School District","Buttonball Lane School",94.1,100.0,100.0
540311,540011,"Glastonbury School District","Eastbury School",100.0,100.0,100.0
540811,540011,"Glastonbury School District","Gideon Welles School",100.0,100.0,100.0
