"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","458","89","63","610"
"2795113","2790013","Amistad Academy District","Amistad Academy","492","216","104","812"
"0010111","0010011","Andover School District","Andover Elementary School","25","295","14","334"
"0026111","0020011","Ansonia School District","Ansonia High School","342","303","82","727"
"0025111","0020011","Ansonia School District","Ansonia Middle School","168","239","51","458"
"0020311","0020011","Ansonia School District","Mead School","363","211","68","642"
"0020811","0020011","Ansonia School District","Prendergast School","408","283","96","787"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","13","*","19"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","130","30","10","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","375","283","62","720"
"2449514","2440014","Area Cooperative Educational Services","Village School","48","92","13","153"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","104","*","*","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","79","*","*","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","40","*","*","53"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","187","407","52","646"
"0030111","0030011","Ashford School District","Ashford School","86","367","23","476"
"0046111","0040011","Avon School District","Avon High School","43","1033","12","1088"
"0045111","0040011","Avon School District","Avon Middle School","22","552","10","584"
"0040411","0040011","Avon School District","Pine Grove School","31","589","11","631"
"0040311","0040011","Avon School District","Roaring Brook School","20","622","9","651"
"0040511","0040011","Avon School District","Thompson Brook School","20","562","12","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","16","319","8","343"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","30","0","30"
"0076111","0070011","Berlin School District","Berlin High School","68","929","20","1017"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","50","652","17","719"
"0070411","0070011","Berlin School District","Emma Hart Willard School","45","481","9","535"
"0070511","0070011","Berlin School District","Mary E. Griswold School","30","541","14","585"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","13","241","7","261"
"0080111","0080011","Bethany School District","Bethany Community School","14","489","9","512"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","36","340","8","384"
"0096111","0090011","Bethel School District","Bethel High School","89","828","42","959"
"0095111","0090011","Bethel School District","Bethel Middle School","93","562","28","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","35","419","6","460"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","50","382","20","452"
"0116111","0110011","Bloomfield School District","Bloomfield High School","228","301","64","593"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","132","137","36","305"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","113","120","32","265"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","152","173","26","351"
"0110611","0110011","Bloomfield School District","Laurel School","120","137","24","281"
"0116211","0110011","Bloomfield School District","The Big Picture High School","33","46","10","89"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","46","250","16","312"
"0120111","0120011","Bolton School District","Bolton Center School","55","500","13","568"
"0126111","0120011","Bolton School District","Bolton High School","19","297","14","330"
"0130111","0130011","Bozrah School District","Fields Memorial School","23","190","20","233"
"0146111","0140011","Branford School District","Branford High School","118","936","44","1098"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","158","821","61","1040"
"0148011","0140011","Branford School District","Indian Neck School","*","*","0","53"
"0141611","0140011","Branford School District","John B. Sliney School","72","272","24","368"
"0141511","0140011","Branford School District","Mary R. Tisko School","32","372","22","426"
"0141411","0140011","Branford School District","Mary T. Murphy School","73","331","27","431"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","238","110","61","409"
"0150111","0150011","Bridgeport School District","Barnum School","626","*","*","632"
"0156111","0150011","Bridgeport School District","Bassick High School","1133","10","28","1171"
"0150211","0150011","Bridgeport School District","Beardsley School","366","*","*","370"
"0150311","0150011","Bridgeport School District","Black Rock School","281","*","*","283"
