"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","733","197","*","16","*","954"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","588","357","0","18","*","984"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","15","0","*","250","275"
"0026111","0020011","Ansonia School District","Ansonia High School","*","11","129","149","*","*","285","584"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","17","103","142","7","*","221","498"
"0020311","0020011","Ansonia School District","Mead School","*","6","123","211","*","26","225","597"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","*","20","10","0","0","*","40"
"0020811","0020011","Ansonia School District","Prendergast School","*","16","112","220","*","35","294","680"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","6","*","0","*","27","39"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","68","52","0","*","29","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","28","96","313","*","16","258","713"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","12","29","34","*","*","71","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","27","36","0","*","46","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","*","27","34","0","*","24","90"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","10","14","0","*","14","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","289","118","0","29","170","631"
"0030111","0030011","Ashford School District","Ashford School","0","*","*","32","0","8","369","415"
"0046111","0040011","Avon School District","Avon High School","*","113","*","65","0","43","786","1051"
"0045111","0040011","Avon School District","Avon Middle School","*","64","18","30","0","*","420","548"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","0","*","10","*","0","*","27","48"
"0040411","0040011","Avon School District","Pine Grove School","*","102","33","42","*","14","383","576"
"0040311","0040011","Avon School District","Roaring Brook School","*","76","*","37","0","24","383","546"
"0040511","0040011","Avon School District","Thompson Brook School","*","70","23","24","*","22","411","552"
