"school_code","district_code","district","school","subject","ell","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","N","30","*","*","7","23.3","17","56.7","*","*","*","*","529"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","N","30","*","*","13","43.3","14","46.7","*","*","*","*","537"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","44","6","13.6","*","*","28","63.6","*","*","*","*","515"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","44","11","25.0","23","52.3","*","*","*","*","10","22.7","470"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","N","18","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","N","16","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","N","137","41","29.9","*","*","58","42.3","*","*","*","*","469"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","N","137","40","29.2","76","55.5","*","*","*","*","21","15.3","458"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","28","8","28.6","6","21.4","14","50.0","0","0.0","14","50.0","464"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","28","*","*","17","60.7","*","*","0","0.0","*","*","437"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","N","67","6","9.0","6","9.0","40","59.7","15","22.4","55","82.1","555"
"0126111","0120011","Bolton School District","Bolton High School","Math","N","67","12","17.9","23","34.3","22","32.8","10","14.9","32","47.8","516"
"0146111","0140011","Branford School District","Branford High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","N","12","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","N","12","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","N","34","*","*","*","*","25","73.5","*","*","*","*","515"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","N","35","7","20.0","14","40.0","14","40.0","0","0.0","14","40.0","489"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","N","96","52","54.2","*","*","11","11.5","*","*","*","*","411"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","Y","23","*","*","*","*","0","0.0","0","0.0","0","0.0","365"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","N","96","59","61.5","*","*","*","*","0","0.0","*","*","397"
