"school_code","district_code","district","school","subject","ell","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","Y","23","*","*","*","*","0","0.0","0","0.0","0","0.0","364"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","N","81","*","*","*","*","*","*","0","0.0","*","*","431"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","N","81","*","*","*","*","*","*","0","0.0","*","*","388"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0156211","0150011","Bridgeport School District","Central High School","ELA","N","212","89","42.0","49","23.1","*","*","*","*","*","*","443"
"0156211","0150011","Bridgeport School District","Central High School","ELA","Y","24","17","70.8","*","*","*","*","0","0.0","*","*","390"
"0156211","0150011","Bridgeport School District","Central High School","Math","N","210","92","43.8","*","*","*","*","0","0.0","*","*","430"
"0156211","0150011","Bridgeport School District","Central High School","Math","Y","24","17","70.8","*","*","*","*","0","0.0","*","*","380"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","N","119","67","56.3","*","*","13","10.9","*","*","*","*","411"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","Y","56","*","*","*","*","0","0.0","0","0.0","0","0.0","359"
"0156311","0150011","Bridgeport School District","Harding High School","Math","N","119","87","73.1","*","*","*","*","0","0.0","*","*","380"
"0156311","0150011","Bridgeport School District","Harding High School","Math","Y","56","48","85.7","*","*","*","*","0","0.0","*","*","367"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0236111","0230011","Canton School District","Canton High School","ELA","N","115","7","6.1","12","10.4","62","53.9","34","29.6","96","83.5","571"
"0236111","0230011","Canton School District","Canton High School","Math","N","115","14","12.2","35","30.4","48","41.7","18","15.7","66","57.4","546"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","ELA","N","28","14","50.0","*","*","*","*","0","0.0","*","*","416"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Math","N","28","16","57.1","*","*","*","*","0","0.0","*","*","419"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","N","67","*","*","*","*","27","40.3","30","44.8","57","85.1","591"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","N","67","7","10.4","13","19.4","24","35.8","23","34.3","47","70.1","587"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","ELA","N","191","15","7.9","28","14.7","111","58.1","37","19.4","148","77.5","550"
"0286111","0280011","Colchester School District","Bacon Academy","Math","N","190","23","12.1","84","44.2","68","35.8","15","7.9","83","43.7","514"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2686113","2680013","Common Ground High School District","Common Ground High School","ELA","N","39","16","41.0","*","*","12","30.8","*","*","*","*","462"
"2686113","2680013","Common Ground High School District","Common Ground High School","Math","N","39","18","46.2","17","43.6","*","*","*","*","*","*","427"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","ELA","N","156","*","*","*","*","*","*","*","*","*","*","432"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","Math","N","156","*","*","*","*","*","*","0","0.0","*","*","394"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","ELA","N","168","*","*","*","*","*","*","*","*","*","*","450"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","Math","N","168","*","*","*","*","*","*","*","*","*","*","441"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","ELA","N","135","*","*","*","*","*","*","*","*","*","*","455"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","Math","N","135","*","*","*","*","*","*","0","0.0","*","*","437"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","ELA","N","128","*","*","*","*","*","*","0","0.0","*","*","422"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","ELA","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","Math","N","128","*","*","*","*","*","*","0","0.0","*","*","409"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","Math","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","ELA","N","131","*","*","46","35.1","44","33.6","*","*","*","*","456"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","Math","N","131","58","44.3","62","47.3","11","8.4","0","0.0","11","8.4","427"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","ELA","N","138","*","*","*","*","*","*","*","*","*","*","495"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","ELA","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","Math","N","138","*","*","*","*","*","*","0","0.0","*","*","468"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","Math","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","ELA","N","148","*","*","57","38.5","59","39.9","*","*","*","*","475"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","Math","N","148","49","33.1","76","51.4","*","*","*","*","23","15.5","458"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","ELA","N","158","20","12.7","49","31.0","83","52.5","6","3.8","89","56.3","494"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","Math","N","158","*","*","95","60.1","37","23.4","*","*","*","*","477"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","ELA","N","157","18","11.5","47","29.9","76","48.4","16","10.2","92","58.6","502"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","Math","N","157","36","22.9","87","55.4","*","*","*","*","34","21.7","471"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","ELA","N","184","36","19.6","55","29.9","87","47.3","6","3.3","93","50.5","478"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","Math","N","184","64","34.8","92","50.0","*","*","*","*","28","15.2","450"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","ELA","N","112","*","*","*","*","*","*","*","*","*","*","483"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","Math","N","111","*","*","*","*","*","*","*","*","*","*","475"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","ELA","N","10","*","*","*","*","*","*","*","*","*","*","*"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","Math","N","10","*","*","*","*","*","*","*","*","*","*","*"
"0320111","0320011","Coventry School District","Coventry Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0320111","0320011","Coventry School District","Coventry Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0326111","0320011","Coventry School District","Coventry High School","ELA","N","126","9","7.1","21","16.7","74","58.7","22","17.5","96","76.2","540"
"0326111","0320011","Coventry School District","Coventry High School","Math","N","126","*","*","50","39.7","52","41.3","*","*","*","*","516"
"0336111","0330011","Cromwell School District","Cromwell High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0336111","0330011","Cromwell School District","Cromwell High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0336111","0330011","Cromwell School District","Cromwell High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0336111","0330011","Cromwell School District","Cromwell High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","ELA","N","*","*","*","*","*","0","0.0","0","0.0","0","0.0","*"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","Math","N","*","*","*","*","*","0","0.0","0","0.0","0","0.0","*"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0346111","0340011","Danbury School District","Danbury High School","ELA","N","539","94","17.4","118","21.9","*","*","*","*","*","*","506"
"0346111","0340011","Danbury School District","Danbury High School","ELA","Y","80","65","81.3","*","*","*","*","0","0.0","*","*","380"
"0346111","0340011","Danbury School District","Danbury High School","Math","N","539","142","26.3","239","44.3","125","23.2","33","6.1","158","29.3","479"
"0346111","0340011","Danbury School District","Danbury High School","Math","Y","80","66","82.5","14","17.5","0","0.0","0","0.0","0","0.0","372"
"0356111","0350011","Darien School District","Darien High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
