"school_code","district_code","district","school","subject","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"1351111","1350011","Stamford School District","Springdale School","Math","317","316","99.7","316","110","34.8","81","25.6","83","26.3","42","13.3","125","39.6"
"1356111","1350011","Stamford School District","Stamford High School","ELA","441","417","94.6","416","141","33.9","133","32.0","96","23.1","46","11.1","142","34.1"
"1356111","1350011","Stamford School District","Stamford High School","Math","441","401","90.9","401","274","68.3","75","18.7","31","7.7","21","5.2","52","13.0"
"1352111","1350011","Stamford School District","Stillmeadow School","ELA","294","294","100.0","293","98","33.4","61","20.8","74","25.3","60","20.5","134","45.7"
"1352111","1350011","Stamford School District","Stillmeadow School","Math","294","292","99.3","292","103","35.3","76","26.0","74","25.3","39","13.4","113","38.7"
"1356411","1350011","Stamford School District","The Academy of Information Technology","ELA","173","159","91.9","159","24","15.1","41","25.8","48","30.2","46","28.9","94","59.1"
"1356411","1350011","Stamford School District","The Academy of Information Technology","Math","173","158","91.3","158","58","36.7","43","27.2","40","25.3","17","10.8","57","36.1"
"1351911","1350011","Stamford School District","Toquam Magnet School","ELA","325","318","97.8","317","111","35.0","71","22.4","92","29.0","43","13.6","135","42.6"
"1351911","1350011","Stamford School District","Toquam Magnet School","Math","325","322","99.1","322","107","33.2","107","33.2","74","23.0","34","10.6","108","33.5"
"1355511","1350011","Stamford School District","Turn of River School","ELA","618","559","90.5","559","136","24.3","147","26.3","174","31.1","102","18.2","276","49.4"
"1355511","1350011","Stamford School District","Turn of River School","Math","618","612","99.0","612","268","43.8","151","24.7","92","15.0","101","16.5","193","31.5"
"1356311","1350011","Stamford School District","Westhill High School","ELA","457","426","93.2","426","117","27.5","136","31.9","121","28.4","52","12.2","173","40.6"
"1356311","1350011","Stamford School District","Westhill High School","Math","457","415","90.8","413","270","65.4","65","15.7","61","14.8","17","4.1","78","18.9"
"1351411","1350011","Stamford School District","Westover School","ELA","319","313","98.1","313","66","21.1","66","21.1","78","24.9","103","32.9","181","57.8"
"1351411","1350011","Stamford School District","Westover School","Math","319","316","99.1","316","100","31.6","64","20.3","70","22.2","82","25.9","152","48.1"
"1360311","1360011","Sterling School District","Sterling Community School","ELA","312","310","99.4","310","74","23.9","94","30.3","97","31.3","45","14.5","142","45.8"
"1360311","1360011","Sterling School District","Sterling Community School","Math","312","310","99.4","310","128","41.3","122","39.4","50","16.1","10","3.2","60","19.4"
"1370511","1370011","Stonington School District","Deans Mill School","ELA","177","174","98.3","174","16","9.2","17","9.8","34","19.5","107","61.5","141","81.0"
