"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","415","455","870"
"2795113","2790013","Amistad Academy District","Amistad Academy","470","467","937"
"0010111","0010011","Andover School District","Andover Elementary School","140","158","298"
"0026111","0020011","Ansonia School District","Ansonia High School","268","334","602"
"0025111","0020011","Ansonia School District","Ansonia Middle School","227","266","493"
"0020311","0020011","Ansonia School District","Mead School","288","278","566"
"0020811","0020011","Ansonia School District","Prendergast School","308","353","661"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","*","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","20","131","151"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","339","372","711"
"2449514","2440014","Area Cooperative Educational Services","Village School","42","109","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","35","79","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","29","71","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","8","31","39"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","318","313","631"
"0030111","0030011","Ashford School District","Ashford School","205","218","423"
"0046111","0040011","Avon School District","Avon High School","552","505","1057"
"0045111","0040011","Avon School District","Avon Middle School","301","283","584"
"0040411","0040011","Avon School District","Pine Grove School","315","279","594"
"0040311","0040011","Avon School District","Roaring Brook School","272","301","573"
"0040511","0040011","Avon School District","Thompson Brook School","260","303","563"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","127","161","288"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","8","10","18"
"0076111","0070011","Berlin School District","Berlin High School","444","489","933"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","301","390","691"
"0070411","0070011","Berlin School District","Emma Hart Willard School","231","283","514"
"0070511","0070011","Berlin School District","Mary E. Griswold School","276","286","562"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","115","136","251"
"0080111","0080011","Bethany School District","Bethany Community School","199","237","436"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","204","207","411"
"0096111","0090011","Bethel School District","Bethel High School","452","481","933"
"0095111","0090011","Bethel School District","Bethel Middle School","312","360","672"
"0090111","0090011","Bethel School District","Frank A. Berry School","263","293","556"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","201","216","417"
"0116111","0110011","Bloomfield School District","Bloomfield High School","269","286","555"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","104","112","216"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","93","120","213"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","133","87","220"
"0110611","0110011","Bloomfield School District","Laurel School","162","156","318"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","6","7","13"
"0110511","0110011","Bloomfield School District","Metacomet School","105","126","231"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","157","164","321"
"0120111","0120011","Bolton School District","Bolton Center School","260","268","528"
"0126111","0120011","Bolton School District","Bolton High School","170","164","334"
"0130111","0130011","Bozrah School District","Fields Memorial School","119","124","243"
