"school_code","district_code","district","school","grade","test","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","All Grades","Sit and Reach","64.3","76.9","78.9","80.6","70.1"
"2795113","2790013","Amistad Academy District","Amistad Academy","All Grades","Sit and Reach","52.9","53.0","61.1","80.9","65.8"
"0010111","0010011","Andover School District","Andover Elementary School","All Grades","Sit and Reach","86.5","91.0","93.7","93.9","96.5"
"0026111","0020011","Ansonia School District","Ansonia High School","All Grades","Sit and Reach","86.4","81.0","90.7","91.7","90.4"
"0025111","0020011","Ansonia School District","Ansonia Middle School","All Grades","Sit and Reach","91.9","94.3","87.8","62.1","87.6"
"0020311","0020011","Ansonia School District","Mead School","All Grades","Sit and Reach","79.5","81.8","80.7","74.5","77.4"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","All Grades","Sit and Reach","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","All Grades","Sit and Reach","82.1","82.1","76.4","83.5","88.8"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","All Grades","Sit and Reach","","","","67.7","58.5"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","All Grades","Sit and Reach","81.7","79.1","79.5","86.8","80.6"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","All Grades","Sit and Reach","","","","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","All Grades","Sit and Reach","","","","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","All Grades","Sit and Reach","","","","","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","All Grades","Sit and Reach","78.5","73.9","80.0","61.9","65.4"
"0030111","0030011","Ashford School District","Ashford School","All Grades","Sit and Reach","82.7","81.5","87.7","95.0","45.0"
"0046111","0040011","Avon School District","Avon High School","All Grades","Sit and Reach","71.3","72.8","81.8","69.0","66.5"
"0045111","0040011","Avon School District","Avon Middle School","All Grades","Sit and Reach","61.6","66.3","71.1","71.8","51.5"
"0040411","0040011","Avon School District","Pine Grove School","All Grades","Sit and Reach","76.7","75.5","68.7","78.5","84.1"
"0040311","0040011","Avon School District","Roaring Brook School","All Grades","Sit and Reach","83.3","90.1","85.4","68.8","90.4"
"0040511","0040011","Avon School District","Thompson Brook School","All Grades","Sit and Reach","83.1","81.7","81.7","84.9","88.9"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","All Grades","Sit and Reach","82.4","93.3","74.7","75.9","85.3"
"0076111","0070011","Berlin School District","Berlin High School","All Grades","Sit and Reach","89.6","78.9","83.3","88.9","85.7"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","All Grades","Sit and Reach","82.6","85.2","80.2","83.2","82.8"
"0070411","0070011","Berlin School District","Emma Hart Willard School","All Grades","Sit and Reach","97.3","98.9","92.7","93.8","88.1"
"0070511","0070011","Berlin School District","Mary E. Griswold School","All Grades","Sit and Reach","95.5","99.0","96.9","93.1","98.9"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","All Grades","Sit and Reach","97.5","100.0","100.0","98.2","95.2"
"0080111","0080011","Bethany School District","Bethany Community School","All Grades","Sit and Reach","53.8","71.8","62.1","77.2","66.4"
"0096111","0090011","Bethel School District","Bethel High School","All Grades","Sit and Reach","86.7","85.3","82.9","83.3","82.7"
