"school_code","district_code","district","school","female","male","total"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","238","263","501"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","50","38","88"
"0345111","0340011","Danbury School District","Broadview Middle School","553","555","1108"
"0346111","0340011","Danbury School District","Danbury High School","1411","1443","2854"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","190","205","395"
"0341111","0340011","Danbury School District","Great Plain School","147","160","307"
"0340211","0340011","Danbury School District","Hayestown Avenue School","202","237","439"
"0341711","0340011","Danbury School District","King Street Intermediate School","148","159","307"
"0341311","0340011","Danbury School District","King Street Primary School","144","156","300"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","168","184","352"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","147","149","296"
"0340611","0340011","Danbury School District","Morris Street School","184","185","369"
"0340811","0340011","Danbury School District","Park Avenue School","208","200","408"
"0341511","0340011","Danbury School District","Pembroke School","153","172","325"
"0345211","0340011","Danbury School District","Rogers Park Middle School","486","550","1036"
"0341211","0340011","Danbury School District","Shelter Rock School","201","195","396"
"0341011","0340011","Danbury School District","South Street School","172","172","344"
"0341611","0340011","Danbury School District","Stadley Rough School","238","229","467"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","179","204","383"
"0356111","0350011","Darien School District","Darien High School","637","627","1264"
"0350211","0350011","Darien School District","Hindley Elementary School","271","275","546"
"0350711","0350011","Darien School District","Holmes Elementary School","223","261","484"
"0355111","0350011","Darien School District","Middlesex Middle School","549","607","1156"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","227","251","478"
"0350511","0350011","Darien School District","Royle Elementary School","192","251","443"
"0350611","0350011","Darien School District","Tokeneke Elementary School","183","226","409"
"0360111","0360011","Deep River School District","Deep River Elementary School","173","176","349"
"3370315","3370015","Department of Mental Health and Addiction Services","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","*","*","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","*","0","*"
"0370611","0370011","Derby School District","Bradley School","191","195","386"
"0376111","0370011","Derby School District","Derby High School","296","328","624"
"0370411","0370011","Derby School District","Irving School","204","235","439"
"0400111","0400011","East Granby School District","Allgrove School","135","146","281"
"0406111","0400011","East Granby School District","East Granby High School","126","130","256"
"0405111","0400011","East Granby School District","East Granby Middle School","108","122","230"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","75","62","137"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","180","241","421"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","225","181","406"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","278","281","559"
"0420311","0420011","East Hampton School District","Center School","154","147","301"
"0426111","0420011","East Hampton School District","East Hampton High School","287","283","570"
"0425111","0420011","East Hampton School District","East Hampton Middle School","258","241","499"
"0420111","0420011","East Hampton School District","Memorial School","301","347","648"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","*","*","8"
"0430911","0430011","East Hartford School District","Anna E. Norris School","138","181","319"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","106","61","167"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","203","205","408"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","164","181","345"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","157","174","331"
"0436211","0430011","East Hartford School District","East Hartford High School","942","961","1903"
"0435111","0430011","East Hartford School District","East Hartford Middle School","445","460","905"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","187","189","376"
"0430511","0430011","East Hartford School District","Hockanum School","144","196","340"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","163","192","355"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","206","205","411"
"0431211","0430011","East Hartford School District","Silver Lane School","173","161","334"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","48","69","117"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","237","225","462"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","141","144","285"
"0439011","0430011","East Hartford School District","Woodland School","24","160","184"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","136","101","237"
"0441411","0440011","East Haven School District","D. C. Moore School","111","115","226"
"0440111","0440011","East Haven School District","Deer Run School","155","189","344"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","91","106","197"
"0446111","0440011","East Haven School District","East Haven High School","500","468","968"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","115","118","233"
"0441911","0440011","East Haven School District","Hays School","75","79","154"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","214","260","474"
"0440711","0440011","East Haven School District","Momauguin School","98","114","212"
"0441811","0440011","East Haven School District","Overbrook Elementary School","91","91","182"
"0449011","0440011","East Haven School District","Pathways","9","23","32"
"0441611","0440011","East Haven School District","Robert W. Carbone School","124","137","261"
"0456111","0450011","East Lyme School District","East Lyme High School","617","604","1221"
"0455111","0450011","East Lyme School District","East Lyme Middle School","425","418","843"
"0450111","0450011","East Lyme School District","Flanders School","192","187","379"
"0458011","0450011","East Lyme School District","Integrated Preschool","21","26","47"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","169","198","367"
"0450211","0450011","East Lyme School District","Niantic Center School","117","120","237"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","297","304","601"
"0476111","0470011","East Windsor School District","East Windsor High School","177","199","376"
"0475411","0470011","East Windsor School District","East Windsor Middle School","187","215","402"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","66","22","88"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","10","40","50"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","35","35","70"
"0390111","0390011","Eastford School District","Eastford Elementary School","75","95","170"
"0465111","0460011","Easton School District","Helen Keller Middle School","201","183","384"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","324","406","730"
"2428014","2420014","EdAdvance","EdAdvance Headstart","90","83","173"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","9","18","27"
"0480111","0480011","Ellington School District","Center School","197","206","403"
"0480211","0480011","Ellington School District","Crystal Lake School","102","119","221"
"0486111","0480011","Ellington School District","Ellington High School","398","379","777"
"0485111","0480011","Ellington School District","Ellington Middle School","200","205","405"
"0480711","0480011","Ellington School District","Windermere Intermediate School","223","191","414"
"0480611","0480011","Ellington School District","Windermere School","221","226","447"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","280","267","547"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","169","174","343"
"0491611","0490011","Enfield School District","Eli Whitney School","186","238","424"
"0496111","0490011","Enfield School District","Enfield High School","395","428","823"
"0490211","0490011","Enfield School District","Enfield Street School","178","178","356"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","*","*","*"
"0496211","0490011","Enfield School District","Enrico Fermi High School","596","562","1158"
"0491211","0490011","Enfield School District","Harriet Beecher Stowe School","126","132","258"
"0490411","0490011","Enfield School District","Hazardville Memorial School","164","207","371"
"0498011","0490011","Enfield School District","Head Start Program","50","54","104"
"0491811","0490011","Enfield School District","Henry Barnard School","190","238","428"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","425","447","872"
"0491111","0490011","Enfield School District","Nathan Hale School","129","130","259"
"0491511","0490011","Enfield School District","Prudence Crandall School","207","196","403"
"0491711","0490011","Enfield School District","Thomas G. Alcorn School","149","144","293"
"0500111","0500011","Essex School District","Essex Elementary School","303","290","593"
"2726113","2720013","Explorations District","Explorations","51","29","80"
"0510211","0510011","Fairfield School District","Burr Elementary School","209","210","419"
"0510111","0510011","Fairfield School District","Dwight Elementary School","168","148","316"
"0518011","0510011","Fairfield School District","Early Childhood Center","42","93","135"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","759","693","1452"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","665","633","1298"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","329","343","672"
"0510411","0510011","Fairfield School District","Holland Hill School","162","173","335"
"0511711","0510011","Fairfield School District","Jennings School","163","189","352"
"0510611","0510011","Fairfield School District","McKinley School","214","237","451"
"0510711","0510011","Fairfield School District","Mill Hill School","230","248","478"
"0511611","0510011","Fairfield School District","North Stratfield School","223","255","478"
"0511811","0510011","Fairfield School District","Osborn Hill School","258","293","551"
"0511211","0510011","Fairfield School District","Riverfield School","214","252","466"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","483","483","966"
"0511311","0510011","Fairfield School District","Sherman School","236","238","474"
"0511411","0510011","Fairfield School District","Stratfield School","249","243","492"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","394","379","773"
"0520411","0520011","Farmington School District","East Farms School","203","235","438"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","18","49","67"
"0526111","0520011","Farmington School District","Farmington High School","654","670","1324"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","313","373","686"
"0520211","0520011","Farmington School District","Noah Wallace School","160","175","335"
"0520111","0520011","Farmington School District","Union School","149","145","294"
"0520311","0520011","Farmington School District","West District School","177","173","350"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","313","345","658"
"0530111","0530011","Franklin School District","Franklin Elementary School","105","119","224"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","273","262","535"
"0540311","0540011","Glastonbury School District","Eastbury School","150","168","318"
"0540811","0540011","Glastonbury School District","Gideon Welles School","278","263","541"
"0546111","0540011","Glastonbury School District","Glastonbury High School","1030","1072","2102"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","271","261","532"
"0540611","0540011","Glastonbury School District","Hopewell School","260","266","526"
"0540711","0540011","Glastonbury School District","Naubuc School","258","231","489"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","317","328","645"
"0545211","0540011","Glastonbury School District","Smith Middle School","568","560","1128"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","222","247","469"
"0566111","0560011","Granby School District","Granby Memorial High School","361","390","751"
"0565111","0560011","Granby School District","Granby Memorial Middle School","189","165","354"
"0560411","0560011","Granby School District","Kelly Lane Primary School","158","189","347"
"0560311","0560011","Granby School District","Wells Road Intermediate School","169","185","354"
"0575111","0570011","Greenwich School District","Central Middle School","292","339","631"
"0570211","0570011","Greenwich School District","Cos Cob School","204","213","417"
"0575211","0570011","Greenwich School District","Eastern Middle School","401","373","774"
"0570411","0570011","Greenwich School District","Glenville School","140","156","296"
"0576111","0570011","Greenwich School District","Greenwich High School","1271","1417","2688"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","207","203","410"
"0571311","0570011","Greenwich School District","International School At Dundee","178","193","371"
"0570311","0570011","Greenwich School District","Julian Curtiss School","171","172","343"
"0570611","0570011","Greenwich School District","New Lebanon School","106","113","219"
"0570711","0570011","Greenwich School District","North Mianus School","229","226","455"
"0570811","0570011","Greenwich School District","North Street School","229","257","486"
"0570911","0570011","Greenwich School District","Old Greenwich School","227","218","445"
"0571111","0570011","Greenwich School District","Parkway School","139","180","319"
"0571011","0570011","Greenwich School District","Riverside School","238","264","502"
"0575311","0570011","Greenwich School District","Western Middle School","231","259","490"
"0580311","0580011","Griswold School District","Griswold Elementary School","451","462","913"
"0586211","0580011","Griswold School District","Griswold High School","371","369","740"
"0585111","0580011","Griswold School District","Griswold Middle School","183","224","407"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","168","182","350"
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","234","237","471"
"0591811","0590011","Groton School District","Charles Barnum School","175","205","380"
"0590311","0590011","Groton School District","Claude Chester School","191","197","388"
"0595111","0590011","Groton School District","Fitch Middle School","202","207","409"
"0591711","0590011","Groton School District","Mary Morrisson School","160","178","338"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","215","222","437"
"0591211","0590011","Groton School District","Pleasant Valley School","146","166","312"
"0596111","0590011","Groton School District","Robert E. Fitch High School","678","628","1306"
"0590111","0590011","Groton School District","S. B. Butler School","171","191","362"
"0595211","0590011","Groton School District","West Side Middle School","141","135","276"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","249","295","544"
"0600611","0600011","Guilford School District","A. W. Cox School","177","144","321"
"0600411","0600011","Guilford School District","Calvin Leete School","167","165","332"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","309","310","619"
"0606111","0600011","Guilford School District","Guilford High School","570","545","1115"
"0600211","0600011","Guilford School District","Guilford Lakes School","209","224","433"
"0600311","0600011","Guilford School District","Melissa Jones School","172","175","347"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","36","60","96"
"0621211","0620011","Hamden School District","Bear Path School","231","226","457"
"0620211","0620011","Hamden School District","Church Street School","196","215","411"
"0620311","0620011","Hamden School District","Dunbar Hill School","156","170","326"
"0626111","0620011","Hamden School District","Hamden High School","934","1038","1972"
"0625211","0620011","Hamden School District","Hamden Middle School","411","470","881"
"0620411","0620011","Hamden School District","Helen Street School","127","172","299"
"0621111","0620011","Hamden School District","Ridge Hill School","143","171","314"
"0620111","0620011","Hamden School District","Shepherd Glen School","162","151","313"
"0621011","0620011","Hamden School District","Spring Glen School","169","189","358"
"0621411","0620011","Hamden School District","West Woods School","248","264","512"
"0630111","0630011","Hampton School District","Hampton Elementary School","55","88","143"
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","143","185","328"
"0640411","0640011","Hartford School District","Batchelder School","270","298","568"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","175","170","345"
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","65","64","129"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","176","176","352"
"0647111","0640011","Hartford School District","Bulkeley High School","282","288","570"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","328","438","766"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","292","292","584"
"0642311","0640011","Hartford School District","Burr School","291","334","625"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","155","121","276"
"0642411","0640011","Hartford School District","Clark School","191","225","416"
"0646411","0640011","Hartford School District","Classical Magnet School","403","310","713"
"0646011","0640011","Hartford School District","Culinary Arts Academy at Weaver High School","130","135","265"
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","216","219","435"
