"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","30","28","39","42","47","44","50","34","0","0","0","0","0","0","314"
"0025111","0020011","Ansonia School District","Ansonia Middle School","91","0","0","0","0","0","0","0","184","188","0","0","0","0","463"
"0020311","0020011","Ansonia School District","Mead School","0","71","88","88","93","95","93","91","0","0","0","0","0","0","619"
"0020811","0020011","Ansonia School District","Prendergast School","0","105","111","93","98","91","91","110","0","0","0","0","0","0","699"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","171","157","132","171","631"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","7","12","14","11","19","25","20","21","12","*","0","0","*","149"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","17","16","24","25","15","14","26","0","0","0","0","147"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","60","66","72","75","75","75","75","66","66","0","0","0","0","630"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","0","*","7","12","*","*","*","*","36"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","239","247","236","0","0","0","0","722"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","*","13","*","21","69","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","9","20","25","35","89"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","*","*","*","34","45"
"0030111","0030011","Ashford School District","Ashford School","40","36","49","44","37","52","33","49","45","54","0","0","0","0","439"
"0040411","0040011","Avon School District","Pine Grove School","45","82","96","118","124","130","0","0","0","0","0","0","0","0","595"
"0040311","0040011","Avon School District","Roaring Brook School","0","93","96","124","131","125","0","0","0","0","0","0","0","0","569"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","278","270","0","0","0","0","0","0","548"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","315","296","0","0","0","0","611"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","259","269","283","272","1083"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","21","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","36","44","49","43","62","37","57","0","0","0","0","0","0","328"
"0070411","0070011","Berlin School District","Emma Hart Willard School","52","69","56","77","78","91","78","0","0","0","0","0","0","0","501"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","*","86","110","94","108","95","0","0","0","0","0","0","0","567"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","27","35","52","32","42","44","0","0","0","0","0","0","0","232"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","230","243","239","0","0","0","0","712"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","240","215","238","269","962"
"0080111","0080011","Bethany School District","Bethany Community School","13","60","46","53","64","73","77","87","0","0","0","0","0","0","473"
"0090111","0090011","Bethel School District","Frank A. Berry School","108","116","99","88","86","0","0","0","0","0","0","0","0","0","497"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","115","95","94","88","0","0","0","0","0","0","0","0","0","392"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","228","215","0","0","0","0","0","0","0","443"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","240","223","221","0","0","0","0","684"
"0096111","0090011","Bethel School District","Bethel High School","0","0","0","0","0","0","0","0","0","0","255","229","243","232","959"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","220","102","0","0","0","0","0","0","0","0","0","0","0","0","322"
"0110611","0110011","Bloomfield School District","Laurel School","0","87","125","123","0","0","0","0","0","0","0","0","0","0","335"
